participant_id,gerakan,rep,fase,kanal,n_jendela,n_bersih,theta_db,mu_db,beta_db,otot_db,total4_db,theta_m2b_db,mu_m2b_db,beta_m2b_db,detik_bersih,rentang_detik,cakupan,lolos_R1
P08,-,0,Buka Mata,C3,75,59,2.919,2.535,2.657,1.614,2.706,0.213,-0.171,-0.049,17.0,19.5,0.872,True
P08,-,0,Buka Mata,C4,75,71,4.868,5.487,1.881,1.327,4.081,0.787,1.406,-2.2,19.25,19.5,0.987,True
P08,-,0,Buka Mata,F3,75,51,3.316,1.537,2.509,1.449,2.513,0.804,-0.975,-0.004,15.75,19.5,0.808,True
P08,-,0,Buka Mata,F4,75,60,5.642,5.846,3.267,3.217,4.999,0.643,0.846,-1.732,16.5,19.5,0.846,True
P08,-,0,Buka Mata,F7,75,50,4.03,3.717,3.195,2.507,3.548,0.481,0.169,-0.353,14.0,19.5,0.718,True
P08,-,0,Buka Mata,F8,75,75,4.557,4.147,1.624,1.043,3.35,1.207,0.797,-1.726,19.5,19.5,1.0,True
P08,-,0,Buka Mata,Fp1,75,57,1.484,1.603,0.699,-0.204,1.126,0.359,0.478,-0.427,15.75,19.5,0.808,True
P08,-,0,Buka Mata,Fp2,75,75,4.5,4.984,3.455,3.317,4.138,0.362,0.847,-0.683,19.5,19.5,1.0,True
P08,-,0,Buka Mata,O1,75,71,4.27,4.446,3.24,3.097,3.843,0.427,0.603,-0.603,19.25,19.5,0.987,True
P08,-,0,Buka Mata,O2,75,54,5.239,5.295,2.456,2.089,4.206,1.034,1.089,-1.749,15.0,19.5,0.769,True
P08,-,0,Buka Mata,P3,75,45,2.916,4.175,3.484,3.167,3.546,-0.63,0.629,-0.062,14.25,19.5,0.731,True
P08,-,0,Buka Mata,P4,75,56,3.308,3.257,0.457,-0.054,2.197,1.111,1.06,-1.74,15.5,19.5,0.795,True
P08,-,0,Buka Mata,T3,75,70,5.327,5.863,4.164,3.775,4.995,0.332,0.867,-0.831,19.0,19.5,0.974,True
P08,-,0,Buka Mata,T4,75,75,1.307,1.805,0.061,-0.27,0.876,0.431,0.928,-0.815,19.5,19.5,1.0,True
P08,-,0,Buka Mata,T5,75,28,5.575,4.059,0.957,0.995,3.555,2.02,0.504,-2.597,8.25,19.5,0.423,True
P08,-,0,Buka Mata,T6,75,44,4.259,3.19,-0.644,-1.476,2.132,2.127,1.058,-2.777,11.75,19.5,0.603,True
P08,-,0,Tutup Mata,C3,48,32,-1.314,-2.123,-0.931,-0.374,-1.296,-0.018,-0.827,0.365,8.75,12.75,0.686,True
P08,-,0,Tutup Mata,C4,48,42,-4.872,-3.236,-4.175,-3.802,-4.137,-0.734,0.901,-0.038,11.25,12.75,0.882,True
P08,-,0,Tutup Mata,F3,48,27,-1.289,-0.611,-1.342,-0.914,-1.114,-0.175,0.503,-0.228,7.5,12.75,0.588,True
P08,-,0,Tutup Mata,F4,48,40,-3.683,-2.081,-2.838,-2.017,-2.883,-0.8,0.802,0.045,10.75,12.75,0.843,True
P08,-,0,Tutup Mata,F7,48,30,-0.19,2.146,0.512,1.113,0.809,-0.998,1.337,-0.296,9.0,12.75,0.706,True
P08,-,0,Tutup Mata,F8,48,46,-0.781,-1.032,-1.952,-2.297,-1.337,0.556,0.305,-0.615,12.25,12.75,0.961,True
P08,-,0,Tutup Mata,Fp1,48,17,-0.432,-0.235,-0.977,-1.162,-0.639,0.208,0.404,-0.338,5.75,12.75,0.451,True
P08,-,0,Tutup Mata,Fp2,48,42,1.651,2.355,1.982,1.582,1.988,-0.337,0.367,-0.006,12.75,12.75,1.0,True
P08,-,0,Tutup Mata,O1,48,27,-1.438,-0.915,-0.103,0.609,-0.566,-0.872,-0.349,0.463,8.25,12.75,0.647,True
P08,-,0,Tutup Mata,O2,48,43,-3.414,-0.973,-0.962,-0.963,-1.552,-1.862,0.579,0.59,11.75,12.75,0.922,True
P08,-,0,Tutup Mata,P3,48,32,-1.65,-1.735,-1.68,-0.917,-1.652,0.002,-0.083,-0.027,8.75,12.75,0.686,True
P08,-,0,Tutup Mata,P4,48,42,-1.52,-2.121,-2.525,-2.761,-2.124,0.604,0.002,-0.402,11.25,12.75,0.882,True
P08,-,0,Tutup Mata,T3,48,28,-1.649,-0.956,-0.663,-0.69,-0.992,-0.656,0.036,0.329,8.5,12.75,0.667,True
P08,-,0,Tutup Mata,T4,48,48,0.822,0.174,-0.518,-0.562,0.064,0.758,0.11,-0.582,12.75,12.75,1.0,True
P08,-,0,Tutup Mata,T5,48,34,-2.06,0.401,-2.442,-2.519,-1.349,-0.712,1.75,-1.094,10.75,12.75,0.843,True
P08,-,0,Tutup Mata,T6,48,41,-3.896,-4.438,-6.71,-5.851,-5.212,1.316,0.774,-1.498,11.0,12.75,0.863,True
P08,Agem Kanan,1,Berdiri,C3,4,4,-4.861,-4.661,-4.782,-4.018,-4.661,-0.2,0.0,-0.121,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,C4,4,4,-1.729,-1.249,-1.068,-0.011,-1.222,-0.507,-0.027,0.154,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,F3,4,1,4.575,3.344,2.528,1.921,3.31,1.265,0.034,-0.783,1.0,1.75,0.571,False
P08,Agem Kanan,1,Berdiri,F4,4,4,7.045,4.51,3.043,2.798,5.262,1.783,-0.752,-2.219,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,F7,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,F8,4,4,5.859,8.131,4.824,5.196,6.183,-0.324,1.948,-1.359,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,Fp1,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,Fp2,4,4,1.574,1.79,1.145,-0.598,1.419,0.156,0.371,-0.274,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,O1,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,O2,4,4,3.699,1.99,3.642,4.366,3.341,0.358,-1.352,0.301,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,P3,4,4,-6.48,-7.242,-6.551,-5.483,-6.587,0.108,-0.655,0.036,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,P4,4,4,2.243,-2.926,-1.41,-2.755,-0.255,2.498,-2.671,-1.155,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,T3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,T4,4,4,8.678,6.56,3.268,3.635,6.182,2.497,0.378,-2.914,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,T5,4,4,-7.805,-9.382,-7.055,-5.325,-7.594,-0.211,-1.787,0.54,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,T6,4,4,-4.088,-0.137,-2.358,-1.316,-1.931,-2.157,1.793,-0.427,1.75,1.75,1.0,True
P08,Agem Kanan,1,Gerak,C3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,C4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,F3,2,2,10.969,9.454,13.517,11.046,12.062,-1.093,-2.608,1.456,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,F4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,F7,2,2,-1.216,-8.248,-0.617,-0.879,-1.776,0.56,-6.472,1.159,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,F8,2,2,-5.158,-4.174,0.63,1.319,-1.45,-3.709,-2.724,2.08,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,Fp1,2,2,-1.684,2.025,1.157,2.467,1.053,-2.737,0.972,0.105,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,Fp2,2,2,0.129,-0.434,2.809,3.037,1.531,-1.402,-1.964,1.278,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,O1,2,2,2.999,2.925,0.928,-0.629,2.137,0.863,0.789,-1.209,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,O2,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,P3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,P4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,T3,2,2,3.246,-0.244,5.668,3.464,3.981,-0.734,-4.225,1.688,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,T4,2,2,2.033,1.3,4.126,4.634,3.015,-0.982,-1.715,1.112,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,T5,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,T6,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,C3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,C4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,F3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,F4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,F7,2,2,2.113,5.003,2.38,2.637,3.07,-0.957,1.932,-0.69,1.25,1.25,1.0,True
P08,Agem Kanan,1,Naik,F8,2,2,4.131,4.723,3.603,2.576,4.071,0.06,0.652,-0.468,1.25,1.25,1.0,True
P08,Agem Kanan,1,Naik,Fp1,2,1,-1.287,5.0,4.565,4.673,3.936,-5.223,1.064,0.629,1.0,1.25,0.8,True
P08,Agem Kanan,1,Naik,Fp2,2,2,4.257,5.441,5.935,4.445,5.411,-1.155,0.03,0.524,1.25,1.25,1.0,True
P08,Agem Kanan,1,Naik,O1,2,2,-1.43,0.192,-1.841,-1.931,-1.142,-0.288,1.334,-0.7,1.25,1.25,1.0,True
P08,Agem Kanan,1,Naik,O2,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,P3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,P4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,T3,2,2,-2.834,6.109,3.253,3.226,3.254,-6.089,2.855,-0.001,1.25,1.25,1.0,True
P08,Agem Kanan,1,Naik,T4,2,2,2.693,10.897,6.608,5.414,7.484,-4.791,3.413,-0.876,1.25,1.25,1.0,True
P08,Agem Kanan,1,Naik,T5,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Naik,T6,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Pasca-Naik,C3,4,4,2.042,0.832,2.063,1.105,1.788,0.254,-0.955,0.275,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,C4,4,2,10.102,7.889,4.969,4.872,7.998,2.104,-0.109,-3.029,1.25,1.75,0.714,False
P08,Agem Kanan,1,Pasca-Naik,F3,4,4,4.313,3.568,1.602,1.294,2.955,1.358,0.613,-1.353,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,F4,4,4,10.015,7.677,9.548,7.521,9.292,0.723,-1.614,0.257,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,F7,4,4,7.434,8.22,6.489,4.897,7.188,0.246,1.033,-0.699,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,F8,4,4,11.988,13.593,11.528,7.687,12.261,-0.274,1.332,-0.734,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,Fp1,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Pasca-Naik,Fp2,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Pasca-Naik,O1,4,4,-0.743,2.479,0.578,0.581,0.935,-1.678,1.544,-0.357,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,O2,4,3,13.323,10.891,9.398,9.863,11.23,2.093,-0.34,-1.833,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,P3,4,4,0.44,3.313,2.216,1.699,2.11,-1.67,1.202,0.106,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,P4,4,2,17.535,12.841,5.816,8.031,13.571,3.964,-0.73,-7.755,1.25,1.75,0.714,False
P08,Agem Kanan,1,Pasca-Naik,T3,4,4,4.824,7.157,3.233,2.583,4.976,-0.153,2.181,-1.744,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,T4,4,4,19.673,10.967,9.457,7.532,15.201,4.473,-4.234,-5.743,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pasca-Naik,T5,4,3,7.013,8.344,6.964,7.099,7.403,-0.39,0.941,-0.439,1.5,1.75,0.857,True
P08,Agem Kanan,1,Pasca-Naik,T6,4,4,13.005,9.458,6.717,6.388,9.832,3.173,-0.374,-3.115,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,C3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Pra-Gerak,C4,4,4,-7.586,-2.828,-0.342,-1.968,-2.519,-5.068,-0.309,2.177,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,F3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Pra-Gerak,F4,4,1,0.571,-0.51,3.249,-1.256,1.496,-0.925,-2.006,1.753,1.0,1.75,0.571,False
P08,Agem Kanan,1,Pra-Gerak,F7,4,4,-6.599,-5.21,-1.138,-4.654,-2.978,-3.621,-2.232,1.84,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,F8,4,4,1.955,2.27,3.652,0.432,2.84,-0.885,-0.569,0.812,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,Fp1,4,2,2.465,-1.716,5.651,1.747,3.908,-1.443,-5.624,1.744,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,Fp2,4,4,1.455,0.502,3.756,2.01,2.57,-1.115,-2.068,1.187,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,O1,4,4,-7.512,-8.996,-1.936,-4.829,-3.987,-3.525,-5.009,2.051,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,O2,4,1,-1.424,-6.928,4.642,2.783,1.974,-3.398,-8.901,2.669,1.0,1.75,0.571,False
P08,Agem Kanan,1,Pra-Gerak,P3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Pra-Gerak,P4,4,3,1.486,0.164,4.881,2.27,3.128,-1.642,-2.964,1.752,1.5,1.75,0.857,True
P08,Agem Kanan,1,Pra-Gerak,T3,4,4,-6.55,-4.246,-1.539,-3.407,-3.261,-3.289,-0.985,1.723,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,T4,4,4,-0.864,1.423,2.528,0.097,1.497,-2.36,-0.074,1.031,1.75,1.75,1.0,True
P08,Agem Kanan,1,Pra-Gerak,T5,4,1,-6.666,-8.542,-1.596,-3.592,-3.901,-2.765,-4.64,2.305,1.0,1.75,0.571,False
P08,Agem Kanan,1,Pra-Gerak,T6,4,1,0.056,-7.682,-0.131,-2.547,-1.135,1.191,-6.547,1.004,1.0,1.75,0.571,False
P08,Agem Kanan,1,Tahan,C3,10,6,-0.299,4.775,1.822,-0.004,2.39,-2.689,2.385,-0.568,2.25,3.25,0.692,False
P08,Agem Kanan,1,Tahan,C4,10,10,1.458,0.743,2.635,2.098,1.796,-0.337,-1.052,0.84,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,F3,10,3,-4.297,1.006,0.454,-0.336,-0.184,-4.113,1.19,0.638,1.5,3.25,0.462,False
P08,Agem Kanan,1,Tahan,F4,10,10,5.42,8.295,7.28,7.041,7.017,-1.596,1.279,0.264,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,F7,10,10,2.246,4.512,1.258,1.171,2.534,-0.287,1.978,-1.276,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,F8,10,8,9.177,11.154,9.111,7.975,9.729,-0.551,1.425,-0.618,2.75,3.25,0.846,True
P08,Agem Kanan,1,Tahan,Fp1,10,8,4.529,5.407,0.081,-0.519,3.086,1.444,2.322,-3.005,2.75,3.25,0.846,True
P08,Agem Kanan,1,Tahan,Fp2,10,10,6.673,6.684,4.212,3.84,5.582,1.091,1.102,-1.37,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,O1,10,6,-4.601,-2.325,-3.308,-3.481,-3.31,-1.29,0.985,0.002,3.0,3.25,0.923,True
P08,Agem Kanan,1,Tahan,O2,10,10,4.908,4.823,4.484,4.417,4.668,0.24,0.155,-0.184,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,P3,10,3,-0.763,1.846,1.263,0.339,0.988,-1.751,0.858,0.275,1.5,3.25,0.462,False
P08,Agem Kanan,1,Tahan,P4,10,10,5.007,3.476,4.652,4.696,4.476,0.531,-1.0,0.177,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,T3,10,5,-6.517,-0.928,0.223,0.478,-1.25,-5.266,0.322,1.474,2.75,3.25,0.846,True
P08,Agem Kanan,1,Tahan,T4,10,10,12.842,10.671,8.067,6.18,10.483,2.359,0.188,-2.416,3.25,3.25,1.0,True
P08,Agem Kanan,1,Tahan,T5,10,7,0.34,-1.031,-1.304,-3.082,-0.714,1.053,-0.317,-0.59,2.5,3.25,0.769,True
P08,Agem Kanan,1,Tahan,T6,10,6,1.542,4.17,0.64,-0.19,2.072,-0.53,2.098,-1.432,2.25,3.25,0.692,False
P08,Agem Kanan,2,Berdiri,C3,7,7,0.39,0.138,0.13,0.466,0.19,0.2,-0.052,-0.06,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,C4,7,3,-5.813,-2.681,-2.088,-3.3,-3.271,-2.542,0.59,1.182,1.5,2.5,0.6,False
P08,Agem Kanan,2,Berdiri,F3,7,7,-1.498,0.929,0.89,0.664,0.392,-1.889,0.538,0.498,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,F4,7,7,1.801,1.143,-1.227,-1.309,0.718,1.083,0.426,-1.944,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,F7,7,7,1.303,3.921,1.263,1.651,2.079,-0.776,1.842,-0.816,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,F8,7,7,3.0,2.956,1.864,0.336,2.505,0.495,0.45,-0.642,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,Fp1,7,0,,,,,,,,,0.0,2.5,0.0,False
P08,Agem Kanan,2,Berdiri,Fp2,7,7,3.928,3.014,1.351,0.143,2.526,1.402,0.488,-1.175,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,O1,7,7,-0.014,-0.629,-0.187,1.375,-0.16,0.145,-0.469,-0.027,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,O2,7,7,3.932,3.373,0.66,-0.858,2.563,1.369,0.81,-1.903,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,P3,7,7,-1.144,-1.314,-0.146,1.356,-0.621,-0.523,-0.693,0.475,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,P4,7,4,0.451,3.504,-0.221,-0.849,1.177,-0.725,2.328,-1.398,1.75,2.5,0.7,False
P08,Agem Kanan,2,Berdiri,T3,7,7,-1.067,-1.095,-1.666,-0.547,-1.298,0.231,0.203,-0.368,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,T4,7,7,9.613,8.336,2.673,1.294,7.037,2.576,1.3,-4.364,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,T5,7,5,1.582,1.638,-1.289,-0.049,0.596,0.986,1.042,-1.885,2.5,2.5,1.0,True
P08,Agem Kanan,2,Berdiri,T6,7,7,-0.835,-1.982,-2.301,-3.201,-1.806,0.971,-0.177,-0.495,2.5,2.5,1.0,True
P08,Agem Kanan,2,Gerak,C3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,C4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,F3,2,1,3.649,6.231,7.235,6.674,6.208,-2.559,0.023,1.027,1.0,1.25,0.8,True
P08,Agem Kanan,2,Gerak,F4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,F7,2,2,0.767,-1.034,-3.068,-4.892,-1.231,1.998,0.197,-1.837,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,F8,2,2,-3.553,-1.336,-4.578,-3.1,-3.211,-0.342,1.876,-1.366,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,Fp1,2,2,1.314,5.338,-0.054,0.664,2.295,-0.981,3.043,-2.349,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,Fp2,2,2,-1.52,2.041,-3.397,-2.584,-1.014,-0.506,3.056,-2.382,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,O1,2,2,-0.809,4.161,0.101,0.07,1.344,-2.153,2.817,-1.243,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,O2,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,P3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,P4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,T3,2,2,0.089,0.853,-0.313,-1.238,0.069,0.02,0.783,-0.382,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,T4,2,2,3.193,6.194,-0.294,-0.446,3.03,0.163,3.164,-3.324,1.25,1.25,1.0,True
P08,Agem Kanan,2,Gerak,T5,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Gerak,T6,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,C3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,C4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,F3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,F4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,F7,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,F8,2,2,11.717,5.001,3.369,0.951,7.928,3.789,-2.927,-4.558,1.25,1.25,1.0,True
P08,Agem Kanan,2,Naik,Fp1,2,1,3.602,-0.272,0.997,-1.424,1.38,2.222,-1.652,-0.383,1.0,1.25,0.8,True
P08,Agem Kanan,2,Naik,Fp2,2,2,-2.593,2.568,-1.356,-1.83,-0.293,-2.3,2.862,-1.062,1.25,1.25,1.0,True
P08,Agem Kanan,2,Naik,O1,2,1,4.673,1.475,2.633,-0.081,2.914,1.759,-1.439,-0.281,1.0,1.25,0.8,True
P08,Agem Kanan,2,Naik,O2,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,P3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,P4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,T3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,T4,2,2,11.299,6.817,3.155,1.03,7.707,3.592,-0.89,-4.552,1.25,1.25,1.0,True
P08,Agem Kanan,2,Naik,T5,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,2,Naik,T6,2,2,4.228,-2.476,-2.414,-4.644,0.348,3.88,-2.824,-2.762,1.25,1.25,1.0,True
P08,Agem Kanan,2,Pasca-Naik,C3,4,4,8.668,6.319,1.532,1.349,5.564,3.104,0.754,-4.032,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,C4,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pasca-Naik,F3,4,4,4.887,2.776,0.85,-0.209,2.669,2.218,0.107,-1.819,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,F4,4,4,8.615,10.848,7.388,7.155,8.995,-0.381,1.853,-1.607,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,F7,4,4,6.823,7.099,3.575,1.149,5.584,1.239,1.515,-2.009,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,F8,4,4,7.472,4.332,4.834,3.612,5.709,1.763,-1.377,-0.875,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,Fp1,4,4,6.456,-0.382,1.501,0.501,2.79,3.666,-3.172,-1.289,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,Fp2,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pasca-Naik,O1,4,4,11.627,9.802,1.771,2.102,8.155,3.472,1.647,-6.385,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,O2,4,4,8.001,8.911,0.054,1.029,6.302,1.699,2.609,-6.249,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,P3,4,4,9.51,3.602,2.757,2.82,6.086,3.424,-2.485,-3.329,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,P4,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pasca-Naik,T3,4,4,0.96,0.509,0.783,0.361,0.765,0.195,-0.256,0.018,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,T4,4,4,8.372,8.639,10.196,4.113,9.345,-0.973,-0.705,0.852,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pasca-Naik,T5,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pasca-Naik,T6,4,4,5.007,0.789,-0.696,-1.072,1.813,3.194,-1.025,-2.509,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pra-Gerak,C3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pra-Gerak,C4,4,3,-4.272,-5.048,-3.741,-4.462,-4.235,-0.037,-0.813,0.493,1.5,1.75,0.857,True
P08,Agem Kanan,2,Pra-Gerak,F3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pra-Gerak,F4,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,2,Pra-Gerak,F7,4,2,-0.372,-1.812,-1.547,-2.113,-1.224,0.852,-0.588,-0.323,1.25,1.75,0.714,False
P08,Agem Kanan,2,Pra-Gerak,F8,4,4,-3.608,-2.876,-0.01,-1.281,-1.491,-2.117,-1.384,1.481,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pra-Gerak,Fp1,4,2,3.576,-1.582,0.439,0.035,1.005,2.57,-2.587,-0.566,1.25,1.75,0.714,False
P08,Agem Kanan,2,Pra-Gerak,Fp2,4,4,-4.082,0.921,-1.122,-1.46,-1.037,-3.045,1.958,-0.085,1.75,1.75,1.0,True
P08,Agem Kanan,2,Pra-Gerak,O1,4,2,-1.657,-4.23,-2.71,-4.584,-2.773,1.116,-1.458,0.062,1.25,1.75,0.714,False
P08,Agem Kanan,2,Pra-Gerak,O2,4,1,-3.877,-4.73,-5.539,-4.512,-4.704,0.828,-0.025,-0.835,1.0,1.75,0.571,False
P08,Agem Kanan,2,Pra-Gerak,P3,4,0,,,,,,,,,0.0,1.75,0.0,False
