task,subphase,n,start,end,rep
BERSIAP,,10,1.096,4.713,
NGEED,TURUN,14,4.713,8.192,1.0
NGEED,TAHAN,8,8.192,10.1845,1.0
NGEED,NAIK,18,10.1845,13.184000000000001,1.0
BERDIRI RILEKS,,26,13.184000000000001,21.218,
NGEED,TURUN,14,21.218,24.217,2.0
NGEED,TAHAN,7,24.217,26.1825,2.0
NGEED,NAIK,22,26.1825,29.2165,2.0
BERDIRI RILEKS,,20,29.2165,37.215,
AGEM KANAN,TURUN,13,37.215,40.215,1.0
AGEM KANAN,TAHAN,8,40.215,42.2145,1.0
AGEM KANAN,NAIK,21,42.2145,45.214,1.0
BERDIRI RILEKS,,26,45.214,53.2195,
AGEM KANAN,TURUN,15,53.2195,56.247,2.0
AGEM KANAN,TAHAN,7,56.247,58.212,2.0
AGEM KANAN,NAIK,22,58.212,61.2465,2.0
BERDIRI RILEKS,,20,61.2465,69.2525,
AGEM KIRI,TURUN,12,69.2525,72.2795,1.0
AGEM KIRI,TAHAN,10,72.2795,74.245,1.0
AGEM KIRI,NAIK,21,74.245,77.251,1.0
BERDIRI RILEKS,,18,77.251,85.28399999999999,
AGEM KIRI,TURUN,13,85.28399999999999,88.28399999999999,2.0
AGEM KIRI,TAHAN,8,88.28399999999999,90.2835,2.0
AGEM KIRI,NAIK,19,90.2835,93.283,2.0
ISTIRAHAT UTAMA,,363,93.283,273.263,
BERSIAP,,9,276.096,278.31050000000005,
NGEED,TURUN,14,278.31050000000005,281.31,3.0
NGEED,TAHAN,14,281.31,284.3165,3.0
NGEED,NAIK,11,284.3165,286.28200000000004,3.0
BERDIRI RILEKS,,20,286.28200000000004,294.28049999999996,
NGEED,TURUN,15,294.28049999999996,297.31449999999995,4.0
NGEED,TAHAN,8,297.31449999999995,299.3145,4.0
NGEED,NAIK,19,299.3145,302.342,4.0
BERDIRI RILEKS,,20,302.342,310.34749999999997,
AGEM KANAN,TURUN,14,310.34749999999997,313.347,3.0
AGEM KANAN,TAHAN,14,313.347,316.3465,3.0
AGEM KANAN,NAIK,12,316.3465,318.346,3.0
BERDIRI RILEKS,,21,318.346,326.3795,
AGEM KANAN,TURUN,13,326.3795,329.34450000000004,4.0
AGEM KANAN,TAHAN,9,329.34450000000004,331.379,4.0
AGEM KANAN,NAIK,19,331.379,334.344,4.0
BERDIRI RILEKS,,20,334.344,342.377,
AGEM KIRI,TURUN,14,342.377,345.37649999999996,3.0
AGEM KIRI,TAHAN,8,345.37649999999996,347.37649999999996,3.0
AGEM KIRI,NAIK,18,347.37649999999996,350.376,3.0
BERDIRI RILEKS,,21,350.376,358.41650000000004,
AGEM KIRI,TURUN,13,358.41650000000004,361.41650000000004,4.0
AGEM KIRI,TAHAN,14,361.41650000000004,364.416,4.0
AGEM KIRI,NAIK,13,364.416,366.475,4.0
BERDIRI FOKUS MATA TERBUKA,,62,366.475,396.54949999999997,
BERDIRI ISTIRAHAT,,35,396.54949999999997,411.61699999999996,
BERDIRI MATA TERTUTUP,,62,411.61699999999996,441.501,
