task,subphase,n,start,end,rep
BERSIAP,,6,2.733,4.656499999999999,
NGEED,TURUN,14,4.656499999999999,8.120999999999999,1.0
NGEED,TAHAN,8,8.120999999999999,10.120999999999999,1.0
NGEED,NAIK,18,10.120999999999999,13.120000000000001,1.0
BERDIRI RILEKS,,21,13.120000000000001,21.154,
NGEED,TURUN,14,21.154,24.154,2.0
NGEED,TAHAN,7,24.154,26.118000000000002,2.0
NGEED,NAIK,20,26.118000000000002,29.153,2.0
BERDIRI RILEKS,,20,29.153,37.158500000000004,
AGEM KANAN,TURUN,14,37.158500000000004,40.158,1.0
AGEM KANAN,TAHAN,8,40.158,42.1575,1.0
AGEM KANAN,NAIK,19,42.1575,45.157,1.0
BERDIRI RILEKS,,20,45.157,53.156000000000006,
AGEM KANAN,TURUN,14,53.156000000000006,56.1905,2.0
AGEM KANAN,TAHAN,8,56.1905,58.155,2.0
AGEM KANAN,NAIK,19,58.155,61.189499999999995,2.0
BERDIRI RILEKS,,20,61.189499999999995,69.1885,
AGEM KIRI,TURUN,15,69.1885,72.2225,1.0
AGEM KIRI,TAHAN,7,72.2225,74.188,1.0
AGEM KIRI,NAIK,18,74.188,77.22149999999999,1.0
BERDIRI RILEKS,,22,77.22149999999999,85.2205,
AGEM KIRI,TURUN,14,85.2205,88.2205,2.0
AGEM KIRI,TAHAN,8,88.2205,90.22,2.0
AGEM KIRI,NAIK,21,90.22,93.219,2.0
ISTIRAHAT UTAMA,,364,93.219,273.2825,
BERSIAP,,12,273.2825,278.254,
NGEED,TURUN,14,278.254,281.25350000000003,3.0
NGEED,TAHAN,14,281.25350000000003,284.253,3.0
NGEED,NAIK,14,284.253,286.21799999999996,3.0
BERDIRI RILEKS,,20,286.21799999999996,294.224,
NGEED,TURUN,12,294.224,297.251,4.0
NGEED,TAHAN,8,297.251,299.251,4.0
NGEED,NAIK,19,299.251,302.28499999999997,4.0
BERDIRI RILEKS,,20,302.28499999999997,310.284,
AGEM KANAN,TURUN,13,310.284,313.283,3.0
AGEM KANAN,TAHAN,14,313.283,316.2825,3.0
AGEM KANAN,NAIK,12,316.2825,318.4145,3.0
BERDIRI RILEKS,,20,318.4145,326.31600000000003,
AGEM KANAN,TURUN,13,326.31600000000003,329.288,4.0
AGEM KANAN,TAHAN,9,329.288,331.315,4.0
AGEM KANAN,NAIK,18,331.315,334.28700000000003,4.0
BERDIRI RILEKS,,21,334.28700000000003,342.31399999999996,
AGEM KIRI,TURUN,14,342.31399999999996,345.32,3.0
AGEM KIRI,TAHAN,8,345.32,347.32,3.0
AGEM KIRI,NAIK,18,347.32,350.43,3.0
BERDIRI RILEKS,,21,350.43,358.353,
AGEM KIRI,TURUN,14,358.353,361.35249999999996,4.0
AGEM KIRI,TAHAN,14,361.35249999999996,364.35249999999996,4.0
AGEM KIRI,NAIK,13,364.35249999999996,366.4625,4.0
BERDIRI FOKUS MATA TERBUKA,,62,366.4625,396.618,
BERDIRI ISTIRAHAT,,35,396.618,411.685,
BERDIRI MATA TERTUTUP,,62,411.685,441.507,
