task,subphase,n,start,end,rep
BERSIAP,,14,0.172,5.1215,
NGEED,TURUN,14,5.1215,8.120999999999999,1.0
NGEED,TAHAN,8,8.120999999999999,10.1205,1.0
NGEED,NAIK,18,10.1205,13.1205,1.0
BERDIRI RILEKS,,21,13.1205,21.154,
NGEED,TURUN,14,21.154,24.153,2.0
NGEED,TAHAN,7,24.153,26.118000000000002,2.0
NGEED,NAIK,20,26.118000000000002,29.1525,2.0
BERDIRI RILEKS,,20,29.1525,37.186,
AGEM KANAN,TURUN,14,37.186,40.185500000000005,1.0
AGEM KANAN,TAHAN,8,40.185500000000005,42.185,1.0
AGEM KANAN,NAIK,19,42.185,45.185,1.0
BERDIRI RILEKS,,20,45.185,53.184,
AGEM KANAN,TURUN,14,53.184,56.19,2.0
AGEM KANAN,TAHAN,8,56.19,58.183,2.0
AGEM KANAN,NAIK,19,58.183,61.634,2.0
BERDIRI RILEKS,,19,61.634,69.188,
AGEM KIRI,TURUN,13,69.188,72.25,1.0
AGEM KIRI,TAHAN,9,72.25,74.1875,1.0
AGEM KIRI,NAIK,21,74.1875,77.1875,1.0
BERDIRI RILEKS,,21,77.1875,85.2205,
AGEM KIRI,TURUN,14,85.2205,88.22,2.0
AGEM KIRI,TAHAN,8,88.22,90.22,2.0
AGEM KIRI,NAIK,21,90.22,93.2195,2.0
ISTIRAHAT UTAMA,,362,93.2195,273.26149999999996,
BERSIAP,,13,273.26149999999996,278.24699999999996,
NGEED,TURUN,14,278.24699999999996,281.281,3.0
NGEED,TAHAN,14,281.281,284.281,3.0
NGEED,NAIK,14,284.281,286.25300000000004,3.0
BERDIRI RILEKS,,20,286.25300000000004,294.252,
NGEED,TURUN,14,294.252,297.251,4.0
NGEED,TAHAN,8,297.251,299.251,4.0
NGEED,NAIK,20,299.251,302.33349999999996,4.0
BERDIRI RILEKS,,20,302.33349999999996,310.3185,
AGEM KANAN,TURUN,14,310.3185,313.318,3.0
AGEM KANAN,TAHAN,14,313.318,316.318,3.0
AGEM KANAN,NAIK,12,316.318,318.317,3.0
BERDIRI RILEKS,,20,318.317,326.31600000000003,
AGEM KANAN,TURUN,14,326.31600000000003,329.2815,4.0
AGEM KANAN,TAHAN,8,329.2815,331.315,4.0
AGEM KANAN,NAIK,20,331.315,334.31550000000004,4.0
BERDIRI RILEKS,,20,334.31550000000004,342.31399999999996,
AGEM KIRI,TURUN,14,342.31399999999996,345.32,3.0
AGEM KIRI,TAHAN,8,345.32,347.313,3.0
AGEM KIRI,NAIK,20,347.313,350.32,3.0
BERDIRI RILEKS,,21,350.32,358.381,
AGEM KIRI,TURUN,14,358.381,361.3805,4.0
AGEM KIRI,TAHAN,7,361.3805,363.352,4.0
AGEM KIRI,NAIK,21,363.352,366.39549999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.39549999999997,396.486,
BERDIRI ISTIRAHAT,,31,396.486,411.553,
BERDIRI MATA TERTUTUP,,63,411.553,441.507,
