task,subphase,n,start,end,rep
BERSIAP,,15,0.075,5.0920000000000005,
NGEED,TURUN,14,5.0920000000000005,8.091999999999999,1.0
NGEED,TAHAN,8,8.091999999999999,10.091000000000001,1.0
NGEED,NAIK,20,10.091000000000001,13.091000000000001,1.0
BERDIRI RILEKS,,19,13.091000000000001,21.1175,
NGEED,TURUN,14,21.1175,24.117,2.0
NGEED,TAHAN,8,24.117,26.085500000000003,2.0
NGEED,NAIK,21,26.085500000000003,29.116,2.0
BERDIRI RILEKS,,19,29.116,37.122,
AGEM KANAN,TURUN,14,37.122,40.1215,1.0
AGEM KANAN,TAHAN,8,40.1215,42.121,1.0
AGEM KANAN,NAIK,19,42.121,45.2665,1.0
BERDIRI RILEKS,,18,45.2665,53.1155,
AGEM KANAN,TURUN,15,53.1155,56.161500000000004,2.0
AGEM KANAN,TAHAN,7,56.161500000000004,58.119,2.0
AGEM KANAN,NAIK,20,58.119,61.153000000000006,2.0
BERDIRI RILEKS,,19,61.153000000000006,69.152,
AGEM KIRI,TURUN,15,69.152,72.186,1.0
AGEM KIRI,TAHAN,7,72.186,74.15100000000001,1.0
AGEM KIRI,NAIK,18,74.15100000000001,77.15100000000001,1.0
BERDIRI RILEKS,,21,77.15100000000001,85.184,
AGEM KIRI,TURUN,14,85.184,88.184,2.0
AGEM KIRI,TAHAN,8,88.184,90.19,2.0
AGEM KIRI,NAIK,18,90.19,93.30799999999999,2.0
ISTIRAHAT UTAMA,,363,93.30799999999999,273.163,
BERSIAP,,9,276.107,278.2175,
NGEED,TURUN,14,278.2175,281.217,3.0
NGEED,TAHAN,14,281.217,284.2165,3.0
NGEED,NAIK,12,284.2165,286.18899999999996,3.0
BERDIRI RILEKS,,20,286.18899999999996,294.187,
NGEED,TURUN,15,294.187,297.21450000000004,4.0
NGEED,TAHAN,8,297.21450000000004,299.2215,4.0
NGEED,NAIK,19,299.2215,302.2835,4.0
BERDIRI RILEKS,,19,302.2835,310.254,
AGEM KANAN,TURUN,14,310.254,313.25350000000003,3.0
AGEM KANAN,TAHAN,14,313.25350000000003,316.25350000000003,3.0
AGEM KANAN,NAIK,12,316.25350000000003,318.253,3.0
BERDIRI RILEKS,,21,318.253,326.28650000000005,
AGEM KANAN,TURUN,13,326.28650000000005,329.25149999999996,4.0
AGEM KANAN,TAHAN,9,329.25149999999996,331.286,4.0
AGEM KANAN,NAIK,18,331.286,334.2505,4.0
BERDIRI RILEKS,,20,334.2505,342.284,
AGEM KIRI,TURUN,14,342.284,345.2835,3.0
AGEM KIRI,TAHAN,8,345.2835,347.283,3.0
AGEM KIRI,NAIK,18,347.283,350.3175,3.0
BERDIRI RILEKS,,20,350.3175,358.3165,
AGEM KIRI,TURUN,14,358.3165,361.31600000000003,4.0
AGEM KIRI,TAHAN,14,361.31600000000003,364.31600000000003,4.0
AGEM KIRI,NAIK,13,364.31600000000003,366.3895,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.3895,396.45,
BERDIRI ISTIRAHAT,,32,396.45,411.51649999999995,
BERDIRI MATA TERTUTUP,,62,411.51649999999995,441.04,
