task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.0920000000000005,8.092,10.092,13.092,0.0010000000000012221,,,,,9.518020629882812,14.438,1.396759033203125,1.0,incomplete,video,6.439,batang_tubuh,2.0511211610633997,False,1.4530000000000012,NGEED,1,tanpa_turun,,False,berdiri
NGEED,2,21.1175,24.1175,26.1175,29.1175,0.031999999999996476,22.367,22.701,23.77,30.033,36.14598388671874,22.3495,1.479217529296875,1.0,ok,video,15.577,lengan,0.04987708872340118,True,1.4530000000000012,NGEED,2,,32.0830078125,False,
AGEM KANAN,1,37.122,40.122,42.122,45.122,0.0009999999999976694,38.976,39.573,39.976,45.905,38.196075439453125,38.89275,2.298828125,1.0,short_hold,video,38.698,lengan,0.12300087327591924,True,1.4530000000000012,AGEM KANAN,1,,-4.844085693359375,False,
AGEM KANAN,2,53.1155,56.1155,58.1155,61.1155,0.045999999999999375,54.772,55.369,58.639,61.764,46.574554443359375,54.705999999999996,1.373291015625,1.0,ok,video,47.239,lengan,0.4066834626889143,False,1.4530000000000012,AGEM KANAN,2,,-19.03680419921875,False,
AGEM KIRI,1,69.152,72.152,74.152,77.152,0.034000000000006025,70.235,71.235,71.638,78.164,29.2940673828125,70.01625,2.66064453125,1.0,short_hold,video,70.235,batang_tubuh,0.15767969430403747,True,1.4530000000000012,AGEM KIRI,1,,74.54769897460938,False,
AGEM KIRI,2,85.184,88.184,90.184,93.184,0.006000000000000227,86.844,87.107,88.107,97.44,32.033172607421875,86.44800000000001,2.62664794921875,1.0,ok,video_longgar,86.177,lengan,0.13239487340222528,True,1.4530000000000012,AGEM KIRI,2,,101.28089141845703,False,turun_tidak_terdeteksi
NGEED,3,278.2175,281.2175,283.2175,286.2175,0.9990000000000236,279.037,281.036,282.439,287.105,44.341329956054665,278.787,1.3720703125,1.0,ok,video,279.037,batang_tubuh,0.056265871297179124,True,1.4530000000000012,NGEED,3,,36.28594970703125,False,
NGEED,4,294.187,297.187,299.187,302.187,0.03449999999997999,295.507,295.895,296.506,303.033,32.96990966796875,295.47575,1.66668701171875,1.0,short_hold,video,295.507,batang_tubuh,0.11290609223979459,True,1.4530000000000012,NGEED,4,,24.441482543945312,False,
AGEM KANAN,3,310.254,313.254,315.254,318.254,0.9995000000000118,311.504,312.032,312.698,318.767,39.46110534667969,311.43800000000005,1.770477294921875,1.0,short_hold,video,311.365,lengan,0.12220841777440594,True,1.4530000000000012,AGEM KANAN,3,,-44.576904296875,False,
AGEM KANAN,4,326.28650000000005,329.28650000000005,331.28650000000005,334.28650000000005,0.03500000000002501,328.03,328.571,329.238,334.903,32.18789062500002,327.97799999999995,2.07611083984375,1.0,short_hold,video,327.641,lengan,0.09872168571983343,True,1.4530000000000012,AGEM KANAN,4,,-30.583221435546875,False,
AGEM KIRI,3,342.284,345.284,347.284,350.284,0.0009999999999763531,343.235,344.763,344.971,350.901,24.84205322265626,342.79449999999997,2.1375732421875,1.0,short_hold,video_longgar,336.361,lengan,0.5435893567809513,False,1.4530000000000012,AGEM KIRI,3,,,False,turun_tidak_terdeteksi
AGEM KIRI,4,358.3165,361.3165,363.3165,366.3165,0.999499999999955,359.83,361.108,361.83,365.232,24.4501953125,359.56275,2.6436309814453125,1.0,short_hold,video,359.303,lengan,0.16907476934137478,True,1.4530000000000012,AGEM KIRI,4,,20.649566650390625,True,
