participant_id,gerakan,rep,fase,kanal,M0_absolut_theta,M2_relatif_theta,M3_berdiri_theta,M0_absolut_mu,M2_relatif_mu,M3_berdiri_mu,M0_absolut_beta,M2_relatif_beta,M3_berdiri_beta,otot_db,M1_specparam_theta,M1_specparam_mu,M1_specparam_beta,aperiodik_offset_db,M4_otot_theta,M4_otot_mu,M4_otot_beta
P08,Agem Kanan,1,Berdiri,T5,-4.203,-0.617,-7.381,-1.66,1.926,-4.65,-4.07,-0.484,-6.358,-3.053,1.418,2.54,-0.583,-8.868,-1.664,1.126,-1.034
P08,Agem Kanan,1,Berdiri,Fp2,1.795,0.063,-2.402,1.606,-0.126,-1.414,1.14,-0.592,-1.789,-0.032,1.154,1.51,1.468,2.077,1.821,1.635,1.171
P08,Agem Kanan,1,Berdiri,F4,4.733,0.94,0.612,3.508,-0.285,0.646,2.574,-1.218,-0.381,2.182,1.425,0.751,0.428,4.712,2.919,1.518,0.405
P08,Agem Kanan,1,Berdiri,C4,-2.358,-0.399,-3.994,-2.404,-0.444,-4.359,-1.591,0.368,-3.006,-1.865,0.223,-0.033,0.682,-2.586,-0.807,-0.702,0.262
P08,Agem Kanan,1,Berdiri,P4,1.818,1.474,-2.34,-0.953,-1.297,-1.734,-0.874,-1.218,-1.658,-3.199,1.036,0.647,1.729,5.242,4.478,1.966,2.307
P08,Agem Kanan,1,Berdiri,O2,3.083,1.14,-0.374,1.139,-0.804,-1.254,1.966,0.023,-0.938,2.236,0.752,-1.761,-0.464,1.756,1.224,-0.901,-0.257
P08,Agem Kanan,1,Berdiri,F8,6.026,-0.531,-0.875,5.357,-1.2,0.49,4.077,-2.479,-0.086,3.929,-0.433,0.38,1.002,10.515,2.759,1.772,0.171
P08,Agem Kanan,1,Berdiri,T4,8.411,1.01,-0.271,6.555,-0.845,0.381,2.82,-4.58,0.076,1.729,0.942,2.137,0.778,14.465,6.973,4.978,1.101
P08,Agem Kanan,1,Berdiri,T6,-2.441,-0.313,-4.312,-2.037,0.09,-2.134,-2.39,-0.262,-1.722,-2.235,-0.544,-0.112,-0.365,-1.496,-0.582,0.002,-0.168
P08,Agem Kanan,1,Gerak,Fp1,-1.684,-2.735,-4.03,2.025,0.974,0.268,1.157,0.107,0.504,2.486,0.715,-0.675,3.263,-1.804,-3.751,-0.243,-1.314
P08,Agem Kanan,1,Gerak,F3,10.969,-0.19,8.437,9.454,-1.705,6.625,13.517,2.359,11.998,11.106,5.574,2.771,5.362,3.226,1.735,-0.678,2.477
P08,Agem Kanan,1,Gerak,O1,2.999,1.082,0.874,2.925,1.007,0.097,0.928,-0.99,-1.553,-0.675,3.182,2.231,1.133,-1.811,3.56,3.54,1.598
P08,Agem Kanan,1,Gerak,F7,-1.216,1.441,-5.607,-8.248,-5.591,-12.366,-0.617,2.041,-3.041,-0.883,9.093,-0.711,2.42,-22.639,-0.482,-7.442,0.261
P08,Agem Kanan,1,Gerak,T3,3.246,0.106,-0.804,-0.244,-3.385,-4.768,5.668,2.528,1.747,3.542,4.514,-0.712,4.36,-3.459,0.301,-3.476,2.147
P08,Agem Kanan,1,Gerak,Fp2,0.129,-0.016,-4.068,-0.434,-0.578,-3.453,2.809,2.664,-0.12,3.003,2.174,0.543,3.232,-2.26,-2.369,-3.173,-0.177
P08,Agem Kanan,1,Gerak,F8,-5.158,-3.029,-12.059,-4.174,-2.044,-9.041,0.63,2.759,-3.534,1.224,0.308,-0.109,2.78,-8.429,-6.176,-5.29,-0.587
P08,Agem Kanan,1,Gerak,T4,2.033,-0.166,-6.649,1.3,-0.898,-4.874,4.126,1.928,1.383,4.729,2.89,1.851,3.205,-1.006,-1.899,-3.014,-0.574
P08,Agem Kanan,1,Naik,Fp1,-1.287,-4.757,-3.633,5.0,1.53,3.243,4.565,1.095,3.912,4.668,-1.47,4.134,4.197,1.096,-5.168,0.741,-0.075
P08,Agem Kanan,1,Naik,O1,-1.43,0.306,-3.554,0.192,1.928,-2.636,-1.841,-0.106,-4.322,-1.96,4.351,7.171,3.584,-9.425,0.2,1.98,0.107
P08,Agem Kanan,1,Naik,F7,2.113,-0.384,-2.277,5.003,2.506,0.885,2.38,-0.117,-0.045,2.58,2.035,4.739,1.483,-1.186,-0.032,2.649,-0.185
P08,Agem Kanan,1,Naik,T3,-2.834,-5.171,-6.884,6.109,3.773,1.586,3.253,0.917,-0.668,3.27,-0.599,7.521,2.523,-6.556,-5.554,3.126,0.002
P08,Agem Kanan,1,Naik,Fp2,4.257,0.299,0.06,5.441,1.484,2.422,5.935,1.978,3.006,4.335,3.431,3.351,1.576,-2.684,0.652,1.486,1.625
P08,Agem Kanan,1,Naik,F8,4.131,0.897,-2.769,4.723,1.489,-0.144,3.603,0.369,-0.561,2.54,3.233,3.967,1.456,-1.637,2.019,2.406,1.078
P08,Agem Kanan,1,Naik,T4,2.693,-3.482,-5.989,10.897,4.722,4.723,6.608,0.433,3.865,5.369,1.879,8.566,1.671,-2.245,-1.772,5.999,1.27
P08,Agem Kanan,1,Tahan,Fp1,4.529,1.707,2.184,5.407,2.585,3.651,0.081,-2.741,-0.572,-0.55,2.992,4.762,0.475,4.467,4.986,5.909,0.627
P08,Agem Kanan,1,Tahan,O1,-4.601,-0.919,-6.725,-2.325,1.357,-5.153,-3.308,0.374,-5.789,-3.499,0.959,3.201,1.658,-6.665,-1.691,0.867,0.171
P08,Agem Kanan,1,Tahan,F7,2.246,0.158,-2.145,4.512,2.424,0.394,1.258,-0.83,-1.167,1.154,1.837,3.947,-0.029,-0.179,1.286,3.459,0.11
P08,Agem Kanan,1,Tahan,T3,-6.517,-4.363,-10.567,-0.928,1.226,-5.452,0.223,2.378,-3.698,0.441,-0.634,3.012,1.705,-12.491,-6.883,-1.33,-0.215
P08,Agem Kanan,1,Tahan,T5,0.34,1.478,-2.838,-1.031,0.107,-4.021,-1.304,-0.166,-3.592,-2.981,2.597,1.254,1.342,-0.766,2.818,1.689,1.659
P08,Agem Kanan,1,Tahan,Fp2,6.673,2.199,2.477,6.684,2.209,3.665,4.212,-0.263,1.283,4.037,4.028,4.475,1.977,3.099,3.316,3.001,0.198
P08,Agem Kanan,1,Tahan,F4,5.42,-0.396,1.299,8.295,2.479,5.434,7.28,1.464,4.324,7.183,2.178,3.328,0.485,-1.098,-0.552,1.743,0.14
P08,Agem Kanan,1,Tahan,C4,1.458,-0.07,-0.178,0.743,-0.785,-1.212,2.635,1.107,1.221,2.047,0.917,-0.343,1.556,0.355,-0.244,-1.124,0.6
P08,Agem Kanan,1,Tahan,P4,5.007,0.057,0.849,3.476,-1.474,2.695,4.652,-0.297,3.868,4.637,-0.063,-0.688,1.14,6.539,1.151,-0.755,0.043
P08,Agem Kanan,1,Tahan,O2,4.908,1.17,1.451,4.823,1.084,2.429,4.484,0.745,1.58,4.442,3.71,2.324,0.608,-2.065,1.214,0.77,0.068
P08,Agem Kanan,1,Tahan,F8,9.177,-0.384,2.277,11.154,1.592,6.287,9.111,-0.451,4.947,7.923,1.178,2.941,0.309,7.03,2.589,3.925,1.234
P08,Agem Kanan,1,Tahan,T4,12.842,2.597,4.161,10.671,0.426,4.498,8.067,-2.178,5.324,6.205,3.077,2.626,0.936,12.961,7.682,5.01,1.899
P08,Agem Kanan,2,Berdiri,F3,-1.698,-2.518,-4.23,1.467,0.647,-1.362,0.533,-0.287,-0.986,-0.009,-0.916,1.967,1.036,-1.463,-1.69,1.476,0.543
P08,Agem Kanan,2,Berdiri,C3,1.664,1.232,0.664,0.095,-0.337,0.447,-0.758,-1.19,-1.492,-0.305,1.695,0.265,0.343,1.078,1.918,0.373,-0.455
P08,Agem Kanan,2,Berdiri,P3,-1.98,0.2,-0.974,-3.389,-1.209,-2.846,-1.524,0.656,-1.911,-0.327,2.309,0.357,2.008,-4.94,-1.708,-3.091,-1.198
P08,Agem Kanan,2,Berdiri,O1,0.143,0.53,-1.982,-0.592,-0.206,-3.421,-0.327,0.06,-2.808,0.839,3.571,1.654,1.766,-4.428,-0.555,-1.358,-1.161
P08,Agem Kanan,2,Berdiri,F7,0.06,-2.122,-4.331,2.89,0.708,-1.228,1.014,-1.167,-1.411,1.213,-1.801,1.363,-0.317,2.432,-0.949,1.783,-0.192
P08,Agem Kanan,2,Berdiri,T3,-0.306,0.032,-4.356,-0.42,-0.082,-4.944,-1.238,-0.9,-5.16,-0.326,1.242,1.191,1.092,-0.908,-0.035,-0.123,-0.914
P08,Agem Kanan,2,Berdiri,T5,-0.661,-0.588,-3.839,-0.366,-0.293,-3.356,-2.939,-2.866,-5.227,-1.9,1.146,1.762,-0.533,-0.76,0.918,1.367,-1.051
P08,Agem Kanan,2,Berdiri,Fp2,3.1,-0.675,-1.096,1.527,-2.249,-1.492,1.078,-2.698,-1.851,-0.392,-0.191,-0.657,0.269,6.921,3.426,1.885,1.467
P08,Agem Kanan,2,Berdiri,F4,1.027,0.382,-3.094,0.89,0.245,-1.971,-1.025,-1.67,-3.98,-1.235,0.423,0.718,-0.039,2.726,2.054,2.017,0.203
P08,Agem Kanan,2,Berdiri,C4,-4.566,-2.792,-6.202,-2.253,-0.48,-4.209,-2.94,-1.166,-4.354,-2.86,-1.27,1.432,1.45,-1.483,-2.188,0.356,-0.097
P08,Agem Kanan,2,Berdiri,P4,0.214,-1.657,-3.944,0.871,-0.999,0.09,-1.316,-3.187,-2.101,-2.163,-0.176,1.92,1.134,4.852,2.012,2.845,0.834
P08,Agem Kanan,2,Berdiri,O2,3.239,0.812,-0.218,2.246,-0.181,-0.148,0.29,-2.137,-2.614,-0.719,1.065,1.748,0.297,3.193,3.837,2.902,1.004
P08,Agem Kanan,2,Berdiri,F8,4.562,0.768,-2.339,4.053,0.259,-0.814,1.194,-2.6,-2.97,-0.231,0.365,1.872,0.089,7.892,4.753,4.263,1.423
P08,Agem Kanan,2,Berdiri,T4,8.734,1.722,0.052,6.576,-0.436,0.402,1.926,-5.086,-0.818,0.799,1.73,1.689,-0.188,13.299,8.07,5.847,1.132
P08,Agem Kanan,2,Berdiri,T6,-0.971,-1.54,-2.843,-0.866,-1.434,-0.963,-2.863,-3.432,-2.196,-3.713,-0.568,0.615,-0.16,3.107,2.116,2.522,0.828
P08,Agem Kanan,2,Gerak,Fp1,1.314,-0.427,-1.032,5.338,3.598,3.581,-0.054,-1.795,-0.707,0.746,3.256,7.538,1.601,-0.449,0.694,4.658,-0.795
P08,Agem Kanan,2,Gerak,F3,3.649,-3.286,1.117,6.231,-0.704,3.402,7.235,0.3,5.716,6.842,-1.364,4.481,6.86,10.625,-2.04,-0.012,0.433
P08,Agem Kanan,2,Gerak,O1,-0.809,-2.032,-2.934,4.161,2.939,1.333,0.101,-1.121,-2.379,0.171,0.527,8.061,4.522,1.917,-0.951,4.006,-0.068
P08,Agem Kanan,2,Gerak,F7,0.767,1.349,-3.624,-1.034,-0.451,-5.152,-3.068,-2.486,-5.493,-4.652,2.212,0.399,0.543,2.241,4.635,3.21,1.557
P08,Agem Kanan,2,Gerak,T3,0.089,-0.244,-3.961,0.853,0.52,-3.671,-0.313,-0.646,-4.234,-0.949,0.518,3.285,3.67,4.905,0.879,1.719,0.631
P08,Agem Kanan,2,Gerak,Fp2,-1.52,-1.228,-5.717,2.041,2.333,-0.978,-3.397,-3.105,-6.326,-2.58,1.312,5.565,1.408,0.066,0.625,4.395,-0.832
P08,Agem Kanan,2,Gerak,F8,-3.553,-1.212,-10.453,-1.336,1.005,-6.203,-4.578,-2.237,-8.741,-3.008,0.829,4.161,2.488,0.033,-1.052,1.408,-1.588
P08,Agem Kanan,2,Gerak,T4,3.193,0.43,-5.489,6.194,3.431,0.02,-0.294,-3.058,-3.038,-0.426,3.283,6.791,1.651,4.108,3.548,6.583,0.13
P08,Agem Kanan,2,Naik,Fp1,3.602,2.895,1.257,-0.272,-0.979,-2.029,0.997,0.29,0.343,-1.46,7.325,5.939,4.734,-5.587,4.816,1.06,2.448
P08,Agem Kanan,2,Naik,O1,4.673,2.363,2.549,1.475,-0.835,-1.353,2.633,0.323,0.153,-0.128,7.071,6.352,4.959,-4.397,4.78,1.592,2.761
P08,Agem Kanan,2,Naik,Fp2,-2.593,-4.022,-6.79,2.568,1.139,-0.451,-1.356,-2.785,-4.285,-1.868,-1.175,5.589,1.982,1.203,-1.04,4.272,0.501
P08,Agem Kanan,2,Naik,F8,11.717,3.587,4.816,5.001,-3.129,0.134,3.369,-4.76,-0.794,0.941,7.581,0.338,0.908,8.911,10.934,4.142,2.434
P08,Agem Kanan,2,Naik,T4,11.299,3.17,2.617,6.817,-1.312,0.643,3.155,-4.973,0.411,1.049,4.201,3.152,1.389,13.931,10.427,5.86,2.112
P08,Agem Kanan,2,Naik,T6,4.228,4.064,2.357,-2.476,-2.64,-2.574,-2.414,-2.578,-1.746,-4.617,6.623,0.407,2.534,2.877,8.067,1.736,2.176
P08,Agem Kanan,2,Tahan,T5,-2.346,-0.607,-5.524,-1.84,-0.1,-4.829,-2.162,-0.422,-4.449,-3.019,-0.002,1.594,1.78,-0.359,0.164,0.915,0.84
P08,Agem Kanan,2,Tahan,Fp2,4.605,-0.957,0.408,6.795,1.233,3.776,6.061,0.499,3.132,5.953,-0.577,2.092,1.997,6.04,-0.345,1.364,0.143
P08,Agem Kanan,2,Tahan,F4,7.157,-0.207,3.035,7.954,0.59,5.092,8.198,0.834,5.242,9.226,0.077,0.07,-0.23,5.111,-0.515,-0.463,-0.974
P08,Agem Kanan,2,Tahan,C4,3.211,-0.014,1.575,3.748,0.523,1.793,2.811,-0.414,1.397,2.406,0.611,1.702,1.318,4.174,1.211,1.553,0.42
P08,Agem Kanan,2,Tahan,P4,11.783,2.145,7.625,9.304,-0.335,8.523,10.266,0.628,9.482,10.824,3.31,0.357,1.087,7.349,2.783,-0.571,-0.494
P08,Agem Kanan,2,Tahan,O2,-0.169,-1.006,-3.626,2.347,1.51,-0.047,1.094,0.257,-1.81,0.937,-0.185,2.305,1.365,0.418,-0.948,1.492,0.162
P08,Agem Kanan,2,Tahan,F8,12.088,0.829,5.187,10.281,-0.978,5.414,5.895,-5.363,1.732,3.912,1.292,2.367,0.473,18.832,8.835,6.712,2.007
P08,Agem Kanan,2,Tahan,T4,8.788,1.842,0.107,5.857,-1.089,-0.317,3.43,-3.517,0.686,1.777,1.995,0.699,-0.166,11.506,7.31,4.236,1.663
P08,Agem Kanan,2,Tahan,T6,5.152,3.076,3.281,0.171,-1.905,0.074,-2.535,-4.611,-1.867,-2.896,2.236,-0.622,-0.922,6.096,7.56,2.813,0.344
P08,Agem Kanan,3,Berdiri,T5,-9.551,1.45,-12.728,-13.463,-2.462,-16.452,-12.192,-1.192,-14.48,-13.501,0.525,-0.908,1.673,-6.791,1.676,-1.145,1.23
P08,Agem Kanan,3,Berdiri,Fp2,1.28,1.101,-2.917,1.496,1.317,-1.523,-0.613,-0.792,-3.542,-1.771,0.935,2.414,0.881,2.507,2.752,3.112,1.147
P08,Agem Kanan,3,Berdiri,F4,4.083,2.684,-0.038,-1.249,-2.647,-4.11,-0.499,-1.898,-3.455,0.092,1.462,-1.761,0.105,5.599,4.007,-1.332,-0.59
P08,Agem Kanan,3,Berdiri,C4,0.272,-1.259,-1.364,2.272,0.741,0.316,0.832,-0.699,-0.583,-1.846,0.11,2.324,2.302,4.26,1.807,3.956,2.667
P08,Agem Kanan,3,Berdiri,P4,7.785,3.419,3.627,-0.467,-4.833,-1.248,0.588,-3.778,-0.196,-1.214,4.42,-1.147,2.149,8.653,8.794,0.64,1.795
P08,Agem Kanan,3,Berdiri,O2,2.742,1.794,-0.715,1.954,1.006,-0.439,-0.978,-1.926,-3.882,-2.04,2.776,1.996,1.004,3.095,4.438,3.816,1.05
P08,Agem Kanan,3,Berdiri,F8,7.884,1.303,0.983,4.56,-2.021,-0.307,0.441,-6.14,-3.723,-0.783,1.913,0.55,-0.516,13.021,8.535,5.275,1.22
P08,Agem Kanan,3,Berdiri,T4,10.235,2.257,1.553,7.923,-0.055,1.749,2.969,-5.008,0.226,1.522,1.982,3.246,1.302,16.207,8.969,6.534,1.456
P08,Agem Kanan,3,Berdiri,T6,-1.511,1.392,-3.383,-1.639,1.265,-1.736,-4.12,-1.217,-3.452,-5.705,2.774,3.287,0.329,-2.637,3.232,3.566,1.551
P08,Agem Kanan,3,Gerak,C3,-3.152,4.178,-4.152,-11.142,-3.812,-10.79,-13.655,-6.326,-14.39,-13.876,6.066,2.386,1.675,-4.786,8.386,1.518,0.139
P08,Agem Kanan,3,Gerak,O1,-12.185,-0.422,-14.31,-12.042,-0.278,-14.87,-14.062,-2.298,-16.542,-12.614,4.345,6.587,-0.092,-30.299,-1.696,-0.533,-1.521
P08,Agem Kanan,3,Gerak,T5,-9.139,2.045,-12.316,-9.604,1.579,-12.594,-11.782,-0.599,-14.07,-10.596,7.468,5.786,-0.01,-25.191,-0.327,0.063,-1.248
P08,Agem Kanan,3,Gerak,Fp2,-0.881,-0.637,-5.077,3.371,3.615,0.351,-4.745,-4.501,-7.674,-4.9,1.999,7.879,3.039,4.684,3.193,7.841,0.126
P08,Agem Kanan,3,Gerak,F4,-3.44,-0.978,-7.562,-3.463,-1.0,-6.324,-0.196,2.266,-3.152,0.285,1.027,-2.256,-0.121,-9.693,-3.677,-3.723,-0.48
P08,Agem Kanan,3,Gerak,C4,5.004,0.743,3.368,-0.784,-5.045,-2.739,2.069,-2.193,0.654,3.24,4.08,0.285,3.095,-1.407,2.31,-3.74,-1.153
P08,Agem Kanan,3,Gerak,P4,6.97,3.569,2.813,1.62,-1.781,0.839,2.022,-1.38,1.237,0.378,3.96,1.126,2.143,5.12,6.656,1.275,1.646
P08,Agem Kanan,3,Gerak,O2,8.522,3.762,5.065,3.217,-1.543,0.823,0.18,-4.58,-2.724,0.988,2.747,0.896,0.958,14.958,7.7,2.315,-0.802
P08,Agem Kanan,3,Gerak,F8,-1.829,0.607,-8.73,-2.894,-0.457,-7.761,-2.12,0.317,-6.283,-1.54,0.815,-1.486,0.632,-2.09,-0.549,-1.488,-0.589
P08,Agem Kanan,3,Gerak,T4,2.08,1.923,-6.602,-1.551,-1.707,-7.724,-2.14,-2.296,-4.883,-1.049,4.628,1.873,1.089,-8.915,2.952,-0.593,-1.096
P08,Agem Kanan,3,Gerak,T6,2.386,0.916,0.515,-2.565,-4.035,-2.662,-3.019,-4.489,-2.351,-3.958,0.727,-0.079,0.422,4.504,5.677,1.046,0.916
P08,Agem Kanan,3,Naik,Fp1,-2.868,0.847,-5.214,-2.078,1.638,-3.834,-4.637,-0.922,-5.291,-5.635,1.741,4.36,2.948,-1.065,1.817,3.063,0.965
P08,Agem Kanan,3,Naik,F3,0.751,2.229,-1.781,0.532,2.01,-2.297,-2.642,-1.165,-4.161,-3.133,7.127,5.369,0.545,-12.315,3.356,3.39,0.472
P08,Agem Kanan,3,Naik,C3,-4.52,0.608,-5.52,-2.014,3.113,-1.663,-6.52,-1.392,-7.254,-8.43,3.224,5.752,1.258,-6.551,2.49,5.677,1.861
P08,Agem Kanan,3,Naik,P3,-6.701,-1.423,-5.695,-5.764,-0.485,-5.22,-7.94,-2.661,-8.328,-9.134,-0.465,3.892,3.351,-0.164,0.894,2.57,1.141
P08,Agem Kanan,3,Naik,O1,1.453,0.597,-0.672,-0.405,-1.26,-3.233,-1.236,-2.091,-3.717,-1.481,0.222,0.215,-0.274,0.803,2.684,0.946,0.236
P08,Agem Kanan,3,Naik,F7,-5.03,-0.252,-9.421,-5.756,-0.978,-9.874,-3.847,0.93,-6.272,-2.943,0.861,1.619,3.337,-6.157,-2.583,-3.071,-0.922
P08,Agem Kanan,3,Naik,T3,3.443,1.717,-0.607,-0.225,-1.951,-4.749,-3.141,-4.867,-7.062,-3.389,1.353,0.249,2.194,12.046,6.261,2.867,0.228
P08,Agem Kanan,3,Naik,T5,1.001,0.759,-2.177,-0.993,-1.234,-3.982,-0.312,-0.554,-2.6,0.208,1.113,-0.036,1.596,0.553,0.828,-1.182,-0.519
P08,Agem Kanan,3,Naik,Fp2,4.169,3.84,-0.028,-0.686,-1.015,-3.705,-0.735,-1.064,-3.664,-3.902,4.977,3.025,2.766,1.313,7.413,2.874,3.144
P08,Agem Kanan,3,Naik,F4,1.713,-0.436,-2.409,-1.59,-3.739,-4.452,-0.551,-2.7,-3.507,-2.807,2.898,4.507,7.577,8.163,4.047,0.971,2.239
P08,Agem Kanan,3,Naik,C4,7.618,2.178,5.982,5.718,0.278,3.763,6.046,0.606,4.632,2.453,7.979,5.714,3.305,-3.071,5.578,3.48,3.608
P08,Agem Kanan,3,Naik,P4,15.196,2.405,11.038,6.562,-6.229,5.781,11.055,-1.736,10.271,7.808,5.387,-1.638,4.69,16.842,8.703,-0.562,3.293
P08,Agem Kanan,3,Naik,O2,2.93,-1.37,-0.527,7.217,2.917,4.823,4.911,0.612,2.007,2.517,1.555,4.148,1.033,0.493,0.836,4.92,2.408
P08,Agem Kanan,3,Naik,F8,16.943,2.559,10.043,12.673,-1.711,7.806,10.799,-3.585,6.635,7.363,3.036,1.055,2.752,24.179,10.821,5.956,3.48
P08,Agem Kanan,3,Naik,T4,3.661,0.747,-5.021,-0.159,-3.074,-6.333,2.427,-0.487,-0.317,-0.324,1.27,-0.64,1.445,3.04,3.93,0.136,2.749
P08,Agem Kanan,3,Naik,T6,1.3,-3.661,-0.572,1.069,-3.891,0.972,-1.157,-6.117,-0.489,-2.627,-0.49,1.696,0.528,9.859,3.484,3.465,1.455
P08,Agem Kanan,3,Tahan,Fp1,-3.302,1.205,-5.648,-3.363,1.144,-5.12,-4.876,-0.369,-5.53,-6.339,2.623,2.653,1.49,-4.398,1.969,2.42,1.426
P08,Agem Kanan,3,Tahan,F3,-4.677,0.621,-7.21,-3.775,1.524,-6.604,-4.675,0.624,-6.194,-4.753,4.078,3.397,0.597,-14.083,-0.725,0.562,0.05
P08,Agem Kanan,3,Tahan,C3,-4.533,1.728,-5.534,-5.711,0.551,-5.359,-7.915,-1.654,-8.65,-9.438,2.335,2.832,1.796,-2.368,3.314,2.899,1.467
P08,Agem Kanan,3,Tahan,P3,-3.561,1.338,-2.555,-6.452,-1.553,-5.908,-7.311,-2.413,-7.699,-9.266,0.105,0.67,2.473,3.207,4.144,2.002,1.9
P08,Agem Kanan,3,Tahan,O1,-0.909,0.458,-3.033,-1.243,0.124,-4.071,-2.871,-1.504,-5.352,-3.306,-0.049,1.137,1.212,3.242,1.841,1.773,0.416
P08,Agem Kanan,3,Tahan,F7,-6.685,0.01,-11.076,-7.775,-1.081,-11.893,-8.553,-1.858,-10.977,-8.027,-0.646,0.009,0.559,-3.276,-0.01,-0.451,-0.573
P08,Agem Kanan,3,Tahan,T3,-1.358,1.732,-5.408,-5.612,-2.522,-10.135,-4.551,-1.461,-8.472,-4.825,2.341,-0.963,1.925,-0.398,2.654,-1.209,0.246
P08,Agem Kanan,3,Tahan,T5,-3.03,-1.225,-6.207,-2.639,-0.834,-5.629,-2.848,-1.043,-5.135,-3.073,-1.245,0.584,1.182,1.17,-0.475,0.164,0.207
P08,Agem Kanan,3,Tahan,Fp2,3.947,1.499,-0.25,3.609,1.161,0.59,2.418,-0.03,-0.511,1.236,2.51,2.569,1.937,3.376,2.919,2.482,1.19
P08,Agem Kanan,3,Tahan,F4,2.233,-1.519,-1.889,2.15,-1.602,-0.712,4.259,0.507,1.303,5.067,-0.951,-1.527,-0.492,-0.043,-1.981,-2.473,-0.778
P08,Agem Kanan,3,Tahan,C4,0.728,-0.633,-0.908,1.19,-0.171,-0.765,1.551,0.189,0.136,1.257,0.17,0.674,0.859,-0.075,-0.317,0.043,0.301
P08,Agem Kanan,3,Tahan,P4,13.113,3.559,8.955,7.986,-1.568,7.205,7.057,-2.497,6.273,6.02,6.457,0.05,2.226,9.934,8.108,2.494,1.073
P08,Agem Kanan,3,Tahan,O2,-0.559,-1.88,-4.016,1.845,0.524,-0.549,0.384,-0.936,-2.52,-1.78,-1.036,2.368,1.18,3.101,0.921,3.469,2.154
P08,Agem Kanan,3,Tahan,F8,12.995,2.475,6.095,12.715,2.195,7.848,5.97,-4.55,1.806,6.785,5.112,5.898,1.562,12.558,7.354,6.525,-0.775
P08,Agem Kanan,3,Tahan,T4,9.496,1.752,0.815,8.095,0.351,1.921,6.462,-1.282,3.718,5.061,1.556,1.669,1.623,11.556,5.288,3.478,1.431
P08,Agem Kanan,3,Tahan,T6,2.957,1.745,1.085,-2.101,-3.313,-2.198,-3.421,-4.633,-2.753,-2.771,1.113,-1.678,1.243,9.995,5.261,0.427,-0.666
P08,Agem Kanan,4,Berdiri,Fp1,-6.117,0.71,-8.462,-8.177,-1.351,-9.934,-8.356,-1.529,-9.009,-8.052,0.375,0.47,1.929,-1.927,0.579,-0.831,-0.351
P08,Agem Kanan,4,Berdiri,C3,-2.828,0.828,-3.828,-2.783,0.873,-2.431,-4.653,-0.997,-5.387,-4.497,2.872,3.274,1.104,-5.472,0.911,1.32,-0.183
P08,Agem Kanan,4,Berdiri,P3,-5.733,0.748,-4.727,-4.756,1.725,-4.213,-7.253,-0.772,-7.641,-8.109,2.288,4.006,1.903,-5.185,1.01,2.642,0.808
P08,Agem Kanan,4,Berdiri,O1,-6.609,0.193,-8.733,-5.569,1.233,-8.397,-7.301,-0.499,-9.782,-7.651,0.225,1.795,1.065,-5.617,-0.247,1.411,0.305
P08,Agem Kanan,4,Berdiri,F7,-0.614,0.191,-5.005,-1.076,-0.271,-5.194,-1.681,-0.876,-4.106,-2.44,-0.02,0.282,-0.101,1.724,1.414,1.15,0.745
P08,Agem Kanan,4,Berdiri,T5,-5.303,1.516,-8.48,-5.841,0.978,-8.83,-7.664,-0.845,-9.952,-7.9,1.533,1.072,-0.726,-6.342,1.266,1.366,0.189
P08,Agem Kanan,4,Berdiri,Fp2,6.0,1.78,1.803,1.732,-2.488,-1.288,-0.819,-5.039,-3.748,-1.283,3.5,0.48,1.034,7.903,7.066,2.902,0.456
P08,Agem Kanan,4,Berdiri,F4,5.782,1.491,1.66,3.631,-0.659,0.77,1.123,-3.167,-1.832,1.803,2.388,0.601,-0.399,5.375,4.283,1.987,-0.669
P08,Agem Kanan,4,Berdiri,C4,0.217,-1.449,-1.42,1.075,-0.591,-0.88,-0.018,-1.684,-1.433,0.585,-0.82,0.679,0.499,3.279,-0.27,0.541,-0.6
P08,Agem Kanan,4,Berdiri,P4,4.213,0.348,0.055,2.287,-1.578,1.506,1.308,-2.558,0.523,-0.446,-0.35,0.388,1.139,9.582,4.584,2.694,1.751
P08,Agem Kanan,4,Berdiri,O2,1.682,-1.864,-1.775,2.64,-0.906,0.246,0.4,-3.146,-2.504,0.472,0.118,2.175,1.079,4.103,1.289,2.209,-0.069
P08,Agem Kanan,4,Berdiri,F8,7.808,-0.129,0.907,4.124,-3.812,-0.743,3.691,-4.246,-0.473,3.409,0.057,-1.354,1.007,14.491,4.973,1.014,0.302
P08,Agem Kanan,4,Berdiri,T4,8.57,-0.685,-0.112,3.952,-5.303,-2.222,1.702,-7.553,-1.041,0.435,-0.437,-1.286,-0.096,16.621,8.208,3.555,1.27
P08,Agem Kanan,4,Berdiri,T6,1.983,0.623,0.112,-2.083,-3.444,-2.18,-1.614,-2.975,-0.947,0.415,3.09,-1.456,-0.064,-0.511,1.639,-2.462,-2.027
P08,Agem Kanan,4,Gerak,Fp1,-3.477,2.084,-5.823,-12.948,-7.387,-14.704,-7.252,-1.692,-7.906,-7.632,6.721,-3.002,3.532,-8.573,2.87,-5.984,0.335
P08,Agem Kanan,4,Gerak,F3,-7.142,1.461,-9.675,-6.671,1.932,-9.5,-9.62,-1.017,-11.139,-8.409,3.948,4.21,0.955,-12.276,-0.15,1.001,-1.26
