participant_id,kind,task,rep,phase,t0,channel,ptp_uv,flat_frac,clipping,label
P08,gerak,NGEED,1.0,TURUN,7.58,C3,102.3,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,7.58,P3,71.0,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,O1,94.9,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,F7,72.6,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,T3,78.1,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,T5,42.2,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,Fp2,77.2,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,F4,49.7,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,C4,38.3,0.52,False,datar
P08,gerak,NGEED,1.0,TURUN,7.58,P4,30.8,0.52,False,datar
P08,gerak,NGEED,1.0,TURUN,7.58,O2,36.4,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,F8,69.4,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,T4,53.9,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,T6,55.1,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,8.58,Fp1,5.2,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,8.58,F3,134.7,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,8.58,C3,135.0,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,8.58,P3,108.6,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,8.58,O1,121.1,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,8.58,F7,158.0,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,T3,135.4,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,8.58,T5,50.7,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,8.58,Fp2,285.4,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,F4,234.4,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,C4,167.2,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,P4,168.6,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,O2,200.3,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,F8,269.3,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,T4,283.6,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,8.58,T6,280.9,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TAHAN,9.68,Fp1,5.9,0.82,False,datar
P08,gerak,NGEED,1.0,TAHAN,9.68,F3,71.0,0.38,False,datar
P08,gerak,NGEED,1.0,TAHAN,9.68,C3,92.6,0.0,False,ok
P08,gerak,NGEED,1.0,TAHAN,9.68,P3,84.3,0.0,False,ok
