participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,gerak,AGEM KANAN,2.0,TURUN,53.88,56.48,2.6,10.58,16.59,7.7,0.7,12.85,14.56,13.78,-48.03,19.39,23.59,7.96,9.66,11.39,14.07,20.01,22.76,5.38,1.85,-2.03,-1.73,6.11,6.66,4.95,-51.09,11.88,23.81,14.2,16.17,19.86,14.23,19.17,18.56
P08,gerak,AGEM KANAN,2.0,TAHAN,55.98,62.33,6.35,4.46,3.38,2.03,1.56,-4.31,-0.22,-1.61,7.53,12.11,11.35,0.68,1.56,3.66,4.51,11.41,10.56,-3.34,0.6,1.77,2.23,-0.11,0.04,0.64,-0.12,10.97,15.3,1.02,5.6,9.65,2.96,5.57,5.67
P08,gerak,AGEM KANAN,2.0,NAIK,61.83,63.7,1.87,-1.09,-16.6,-34.6,-48.31,-8.72,-8.58,-11.65,-12.41,2.2,-6.98,-6.67,-8.19,-8.83,12.91,1.26,6.78,1.38,-43.96,-47.13,-56.88,-9.26,-14.45,-22.34,-23.0,0.43,-1.33,-7.59,-6.63,-4.08,1.74,0.61,-1.53
P08,gerak,AGEM KANAN,2.0,POST,64.2,65.7,1.5,13.67,20.61,13.12,10.29,17.33,19.12,16.06,-30.65,13.09,5.86,-18.59,-44.45,-1.75,4.85,13.13,-6.49,-0.06,3.34,0.37,-1.45,4.0,3.18,3.3,-47.37,4.72,2.92,-12.61,-55.36,5.29,-4.03,8.46,-3.83
P08,gerak,AGEM KIRI,1.0,PRA,68.31,70.31,2.0,-37.75,-5.86,-0.96,0.99,-23.47,-12.0,-19.33,7.76,-1.6,-0.83,-0.93,0.07,1.57,-5.59,-3.35,0.88,-35.8,-4.45,0.57,1.09,-12.32,-6.03,-12.42,-1.25,-2.03,-1.92,-1.36,-0.05,-0.72,-3.38,-1.48,0.53
P08,gerak,AGEM KIRI,1.0,TURUN,70.31,73.44,3.13,13.31,5.96,0.18,-6.52,1.49,6.98,5.47,10.39,13.94,7.73,8.55,8.79,13.03,8.91,14.54,17.63,2.34,-5.77,-8.81,-8.0,0.76,0.38,-2.81,3.96,2.35,2.32,-2.35,-0.21,9.83,-0.41,4.77,7.08
P08,gerak,AGEM KIRI,1.0,TAHAN,72.94,78.5,5.57,4.75,7.33,-3.21,-3.29,0.31,2.51,-1.08,-9.2,12.49,-2.86,-21.54,-24.56,5.65,0.53,10.2,-1.42,3.24,1.38,-1.53,-2.14,2.94,2.13,1.71,-12.7,4.37,3.1,-18.76,-27.69,8.14,-7.28,3.7,-7.82
P08,gerak,AGEM KIRI,1.0,NAIK,78.0,80.37,2.36,13.22,17.83,17.11,16.99,9.69,14.73,10.34,12.78,12.11,11.13,9.23,9.46,9.63,10.19,18.65,20.51,0.27,4.12,2.56,3.05,3.2,2.93,3.7,7.59,3.53,10.24,-2.37,9.23,13.53,6.61,10.79,10.31
P08,gerak,AGEM KIRI,1.0,POST,80.87,82.37,1.5,-15.43,7.74,8.23,8.27,0.52,3.02,-1.04,8.19,6.62,10.88,9.38,8.08,11.59,8.62,11.12,14.86,-8.98,-0.24,2.22,2.5,-3.6,-2.31,-1.44,2.33,2.26,3.72,1.5,3.54,6.33,0.68,0.07,6.55
P08,gerak,AGEM KIRI,2.0,PRA,83.73,85.73,2.0,4.84,-9.65,-12.56,-21.6,-12.7,-6.93,-10.39,5.29,0.66,-6.7,-0.42,-0.54,-1.85,-1.37,0.23,3.39,2.96,-7.63,-8.33,-16.73,-5.59,-5.14,-4.42,-1.61,-0.87,-3.16,-1.0,-0.07,-3.64,0.82,-2.19,0.5
