participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,acuan,ISTIRAHAT UTAMA,,ACUAN,103.89,275.55,171.66,0.0,5.77,2.82,1.76,0.0,3.14,0.56,0.0,-2.93,-4.42,-2.27,-3.9,-5.94,-6.82,-6.53,-3.09,-0.76,0.0,0.0,-0.01,1.42,0.46,0.89,-3.52,-1.39,-3.27,-1.51,-1.33,-2.4,-4.0,-3.7,0.83
P08,acuan,BERDIRI RILEKS,,ACUAN,290.35,294.64,4.29,0.44,4.64,1.25,0.59,2.29,2.14,2.08,-13.23,-4.32,-3.33,-2.74,-3.96,-10.05,-3.12,-6.0,-3.88,3.27,1.33,-0.23,0.0,5.77,2.53,5.65,-9.51,-1.86,-1.01,0.04,-1.47,-3.99,-1.46,-1.81,-6.67
P08,acuan,BERDIRI RILEKS,,ACUAN,306.73,310.36,3.63,2.48,0.0,-5.92,-7.91,1.85,0.0,2.17,-33.65,-4.63,-6.27,-2.45,-5.61,-10.22,-3.49,-3.59,-19.73,0.0,-8.59,-9.83,-11.53,0.0,-6.55,0.0,-48.2,-2.43,-2.53,0.0,-1.63,-3.46,-3.4,-2.83,-17.54
P08,acuan,BERDIRI RILEKS,,ACUAN,323.37,326.41,3.04,-26.38,-59.73,-11.48,-21.93,-16.04,-36.93,-28.3,-3.53,-2.32,0.17,1.57,-0.21,0.19,1.18,0.0,-2.13,-19.12,-95.01,-20.31,-23.73,-14.59,-30.3,-23.59,-4.27,-3.27,-4.04,-1.56,-0.54,1.46,-5.58,-2.27,-2.2
P08,acuan,BERDIRI RILEKS,,ACUAN,339.2,342.37,3.17,-12.2,-5.84,-2.44,-5.33,-4.34,-5.42,-10.62,-2.73,7.85,6.64,4.67,4.76,7.38,3.38,9.51,11.7,-11.79,-12.12,-4.04,-5.64,-7.87,-8.0,-12.34,1.31,1.89,6.59,3.73,5.07,6.33,1.91,4.04,1.81
P08,acuan,BERDIRI RILEKS,,ACUAN,355.25,358.27,3.02,4.68,10.86,9.51,8.28,6.09,8.63,6.17,-0.88,11.78,9.62,6.68,3.47,3.27,2.19,3.88,0.0,5.26,7.96,8.32,8.73,8.29,7.7,8.49,0.95,2.23,2.66,6.18,5.17,3.65,2.8,1.47,0.09
P08,acuan,BERDIRI RILEKS,,ACUAN,371.45,377.45,6.0,3.36,10.69,8.6,7.8,4.63,7.66,5.41,-3.28,1.08,-0.08,2.19,0.0,-2.69,2.5,-0.82,-3.01,6.17,9.47,9.67,9.95,10.15,9.2,10.17,0.93,4.34,4.08,5.86,5.7,1.58,3.42,2.82,1.59
P08,romberg,BERDIRI MATA TERTUTUP,,EC,412.14,425.99,13.86,-6.35,5.21,3.21,2.38,-4.1,2.23,-2.0,5.02,-3.27,-4.8,-2.65,-1.62,-0.54,-6.93,-7.91,-0.53,-2.31,-1.51,0.28,0.32,-2.09,-0.24,-1.04,-1.05,-0.64,-2.68,-3.93,-2.85,-1.9,-5.48,-3.87,-3.25
P09,gerak,NGEED,1.0,PRA,4.79,6.79,2.0,-7.76,0.85,-2.61,-37.3,-32.92,-5.51,-98.59,-1.55,-3.19,0.6,-20.76,1.14,0.68,-61.83,-0.8,-7.64,-1.37,0.27,0.94,-25.46,-21.13,-1.81,-115.41,-0.09,-6.8,-3.2,-9.46,-1.97,-2.29,-42.84,-3.5,-12.43
P09,gerak,NGEED,1.0,TURUN,6.79,10.66,3.87,0.11,7.58,5.76,-7.1,-12.88,0.02,-20.53,6.83,2.19,7.68,6.65,9.26,9.89,-7.07,5.2,5.4,-2.19,3.72,3.48,-4.71,-8.56,2.27,-13.79,3.68,-0.91,0.95,-0.14,3.6,4.52,-3.57,3.18,0.58
P09,gerak,NGEED,1.0,TAHAN,10.16,14.1,3.94,-3.47,4.74,3.5,-16.34,-27.92,-6.62,-28.46,0.87,-9.64,-3.83,-22.69,-1.94,-4.53,-17.23,-14.0,-12.71,-1.95,3.39,2.36,-9.72,-19.81,-2.07,-21.42,-1.1,0.49,1.58,-11.41,3.22,1.81,-9.72,-4.3,-9.12
P09,gerak,NGEED,1.0,NAIK,13.6,15.98,2.37,-2.53,4.89,4.59,-23.0,-73.77,-13.49,-96.08,-0.89,-17.84,-5.66,-45.21,-0.74,-3.51,-35.65,-22.8,-16.58,-2.56,2.24,-0.28,-14.4,-102.75,-6.42,-126.04,-3.47,-1.21,-0.33,-66.08,1.46,-0.04,-22.17,-10.22,-9.71
P09,gerak,NGEED,1.0,POST,16.48,17.98,1.5,-0.55,4.1,6.31,-7.28,-25.12,1.83,-32.74,3.93,5.21,8.11,-8.69,8.7,7.57,-6.65,6.99,-5.26,-2.37,3.79,2.55,-6.5,-14.68,1.22,-25.33,-0.23,-0.85,0.84,-5.36,1.73,2.3,-8.51,6.17,-2.49
P09,gerak,NGEED,2.0,PRA,19.83,21.83,2.0,-1.14,5.15,4.17,1.44,-6.15,-2.04,-22.77,3.78,0.11,4.54,2.7,5.55,6.36,-0.94,4.72,-6.79,0.32,1.71,-0.07,-2.79,-5.73,-0.39,-20.63,2.17,-3.49,-2.53,-1.46,-0.6,0.24,-10.3,1.47,-5.85
P09,gerak,NGEED,2.0,TURUN,21.83,25.55,3.72,3.74,6.52,6.38,2.8,-2.18,0.08,-13.97,2.84,-1.3,2.58,3.14,4.77,5.18,2.97,5.61,4.35,-2.1,1.06,1.49,-2.92,-4.27,-0.31,-12.94,1.05,0.33,0.51,1.48,3.98,3.17,0.91,5.52,0.33
P09,gerak,NGEED,2.0,TAHAN,25.05,29.62,4.57,-4.08,3.02,3.17,-13.65,-19.43,-4.3,-53.46,0.98,-7.77,-2.96,-15.98,-1.43,-2.19,-17.84,-7.03,-12.41,-3.1,-0.2,-1.12,-13.96,-18.54,-4.06,-59.12,-0.89,-0.91,-0.5,-14.0,-0.03,0.17,-14.91,-5.47,-9.32
P09,gerak,NGEED,2.0,NAIK,29.12,32.38,3.27,-31.6,-46.12,-72.33,-300.86,-300.3,-3.51,-299.36,-28.37,-5.89,-10.36,-36.75,-7.25,-7.36,-3.33,-13.92,-4.47,-26.64,-37.05,-90.19,-293.84,-294.35,-4.3,-296.9,-19.49,-8.79,-10.46,-24.63,-6.87,-10.48,-3.08,-11.53,-5.2
P09,gerak,NGEED,2.0,POST,32.88,34.38,1.5,-68.26,-84.49,-306.2,-303.2,-298.32,5.57,-302.63,-306.03,-2.13,-21.55,-85.5,-17.37,-18.59,-13.53,-28.56,-25.91,-98.04,-98.56,-294.24,-295.39,-295.97,-2.52,-298.53,-295.0,-0.43,-31.42,-97.08,-31.5,-31.53,-9.87,-31.77,-12.8
P09,gerak,AGEM KANAN,1.0,PRA,35.76,37.76,2.0,-17.77,-154.55,-149.77,-144.75,-143.34,0.59,-145.51,-153.75,-0.72,-73.48,-145.98,-26.28,-19.43,0.4,-11.85,-14.13,-10.66,-170.04,-174.89,-167.87,-166.71,0.89,-162.54,-175.97,0.28,-91.15,-159.13,-18.14,-13.33,3.88,-3.86,-10.76
P09,gerak,AGEM KANAN,1.0,TURUN,37.76,41.2,3.44,11.02,10.58,13.31,14.32,14.46,5.27,12.69,9.33,4.29,6.05,10.83,1.76,3.62,0.41,-1.02,3.26,2.57,8.91,13.01,11.53,14.51,6.88,8.61,13.67,4.1,7.56,9.2,8.18,9.16,2.14,5.98,5.05
P09,gerak,AGEM KANAN,1.0,TAHAN,40.7,46.22,5.52,10.43,11.64,10.01,12.82,13.59,11.44,14.91,8.96,10.66,17.85,22.18,17.37,17.58,5.47,15.06,10.36,1.47,5.46,4.32,5.89,8.1,8.91,3.68,9.46,8.23,12.81,12.01,15.09,14.55,3.84,13.36,5.23
P09,gerak,AGEM KANAN,1.0,NAIK,45.72,48.02,2.3,3.11,2.9,1.77,6.24,9.28,3.19,6.64,3.04,12.03,19.67,24.03,19.08,19.16,6.79,17.3,11.3,1.92,3.18,2.36,3.47,6.53,4.16,2.15,2.93,8.43,13.6,12.78,14.11,13.47,3.39,13.88,4.24
P09,gerak,AGEM KANAN,1.0,POST,48.52,50.02,1.5,11.08,12.49,11.83,14.68,16.35,3.98,14.53,11.09,2.86,8.16,14.55,7.57,6.26,-7.27,10.97,-0.37,2.52,5.36,7.47,6.55,8.08,5.91,4.74,8.78,1.42,4.36,6.87,4.59,4.68,-2.9,8.94,-0.36
P09,gerak,AGEM KANAN,2.0,PRA,51.74,53.74,2.0,3.48,1.35,2.42,3.9,3.08,-7.27,4.85,0.17,-3.32,3.99,6.33,-1.75,-2.6,1.12,3.01,0.61,1.36,-1.04,1.66,3.3,6.29,-0.91,2.21,1.64,-6.16,-0.39,3.31,-1.7,-1.15,-2.42,3.15,-2.29
P09,gerak,AGEM KANAN,2.0,TURUN,53.74,57.74,4.0,10.8,14.35,13.87,15.88,18.22,3.66,13.82,11.42,4.82,12.37,15.44,11.56,9.88,2.29,8.59,2.37,2.04,7.99,10.98,8.49,8.42,7.39,3.29,10.15,5.26,9.47,7.21,9.15,6.59,-2.58,6.82,2.18
P09,gerak,AGEM KANAN,2.0,TAHAN,57.24,62.37,5.13,7.2,8.37,7.15,9.38,10.75,8.42,10.85,2.92,7.56,16.1,14.27,10.7,11.2,0.97,11.1,2.17,2.93,5.44,4.26,4.89,6.23,9.72,3.5,1.61,4.67,10.68,4.84,7.18,6.91,2.26,7.03,-0.17
P09,gerak,AGEM KANAN,2.0,NAIK,61.87,64.87,3.0,8.99,9.57,7.87,9.88,11.82,8.74,12.87,-0.03,9.92,15.22,15.21,12.81,13.08,0.72,6.55,7.17,-0.04,4.25,3.22,1.21,3.54,10.97,0.59,2.44,9.69,10.15,6.83,11.18,10.38,-2.47,12.76,1.86
P09,gerak,AGEM KANAN,2.0,POST,65.37,66.87,1.5,9.99,4.07,8.66,10.05,21.04,11.09,8.88,14.54,14.21,19.01,21.6,18.38,18.67,7.07,14.28,13.0,5.22,4.52,7.21,6.37,6.18,4.52,5.93,7.22,4.91,10.8,7.68,11.62,11.87,4.22,7.46,7.72
P09,gerak,AGEM KIRI,1.0,PRA,68.21,70.21,2.0,5.49,-13.96,-13.96,4.6,10.09,-3.41,9.7,1.85,-1.28,1.7,3.01,-3.58,-0.55,2.48,-1.22,-4.09,-0.4,-9.54,-7.62,2.09,6.89,-0.45,4.01,0.43,-3.39,-0.76,3.61,-6.85,-1.65,2.51,1.42,-2.53
P09,gerak,AGEM KIRI,1.0,TURUN,70.21,73.08,2.87,13.8,12.03,13.21,15.53,17.41,7.23,14.21,11.02,4.95,5.96,11.62,2.84,4.19,1.15,8.18,2.3,3.19,10.1,11.62,9.72,10.45,5.69,10.28,11.83,6.74,8.35,11.4,10.42,8.08,2.97,8.37,2.89
P09,gerak,AGEM KIRI,1.0,TAHAN,72.58,77.96,5.38,13.68,15.63,16.58,17.91,18.57,9.1,22.41,15.62,1.2,3.64,8.61,0.31,6.6,-5.44,3.89,1.37,7.82,13.98,16.05,13.84,14.45,14.08,12.4,17.15,-0.37,1.66,3.89,2.83,6.83,0.82,10.61,4.13
P09,gerak,AGEM KIRI,1.0,NAIK,77.46,80.44,2.98,17.22,17.89,18.54,19.88,19.69,8.67,23.08,15.71,1.99,5.62,12.92,6.09,9.41,-2.06,6.09,-1.32,9.71,16.85,19.29,16.73,17.13,15.15,12.76,20.09,0.04,1.48,4.58,4.02,10.19,-0.41,9.5,-3.93
P09,gerak,AGEM KIRI,1.0,POST,80.94,82.44,1.5,16.4,17.49,14.17,15.67,17.67,8.74,20.37,11.65,11.41,14.38,21.17,17.87,17.05,7.08,16.58,12.95,1.64,4.0,2.56,1.79,6.77,0.62,2.42,4.02,5.27,15.89,7.31,10.05,10.05,10.14,9.8,7.0
P09,gerak,AGEM KIRI,2.0,PRA,83.98,85.98,2.0,5.72,0.35,-0.9,5.79,5.7,-1.46,7.74,-1.71,-6.07,2.02,5.18,-3.45,-2.02,1.6,-0.16,4.9,0.89,1.17,0.16,1.82,4.9,-4.49,0.39,-0.23,-3.04,0.98,3.98,1.98,2.2,-3.59,1.35,-1.98
P09,gerak,AGEM KIRI,2.0,TURUN,85.98,90.32,4.34,15.36,14.65,15.52,17.73,18.64,11.16,21.84,14.66,3.37,6.27,11.19,3.51,4.2,1.8,6.85,4.39,6.91,13.56,15.61,13.57,14.17,15.1,10.82,17.52,3.74,8.05,6.76,8.12,6.55,1.19,9.05,2.98
P09,gerak,AGEM KIRI,2.0,TAHAN,89.82,93.81,3.99,8.94,9.97,10.05,12.15,12.22,6.25,16.39,9.91,-2.24,-0.6,4.75,-2.34,0.36,-3.71,-1.28,1.48,6.55,13.23,15.75,13.23,13.02,9.63,11.11,15.0,-2.72,0.56,4.27,0.28,6.04,-3.92,1.28,-1.25
P09,gerak,AGEM KIRI,2.0,NAIK,93.31,97.0,3.68,14.49,16.06,16.33,17.13,17.63,8.8,20.06,13.84,-0.03,7.9,7.4,3.8,6.98,-5.98,2.22,-0.85,8.49,15.35,18.29,14.94,14.88,13.17,10.08,19.25,1.48,3.97,3.18,3.48,5.86,-2.65,2.4,-2.15
P09,gerak,AGEM KIRI,2.0,POST,97.5,99.0,1.5,12.6,13.06,11.15,13.42,18.28,5.54,16.41,10.38,11.77,11.99,15.1,12.89,13.34,8.39,13.2,9.19,1.89,5.38,2.87,5.94,6.05,2.52,2.47,4.01,6.86,12.78,8.67,10.55,8.72,4.16,11.64,7.06
P09,gerak,NGEED,3.0,PRA,277.45,279.45,2.0,-9.61,-2.55,-2.81,-12.09,-20.7,-0.51,-17.62,-2.81,-6.91,-3.14,-10.52,-0.4,0.33,-24.07,0.31,-9.74,-3.16,1.52,0.07,-4.23,-11.8,-1.28,-18.83,-1.11,-2.88,-2.51,-6.55,-0.72,-0.14,-13.39,-0.85,-7.08
P09,gerak,NGEED,3.0,TURUN,279.45,282.14,2.69,-9.74,-42.63,-47.23,-45.95,-28.02,2.22,-13.48,-56.24,2.87,-0.96,-6.81,-0.72,-1.87,-20.02,0.22,-0.16,-5.94,-80.37,-82.73,-54.16,-48.91,4.44,-13.63,-83.66,1.09,-4.78,-7.03,-5.8,-0.89,-13.65,4.56,3.37
P09,gerak,NGEED,3.0,TAHAN,281.64,286.27,4.63,-1.84,2.91,3.08,2.12,2.51,-5.51,-0.37,-1.3,-8.18,0.67,-4.88,-3.36,-4.09,0.17,-1.5,7.96,-0.4,0.72,-0.89,-0.21,0.51,-2.01,-0.95,-2.71,0.08,2.32,0.03,0.52,0.32,-0.34,4.57,3.71
P09,gerak,NGEED,3.0,NAIK,285.77,289.14,3.37,-8.2,-0.65,-2.22,-4.91,-15.68,-7.19,-16.6,-5.55,-13.07,-10.12,-16.28,-6.26,-9.19,-0.59,-14.79,8.4,-2.91,0.65,-0.94,-6.99,-9.68,-4.13,-13.68,-3.5,-1.26,-2.54,-7.91,-0.61,-3.44,1.26,-8.85,4.65
P09,gerak,NGEED,3.0,POST,289.64,291.14,1.5,-5.24,-55.66,-55.59,-41.55,-30.51,1.56,-12.26,-66.41,-4.9,-55.48,-21.78,-32.65,-32.77,1.25,-17.23,-20.13,-3.06,-81.47,-82.96,-47.71,-21.86,2.5,-7.69,-84.14,2.06,-66.69,-38.54,-25.38,-21.48,-0.41,-4.13,-6.57
P09,gerak,NGEED,4.0,PRA,293.17,295.17,2.0,1.37,1.38,0.19,1.14,0.06,-6.48,2.71,1.34,-6.04,-3.77,-0.35,0.69,-1.21,4.48,-2.6,4.73,3.89,5.63,3.97,5.5,5.56,2.67,4.33,2.43,2.31,2.77,5.39,1.48,0.22,5.36,2.72,3.87
P09,gerak,NGEED,4.0,TURUN,295.17,297.57,2.4,-8.29,1.8,1.09,-6.09,-4.47,2.02,-22.7,1.88,2.45,1.33,-3.15,6.91,4.46,5.64,-0.76,4.71,-0.08,4.77,4.37,-0.04,-2.29,5.97,-21.13,4.82,1.48,1.43,-0.46,3.34,4.55,3.41,4.68,5.68
P09,gerak,NGEED,4.0,TAHAN,297.07,302.92,5.84,-3.49,-3.01,-6.84,-5.09,-6.3,-2.53,-3.89,-10.91,-6.71,-1.68,-4.5,-3.29,-2.55,-6.27,-8.22,2.28,-0.39,-4.27,-9.12,-5.25,-2.68,1.42,-2.63,-10.73,2.3,-2.19,-1.09,-3.81,-1.48,0.9,-4.63,1.1
P09,gerak,NGEED,4.0,NAIK,302.42,304.72,2.3,-3.94,3.02,3.13,2.5,-0.8,-5.25,-0.82,-1.18,-15.61,-5.52,-5.36,-3.8,-2.94,-20.79,-8.93,-4.43,2.87,4.22,2.36,2.85,3.48,-3.7,2.47,-2.02,2.49,4.44,3.15,3.26,2.64,-17.34,1.56,-4.31
P09,gerak,NGEED,4.0,POST,305.22,306.72,1.5,-4.11,2.2,5.91,-4.25,0.02,-7.45,-30.81,4.29,-2.02,3.0,-21.36,3.74,2.91,-10.75,-4.05,-1.21,-4.26,-0.19,0.44,-6.11,-6.26,-1.09,-27.33,0.39,-1.15,-1.36,-13.21,2.25,4.67,-5.11,-2.15,0.04
P09,gerak,AGEM KANAN,3.0,PRA,308.74,310.74,2.0,-10.18,-37.14,-51.77,-30.46,-15.69,-2.0,-16.63,-50.68,-3.5,-49.94,-16.19,-14.95,-23.06,0.11,-32.42,2.33,1.13,-55.65,-84.11,-26.95,-7.84,0.94,-1.84,-85.49,-1.04,-64.9,-11.05,-9.4,-13.86,4.65,-22.46,-2.13
P09,gerak,AGEM KANAN,3.0,TURUN,310.74,315.22,4.48,14.59,17.87,16.11,17.4,16.88,7.19,17.1,13.68,2.58,10.94,7.45,7.91,7.14,3.0,8.14,6.59,4.56,9.52,9.51,7.3,7.58,7.35,4.18,8.64,6.19,6.83,4.76,7.4,6.68,1.58,7.03,2.78
P09,gerak,AGEM KANAN,3.0,TAHAN,314.72,318.84,4.12,0.29,1.86,3.17,0.38,-4.91,-1.64,-1.84,-0.28,-3.51,1.26,-10.07,-2.65,0.98,-12.47,9.18,-2.8,-6.3,-2.81,-4.4,-9.62,-8.77,-0.58,-14.42,-5.18,-1.58,-3.17,-12.87,-1.03,-3.07,-12.29,6.11,-7.89
P09,gerak,AGEM KANAN,3.0,NAIK,318.34,322.12,3.78,9.27,9.47,9.78,10.45,8.87,5.05,11.0,6.63,5.86,9.96,6.74,3.67,3.79,-1.81,2.24,5.88,3.27,5.85,7.51,4.41,5.64,7.13,4.17,8.58,-0.29,10.27,1.76,8.2,7.32,0.01,6.88,3.59
P09,gerak,AGEM KANAN,3.0,POST,322.62,324.12,1.5,-5.29,1.0,2.74,-5.42,-0.81,-1.62,-4.11,-3.96,4.97,7.85,6.01,6.9,4.64,-4.79,4.72,-2.08,3.43,3.35,2.99,3.06,3.64,2.27,1.48,3.88,-2.73,0.52,1.7,0.15,0.05,-10.47,-1.78,-5.88
P09,gerak,AGEM KANAN,4.0,PRA,324.83,326.83,2.0,-11.66,-10.72,-0.82,-41.53,-14.93,3.95,-54.28,0.53,-0.32,-3.77,-47.05,-1.67,-2.53,-8.18,-7.7,-11.56,-14.2,-10.38,-3.74,-37.86,-14.09,0.1,-82.63,0.47,-2.92,-6.05,-80.72,-4.62,-4.44,-8.85,-6.1,-10.1
P09,gerak,AGEM KANAN,4.0,TURUN,326.83,330.9,4.07,13.06,14.22,13.09,14.02,13.25,7.74,15.24,10.05,6.26,5.27,8.74,3.56,2.91,1.8,-0.13,5.79,2.28,7.12,9.1,5.5,6.37,6.03,1.55,8.4,4.1,6.11,-1.15,3.7,2.58,3.12,2.2,1.39
P09,gerak,AGEM KANAN,4.0,TAHAN,330.4,334.38,3.98,13.3,15.36,14.82,15.65,14.98,6.37,16.36,12.98,3.92,11.46,11.77,8.81,9.4,-2.26,7.91,4.04,3.31,7.11,8.18,6.08,5.66,3.25,2.68,8.47,7.53,11.9,8.71,13.83,13.82,3.6,11.52,-0.27
P09,gerak,AGEM KANAN,4.0,NAIK,333.88,337.53,3.65,13.71,16.51,16.09,16.47,15.68,5.77,16.0,14.58,5.18,7.73,4.13,5.88,5.95,-4.02,7.34,-3.41,4.01,7.03,10.49,6.64,1.18,10.76,6.57,13.52,6.91,8.6,-1.16,7.55,6.72,-0.17,14.36,-1.56
P09,gerak,AGEM KANAN,4.0,POST,338.03,339.53,1.5,-0.54,-12.16,-25.4,-26.84,-19.51,0.65,-3.51,-25.08,5.63,-15.58,-9.96,-10.3,-6.02,-5.19,-14.18,6.32,1.83,-7.56,-40.17,-26.44,-19.26,2.03,-3.66,-44.51,2.5,-5.35,-4.3,-2.14,-0.98,-5.91,-6.68,2.84
P09,gerak,AGEM KIRI,3.0,PRA,340.7,342.7,2.0,1.99,3.79,3.64,3.37,2.27,-0.17,1.96,3.03,2.51,-3.02,3.01,2.9,3.44,-10.99,4.86,6.61,1.0,-0.02,-0.66,-0.76,1.98,4.23,-0.1,1.22,2.45,-2.53,-0.16,1.66,1.5,-6.35,3.83,0.87
P09,gerak,AGEM KIRI,3.0,TURUN,342.7,346.4,3.7,11.4,13.7,13.73,12.59,9.85,6.14,15.12,9.71,4.45,8.08,8.74,6.65,5.95,-6.32,4.02,-2.61,4.34,11.49,12.97,8.74,8.58,12.11,10.93,12.96,2.31,3.1,1.64,4.86,6.08,-4.41,1.97,-0.09
P09,gerak,AGEM KIRI,3.0,TAHAN,345.9,349.78,3.88,8.05,11.07,11.93,6.95,6.33,8.45,13.89,10.53,10.38,17.85,21.27,18.66,18.06,5.03,14.93,10.72,-0.74,5.75,8.18,3.74,5.78,8.77,0.32,9.29,7.48,12.81,11.37,14.91,13.85,2.71,12.19,6.76
P09,gerak,AGEM KIRI,3.0,NAIK,349.28,352.58,3.3,-4.76,-30.38,-22.59,-35.52,-47.76,2.97,-5.58,-10.39,-9.78,-26.16,-36.21,-12.44,-15.64,-15.47,-30.47,-30.6,-2.85,-34.12,-29.89,-43.76,-60.27,8.79,-5.2,-5.46,-5.65,-29.27,-31.17,-23.16,-16.55,-9.38,-29.26,-26.0
P09,gerak,AGEM KIRI,3.0,POST,353.08,354.58,1.5,-0.06,-1.33,-16.84,-6.88,-4.11,2.27,-1.45,-25.53,6.39,3.51,5.71,-1.35,-0.52,-5.05,0.51,1.49,0.43,-0.82,-6.48,-4.22,-3.98,0.21,-2.25,-8.62,-0.39,-0.09,-3.32,-1.45,0.01,-6.65,-2.44,1.24
P09,gerak,AGEM KIRI,4.0,PRA,356.69,358.69,2.0,-0.85,5.04,2.27,3.22,-1.08,-3.48,0.23,-0.43,-0.54,1.08,-0.06,3.23,1.85,2.86,-0.66,2.66,1.44,1.38,0.74,0.35,-0.65,-1.48,0.05,-0.36,-1.07,-0.32,-0.57,-0.12,-0.39,-0.77,-0.46,-3.03
P09,gerak,AGEM KIRI,4.0,TURUN,358.69,362.14,3.44,10.93,13.89,14.56,11.56,11.33,5.68,9.59,8.12,0.86,5.75,7.31,6.61,7.55,-6.82,1.21,-2.82,2.31,9.63,11.43,8.03,7.68,8.74,6.37,9.16,3.02,4.3,3.19,6.44,5.84,-4.68,2.01,-0.61
P09,gerak,AGEM KIRI,4.0,TAHAN,361.64,366.28,4.64,4.7,8.3,9.89,5.85,4.83,6.42,17.55,7.95,2.28,9.31,13.14,10.22,9.23,-2.71,6.57,-0.99,-1.28,4.25,6.24,1.7,1.72,8.64,6.89,9.02,1.53,5.84,3.94,9.26,8.87,-2.89,5.13,-3.29
P09,gerak,AGEM KIRI,4.0,NAIK,365.78,368.94,3.17,-5.12,-10.89,-12.81,-19.09,-19.02,5.64,-11.45,-5.97,3.29,11.71,7.37,8.68,7.2,-0.47,4.42,-3.23,-3.59,-6.65,-3.51,-19.91,-7.65,10.28,-7.74,4.86,4.35,9.76,-0.91,10.05,9.22,-1.78,5.82,-4.21
P09,gerak,AGEM KIRI,4.0,POST,369.44,370.94,1.5,2.15,-24.39,-43.85,-48.44,-27.1,2.89,-15.14,-56.9,7.25,10.4,-7.7,-8.94,-6.3,-16.92,-14.36,9.33,-2.38,-24.28,-77.58,-88.49,-17.37,1.11,-10.04,-70.22,5.86,4.71,-7.72,-7.83,-14.03,-15.14,-6.88,5.31
P09,acuan,BERDIRI RILEKS,,ACUAN,17.98,21.33,3.35,-2.5,6.87,5.91,-0.94,-11.05,0.11,-28.03,5.59,-1.1,3.59,0.0,4.3,3.31,-2.59,2.67,-8.29,-1.46,1.78,0.16,-5.17,-13.61,-1.55,-27.87,0.0,-3.2,-1.88,-2.83,0.15,0.13,-7.56,0.04,-7.02
P09,acuan,BERDIRI RILEKS,,ACUAN,34.38,37.26,2.87,-17.03,-304.87,-305.77,-307.15,-300.82,2.53,-305.59,-307.84,1.73,-30.29,-294.44,-22.55,-15.77,2.62,-21.57,-8.94,-11.43,-297.17,-294.14,-295.54,-293.68,0.07,-297.92,-292.75,-0.06,-12.35,-289.29,-10.79,-9.61,3.66,-12.23,-5.93
P09,acuan,BERDIRI RILEKS,,ACUAN,50.02,53.24,3.22,5.31,7.2,3.24,7.37,9.19,-6.51,6.54,1.46,-1.78,6.02,8.53,2.65,2.11,3.85,5.42,5.31,-0.34,0.52,2.67,3.41,5.91,-1.21,1.74,2.38,-1.76,2.34,4.62,3.61,2.25,4.74,2.24,5.33
P09,acuan,BERDIRI RILEKS,,ACUAN,66.87,69.71,2.85,4.37,-9.07,-10.31,0.0,9.24,-2.72,7.32,6.09,-1.07,2.69,2.78,-3.35,3.77,3.9,1.17,0.0,2.1,-0.11,0.43,4.29,6.76,7.47,5.98,2.77,2.62,3.72,3.44,1.6,3.16,3.49,2.51,0.0
P09,acuan,BERDIRI RILEKS,,ACUAN,82.44,85.48,3.05,7.17,0.55,1.93,6.67,10.75,1.45,8.19,5.8,2.88,8.19,11.34,6.42,7.79,7.05,8.67,10.02,1.12,0.0,0.2,2.69,4.68,-1.25,2.11,1.57,0.08,3.86,4.36,1.88,2.25,0.73,9.75,1.58
P09,acuan,BERDIRI RILEKS,,ACUAN,99.0,105.0,6.0,8.3,2.85,1.69,6.13,12.31,1.3,11.13,3.83,6.81,9.25,13.13,5.6,7.46,0.0,9.62,2.49,-0.5,0.81,0.09,3.25,5.11,0.0,2.82,1.09,1.04,5.64,5.11,2.84,3.82,0.0,11.25,3.33
P09,acuan,ISTIRAHAT UTAMA,,ACUAN,105.0,274.95,169.95,1.92,0.0,-1.37,2.72,5.53,-4.69,4.85,0.0,-0.96,3.92,5.65,0.0,0.21,-1.36,1.8,-0.53,0.0,0.75,0.0,2.09,4.31,-2.21,1.37,-0.59,-2.48,0.72,3.29,-1.19,0.0,-2.85,1.92,-3.62
P09,acuan,BERDIRI RILEKS,,ACUAN,291.14,294.67,3.53,0.16,-0.1,-0.77,-0.76,0.68,-5.46,-0.26,-1.66,1.1,-2.74,0.76,-2.17,-2.96,0.54,-2.55,0.98,1.51,2.59,1.59,2.83,2.34,2.46,1.52,0.15,0.72,0.0,2.51,-1.5,-1.07,1.66,0.0,2.44
P09,acuan,BERDIRI RILEKS,,ACUAN,306.72,310.24,3.52,-12.61,-32.97,-51.49,-54.24,-20.59,0.0,-20.68,-36.65,0.0,-13.73,-38.37,-7.64,-11.56,-0.49,-15.16,4.85,-4.39,-21.1,-57.55,-81.51,-11.9,1.5,-10.78,-40.17,0.0,-1.93,-39.32,-6.48,-6.25,2.88,-9.97,3.39
