participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P04,NGEED,1,ok,video,1.138,6.138,0.8610000000000007,1.8819999999999997,0.0,54.68434948474169,False
P04,NGEED,2,ok,video,1.0549999999999997,4.416,0.9860000000000007,1.556000000000001,6.944000000000001,61.28867171704769,False
P04,AGEM KANAN,1,ok,video,1.6670000000000016,2.7349999999999994,0.8610000000000042,1.644999999999996,0.0,65.17206281423569,False
P04,AGEM KANAN,2,ok,video,1.8060000000000045,2.8599999999999994,1.3329999999999984,1.714499999999994,0.5969999999999942,56.72961577773094,False
P04,AGEM KIRI,1,ok,video,1.7219999999999942,3.0690000000000026,1.0690000000000026,1.319500000000005,7.207000000000001,59.20486830174923,False
P04,AGEM KIRI,2,ok,video,1.6659999999999968,2.930000000000007,1.8059999999999974,1.6180000000000092,0.5970000000000084,58.00116993486881,False
P04,NGEED,3,ok,video,1.61099999999999,2.86099999999999,1.1940000000000168,1.8394999999999868,0.38800000000003365,58.61169707030058,False
P04,NGEED,4,ok,video,1.52800000000002,3.61099999999999,1.5269999999999868,1.3879999999999768,0.0,67.77851767838001,False
P04,AGEM KANAN,3,ok,video,1.7909999999999968,2.7350000000000136,1.3340000000000032,1.5209999999999582,7.401999999999987,61.61553017795086,False
P04,AGEM KANAN,4,ok,video,2.0,3.790999999999997,1.27800000000002,1.117999999999995,0.0,62.0556466281414,False
P04,AGEM KIRI,3,ok,video,1.6659999999999968,3.40300000000002,1.5960000000000036,1.3819999999999482,0.0,60.93360796570778,False
P04,AGEM KIRI,4,ok,video,1.9990000000000236,3.0,1.6669999999999732,1.117999999999995,6.998999999999967,67.0006737112999,False
