task,subphase,n,start,end,rep
BERSIAP,,16,0.134,5.1135,
NGEED,TURUN,14,5.1135,8.113,1.0
NGEED,TAHAN,8,8.113,10.113,1.0
NGEED,NAIK,20,10.113,13.119499999999999,1.0
BERDIRI RILEKS,,19,13.119499999999999,21.146,
NGEED,TURUN,14,21.146,24.146,2.0
NGEED,TAHAN,8,24.146,26.118000000000002,2.0
NGEED,NAIK,20,26.118000000000002,29.179499999999997,2.0
BERDIRI RILEKS,,20,29.179499999999997,37.1505,
AGEM KANAN,TURUN,14,37.1505,40.1505,1.0
AGEM KANAN,TAHAN,8,40.1505,42.15,1.0
AGEM KANAN,NAIK,21,42.15,45.177499999999995,1.0
BERDIRI RILEKS,,18,45.177499999999995,53.147999999999996,
AGEM KANAN,TURUN,15,53.147999999999996,56.182500000000005,2.0
AGEM KANAN,TAHAN,7,56.182500000000005,58.147999999999996,2.0
AGEM KANAN,NAIK,20,58.147999999999996,61.182,2.0
BERDIRI RILEKS,,20,61.182,69.181,
AGEM KIRI,TURUN,14,69.181,72.215,1.0
AGEM KIRI,TAHAN,8,72.215,74.18,1.0
AGEM KIRI,NAIK,19,74.18,77.1865,1.0
BERDIRI RILEKS,,21,77.1865,85.213,
AGEM KIRI,TURUN,14,85.213,88.21199999999999,2.0
AGEM KIRI,TAHAN,13,88.21199999999999,91.184,2.0
AGEM KIRI,NAIK,13,91.184,93.219,2.0
ISTIRAHAT UTAMA,,364,93.219,273.64250000000004,
BERSIAP,,14,273.64250000000004,278.246,
NGEED,TURUN,12,278.246,281.246,3.0
NGEED,TAHAN,14,281.246,284.2455,3.0
NGEED,NAIK,12,284.2455,286.245,3.0
BERDIRI RILEKS,,20,286.245,294.24350000000004,
NGEED,TURUN,14,294.24350000000004,297.243,4.0
NGEED,TAHAN,8,297.243,299.25,4.0
NGEED,NAIK,20,299.25,302.312,4.0
BERDIRI RILEKS,,20,302.312,310.31100000000004,
AGEM KANAN,TURUN,14,310.31100000000004,313.31100000000004,3.0
AGEM KANAN,TAHAN,14,313.31100000000004,316.31,3.0
AGEM KANAN,NAIK,11,316.31,318.28200000000004,3.0
BERDIRI RILEKS,,21,318.28200000000004,326.31550000000004,
AGEM KANAN,TURUN,14,326.31550000000004,329.3085,4.0
AGEM KANAN,TAHAN,8,329.3085,331.31550000000004,4.0
AGEM KANAN,NAIK,18,331.31550000000004,334.31399999999996,4.0
BERDIRI RILEKS,,20,334.31399999999996,342.313,
AGEM KIRI,TURUN,14,342.313,345.313,3.0
AGEM KIRI,TAHAN,8,345.313,347.312,3.0
AGEM KIRI,NAIK,18,347.312,350.3115,3.0
BERDIRI RILEKS,,21,350.3115,358.38,
AGEM KIRI,TURUN,13,358.38,361.345,4.0
AGEM KIRI,TAHAN,14,361.345,364.34450000000004,4.0
AGEM KIRI,NAIK,13,364.34450000000004,366.44100000000003,4.0
BERDIRI FOKUS MATA TERBUKA,,61,366.44100000000003,396.548,
BERDIRI ISTIRAHAT,,35,396.548,411.615,
BERDIRI MATA TERTUTUP,,62,411.615,441.506,
