urutan,waktu_detik,waktu_hhmmss,label,nama_video
1,6.088,00:06.088,N,motor_P08_Trial_2026-09-10T01-04-52.webm
2,10.188,00:10.188,T,motor_P08_Trial_2026-09-10T01-04-52.webm
3,13.955,00:13.955,N,motor_P08_Trial_2026-09-10T01-04-52.webm
4,15.255,00:15.255,B,motor_P08_Trial_2026-09-10T01-04-52.webm
5,22.255,00:22.255,N,motor_P08_Trial_2026-09-10T01-04-52.webm
6,24.390,00:24.390,T,motor_P08_Trial_2026-09-10T01-04-52.webm
7,30.131,00:30.131,N,motor_P08_Trial_2026-09-10T01-04-52.webm
8,31.838,00:31.838,B,motor_P08_Trial_2026-09-10T01-04-52.webm
9,38.340,00:38.340,AKA,motor_P08_Trial_2026-09-10T01-04-52.webm
10,40.860,00:40.860,T,motor_P08_Trial_2026-09-10T01-04-52.webm
11,46.012,00:46.012,N,motor_P08_Trial_2026-09-10T01-04-52.webm
12,47.815,00:47.815,B,motor_P08_Trial_2026-09-10T01-04-52.webm
13,54.381,00:54.381,AKA,motor_P08_Trial_2026-09-10T01-04-52.webm
14,56.485,00:56.485,T,motor_P08_Trial_2026-09-10T01-04-52.webm
15,62.331,01:02.331,N,motor_P08_Trial_2026-09-10T01-04-52.webm
16,63.702,01:03.702,B,motor_P08_Trial_2026-09-10T01-04-52.webm
17,70.812,01:10.812,AKI,motor_P08_Trial_2026-09-10T01-04-52.webm
18,73.439,01:13.439,T,motor_P08_Trial_2026-09-10T01-04-52.webm
19,78.505,01:18.505,N,motor_P08_Trial_2026-09-10T01-04-52.webm
20,80.369,01:20.369,B,motor_P08_Trial_2026-09-10T01-04-52.webm
21,86.234,01:26.234,AKI,motor_P08_Trial_2026-09-10T01-04-52.webm
22,88.393,01:28.393,T,motor_P08_Trial_2026-09-10T01-04-52.webm
23,94.240,01:34.240,N,motor_P08_Trial_2026-09-10T01-04-52.webm
24,95.894,01:35.894,B,motor_P08_Trial_2026-09-10T01-04-52.webm
25,280.554,04:40.554,N,motor_P08_Trial_2026-09-10T01-04-52.webm
26,281.664,04:41.664,T,motor_P08_Trial_2026-09-10T01-04-52.webm
27,287.109,04:47.109,N,motor_P08_Trial_2026-09-10T01-04-52.webm
28,288.347,04:48.347,B,motor_P08_Trial_2026-09-10T01-04-52.webm
29,295.640,04:55.640,N,motor_P08_Trial_2026-09-10T01-04-52.webm
30,297.425,04:57.425,T,motor_P08_Trial_2026-09-10T01-04-52.webm
31,303.433,05:03.433,N,motor_P08_Trial_2026-09-10T01-04-52.webm
32,304.726,05:04.726,B,motor_P08_Trial_2026-09-10T01-04-52.webm
33,311.359,05:11.359,AKA,motor_P08_Trial_2026-09-10T01-04-52.webm
34,314.188,05:14.188,T,motor_P08_Trial_2026-09-10T01-04-52.webm
35,319.226,05:19.226,N,motor_P08_Trial_2026-09-10T01-04-52.webm
36,321.369,05:21.369,B,motor_P08_Trial_2026-09-10T01-04-52.webm
37,327.414,05:27.414,AKA,motor_P08_Trial_2026-09-10T01-04-52.webm
38,330.003,05:30.003,T,motor_P08_Trial_2026-09-10T01-04-52.webm
39,335.545,05:35.545,N,motor_P08_Trial_2026-09-10T01-04-52.webm
40,337.196,05:37.196,B  ,motor_P08_Trial_2026-09-10T01-04-52.webm
41,343.367,05:43.367,AKI,motor_P08_Trial_2026-09-10T01-04-52.webm
42,345.710,05:45.710,T,motor_P08_Trial_2026-09-10T01-04-52.webm
43,351.371,05:51.371,N,motor_P08_Trial_2026-09-10T01-04-52.webm
44,353.248,05:53.248,B,motor_P08_Trial_2026-09-10T01-04-52.webm
45,359.266,05:59.266,AKI,motor_P08_Trial_2026-09-10T01-04-52.webm
46,361.752,06:01.752,T,motor_P08_Trial_2026-09-10T01-04-52.webm
47,367.478,06:07.478,N,motor_P08_Trial_2026-09-10T01-04-52.webm
48,369.450,06:09.450,B ,motor_P08_Trial_2026-09-10T01-04-52.webm
49,412.135,06:52.135,TT,motor_P08_Trial_2026-09-10T01-04-52.webm
