urutan,waktu_detik,waktu_hhmmss,label,nama_video
1,7.288,00:07.288,N,motor_P09_Trial_2026-09-10T01-38-24.webm
2,10.662,00:10.662,T,motor_P09_Trial_2026-09-10T01-38-24.webm
3,14.104,00:14.104,N,motor_P09_Trial_2026-09-10T01-38-24.webm
4,15.976,00:15.976,B,motor_P09_Trial_2026-09-10T01-38-24.webm
5,22.327,00:22.327,N,motor_P09_Trial_2026-09-10T01-38-24.webm
6,25.550,00:25.550,T,motor_P09_Trial_2026-09-10T01-38-24.webm
7,29.618,00:29.618,N,motor_P09_Trial_2026-09-10T01-38-24.webm
8,32.384,00:32.384,B,motor_P09_Trial_2026-09-10T01-38-24.webm
9,38.257,00:38.257,AKA,motor_P09_Trial_2026-09-10T01-38-24.webm
10,41.202,00:41.202,T,motor_P09_Trial_2026-09-10T01-38-24.webm
11,46.217,00:46.217,N,motor_P09_Trial_2026-09-10T01-38-24.webm
12,48.020,00:48.020,B ,motor_P09_Trial_2026-09-10T01-38-24.webm
13,54.243,00:54.243,AKA,motor_P09_Trial_2026-09-10T01-38-24.webm
14,57.739,00:57.739,T,motor_P09_Trial_2026-09-10T01-38-24.webm
15,62.373,01:02.373,N,motor_P09_Trial_2026-09-10T01-38-24.webm
16,64.868,01:04.868,B,motor_P09_Trial_2026-09-10T01-38-24.webm
17,70.714,01:10.714,AKI,motor_P09_Trial_2026-09-10T01-38-24.webm
18,73.084,01:13.084,T,motor_P09_Trial_2026-09-10T01-38-24.webm
19,77.960,01:17.960,N,motor_P09_Trial_2026-09-10T01-38-24.webm
20,80.435,01:20.435,B,motor_P09_Trial_2026-09-10T01-38-24.webm
21,86.482,01:26.482,AKI,motor_P09_Trial_2026-09-10T01-38-24.webm
22,90.320,01:30.320,T,motor_P09_Trial_2026-09-10T01-38-24.webm
23,93.814,01:33.814,N,motor_P09_Trial_2026-09-10T01-38-24.webm
24,96.999,01:36.999,B,motor_P09_Trial_2026-09-10T01-38-24.webm
25,279.953,04:39.953,N,motor_P09_Trial_2026-09-10T01-38-24.webm
26,282.142,04:42.142,T,motor_P09_Trial_2026-09-10T01-38-24.webm
27,286.270,04:46.270,N,motor_P09_Trial_2026-09-10T01-38-24.webm
28,289.137,04:49.137,B,motor_P09_Trial_2026-09-10T01-38-24.webm
29,295.670,04:55.670,N,motor_P09_Trial_2026-09-10T01-38-24.webm
30,297.573,04:57.573,T,motor_P09_Trial_2026-09-10T01-38-24.webm
31,302.915,05:02.915,N,motor_P09_Trial_2026-09-10T01-38-24.webm
32,304.716,05:04.716,B,motor_P09_Trial_2026-09-10T01-38-24.webm
33,311.238,05:11.238,AKA,motor_P09_Trial_2026-09-10T01-38-24.webm
34,315.222,05:15.222,T,motor_P09_Trial_2026-09-10T01-38-24.webm
35,318.840,05:18.840,N,motor_P09_Trial_2026-09-10T01-38-24.webm
36,322.121,05:22.121,B,motor_P09_Trial_2026-09-10T01-38-24.webm
37,327.330,05:27.330,AKA,motor_P09_Trial_2026-09-10T01-38-24.webm
38,330.898,05:30.898,T,motor_P09_Trial_2026-09-10T01-38-24.webm
39,334.380,05:34.380,N,motor_P09_Trial_2026-09-10T01-38-24.webm
40,337.531,05:37.531,B,motor_P09_Trial_2026-09-10T01-38-24.webm
41,343.196,05:43.196,AKI,motor_P09_Trial_2026-09-10T01-38-24.webm
42,346.398,05:46.398,T,motor_P09_Trial_2026-09-10T01-38-24.webm
43,349.778,05:49.778,N,motor_P09_Trial_2026-09-10T01-38-24.webm
44,352.575,05:52.575,B,motor_P09_Trial_2026-09-10T01-38-24.webm
45,359.194,05:59.194,AKI,motor_P09_Trial_2026-09-10T01-38-24.webm
46,362.135,06:02.135,T,motor_P09_Trial_2026-09-10T01-38-24.webm
47,366.278,06:06.278,N,motor_P09_Trial_2026-09-10T01-38-24.webm
48,368.945,06:08.945,B,motor_P09_Trial_2026-09-10T01-38-24.webm
49,412.392,06:52.392,TT,motor_P09_Trial_2026-09-10T01-38-24.webm
