urutan,waktu_detik,waktu_hhmmss,label,nama_video
1,6.134,00:06.134,N,motor_P32_trial_2026-09-14T03-25-02.webm
2,10.461,00:10.461,T,motor_P32_trial_2026-09-14T03-25-02.webm
3,11.315,00:11.315,N,motor_P32_trial_2026-09-14T03-25-02.webm
4,13.585,00:13.585,B,motor_P32_trial_2026-09-14T03-25-02.webm
5,22.075,00:22.075,N,motor_P32_trial_2026-09-14T03-25-02.webm
6,23.725,00:23.725,T,motor_P32_trial_2026-09-14T03-25-02.webm
7,26.905,00:26.905,N,motor_P32_trial_2026-09-14T03-25-02.webm
8,29.740,00:29.740,B,motor_P32_trial_2026-09-14T03-25-02.webm
9,38.190,00:38.190,AKA,motor_P32_trial_2026-09-14T03-25-02.webm
10,41.998,00:41.998,T,motor_P32_trial_2026-09-14T03-25-02.webm
11,45.323,00:45.323,N,motor_P32_trial_2026-09-14T03-25-02.webm
12,47.390,00:47.390,B,motor_P32_trial_2026-09-14T03-25-02.webm
13,54.110,00:54.110,AKA,motor_P32_trial_2026-09-14T03-25-02.webm
14,55.708,00:55.708,T,motor_P32_trial_2026-09-14T03-25-02.webm
15,59.407,00:59.407,N,motor_P32_trial_2026-09-14T03-25-02.webm
16,62.218,01:02.218,B,motor_P32_trial_2026-09-14T03-25-02.webm
17,70.055,01:10.055,AKI,motor_P32_trial_2026-09-14T03-25-02.webm
18,72.771,01:12.771,T,motor_P32_trial_2026-09-14T03-25-02.webm
19,75.187,01:15.187,N,motor_P32_trial_2026-09-14T03-25-02.webm
20,78.380,01:18.380,B,motor_P32_trial_2026-09-14T03-25-02.webm
21,86.125,01:26.125,AKI,motor_P32_trial_2026-09-14T03-25-02.webm
22,87.682,01:27.682,T,motor_P32_trial_2026-09-14T03-25-02.webm
23,92.107,01:32.107,N,motor_P32_trial_2026-09-14T03-25-02.webm
24,93.954,01:33.954,B,motor_P32_trial_2026-09-14T03-25-02.webm
25,279.283,04:39.283,N,motor_P32_trial_2026-09-14T03-25-02.webm
26,282.705,04:42.705,T,motor_P32_trial_2026-09-14T03-25-02.webm
27,284.133,04:44.133,N,motor_P32_trial_2026-09-14T03-25-02.webm
28,285.670,04:45.670,B,motor_P32_trial_2026-09-14T03-25-02.webm
29,296.101,04:56.101,N,motor_P32_trial_2026-09-14T03-25-02.webm
30,297.887,04:57.887,T,motor_P32_trial_2026-09-14T03-25-02.webm
31,300.444,05:00.444,N,motor_P32_trial_2026-09-14T03-25-02.webm
32,302.334,05:02.334,B,motor_P32_trial_2026-09-14T03-25-02.webm
33,311.241,05:11.241,AKA,motor_P32_trial_2026-09-14T03-25-02.webm
34,313.153,05:13.153,T,motor_P32_trial_2026-09-14T03-25-02.webm
35,316.001,05:16.001,N,motor_P32_trial_2026-09-14T03-25-02.webm
36,319.387,05:19.387,B,motor_P32_trial_2026-09-14T03-25-02.webm
37,327.307,05:27.307,AKA,motor_P32_trial_2026-09-14T03-25-02.webm
38,328.900,05:28.900,T,motor_P32_trial_2026-09-14T03-25-02.webm
39,332.309,05:32.309,N,motor_P32_trial_2026-09-14T03-25-02.webm
40,334.886,05:34.886,B,motor_P32_trial_2026-09-14T03-25-02.webm
41,342.955,05:42.955,AKI,motor_P32_trial_2026-09-14T03-25-02.webm
42,344.870,05:44.870,T,motor_P32_trial_2026-09-14T03-25-02.webm
43,348.320,05:48.320,N,motor_P32_trial_2026-09-14T03-25-02.webm
44,351.173,05:51.173,B,motor_P32_trial_2026-09-14T03-25-02.webm
45,358.850,05:58.850,AKI,motor_P32_trial_2026-09-14T03-25-02.webm
46,360.997,06:00.997,T,motor_P32_trial_2026-09-14T03-25-02.webm
47,364.664,06:04.664,N,motor_P32_trial_2026-09-14T03-25-02.webm
48,366.970,06:06.970,B,motor_P32_trial_2026-09-14T03-25-02.webm
49,411.864,06:51.864,TT,motor_P32_trial_2026-09-14T03-25-02.webm
