sesi,paket_ke,kode_paket,nama_paket,fase_ke,kode_fase,nama_fase,urutan_asli,waktu_detik,waktu_hhmmss,durasi_fase_s
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,1,6.088,00:06.088,4.100
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,2,10.188,00:10.188,3.767
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,3,13.955,00:13.955,1.300
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,4,15.255,00:15.255,7.000
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,5,22.255,00:22.255,2.135
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,6,24.390,00:24.390,5.741
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,7,30.131,00:30.131,1.707
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,8,31.838,00:31.838,6.502
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,9,38.340,00:38.340,2.520
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,10,40.860,00:40.860,5.152
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,11,46.012,00:46.012,1.803
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,12,47.815,00:47.815,6.566
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,13,54.381,00:54.381,2.104
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,14,56.485,00:56.485,5.846
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,15,62.331,01:02.331,1.371
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,16,63.702,01:03.702,7.110
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,17,70.812,01:10.812,2.627
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,18,73.439,01:13.439,5.066
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",3,Naik,Naik,19,78.505,01:18.505,1.864
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",4,B,Berdiri,20,80.369,01:20.369,5.865
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,21,86.234,01:26.234,2.159
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,22,88.393,01:28.393,5.847
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",3,Naik,Naik,23,94.240,01:34.240,1.654
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",4,B,Berdiri,24,95.894,01:35.894,
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,25,280.554,04:40.554,1.110
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,26,281.664,04:41.664,5.445
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,27,287.109,04:47.109,1.238
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,28,288.347,04:48.347,7.293
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,29,295.640,04:55.640,1.785
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,30,297.425,04:57.425,6.008
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,31,303.433,05:03.433,1.293
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,32,304.726,05:04.726,6.633
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,33,311.359,05:11.359,2.829
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,34,314.188,05:14.188,5.038
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,35,319.226,05:19.226,2.143
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,36,321.369,05:21.369,6.045
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,37,327.414,05:27.414,2.589
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,38,330.003,05:30.003,5.542
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,39,335.545,05:35.545,1.651
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,40,337.196,05:37.196,6.171
2,11,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,41,343.367,05:43.367,2.343
2,11,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,42,345.710,05:45.710,5.661
