task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.153499999999999,8.1535,10.1535,13.1535,0.0005000000000006111,6.972,9.111,11.764,12.971,55.814190673828136,6.75675,0.838836669921875,1.0,ok,video,2.973,lengan,,False,1.5307499999999976,NGEED,1,,12.486846923828125,False,
NGEED,2,21.186,24.186,26.186,29.186,0.036000000000001364,23.165,25.039,27.567,28.83,73.443359375,22.9985,0.799896240234375,1.0,ok,video,23.165,batang_tubuh,0.015756721538175145,True,1.5307499999999976,NGEED,2,,23.850860595703125,False,
AGEM KANAN,1,37.19,40.19,42.19,45.19,0.0,39.301,41.037,44.106,44.897,67.3226379394531,39.15175,0.882110595703125,1.0,ok,video,38.565,lengan,0.020603544415252723,True,1.5307499999999976,AGEM KANAN,1,,-10.540283203125,False,
AGEM KANAN,2,53.188,56.188,58.188,61.188,0.03399999999999892,55.243,57.173,61.367,62.034,74.45797729492188,55.09375,0.884521484375,1.0,ok,video,51.438,lengan,0.05262109508045408,True,1.5307499999999976,AGEM KANAN,2,,-9.718704223632812,False,
AGEM KIRI,1,69.22,72.22,74.22,77.22,0.033999999999991815,71.032,72.838,75.309,76.101,50.327557373046886,70.87899999999999,1.332794189453125,1.0,ok,video,70.31,lengan,0.08171807083647689,True,1.5307499999999976,AGEM KIRI,1,,70.5050048828125,False,
AGEM KIRI,2,85.2525,88.2525,90.2525,93.2525,0.0005000000000023874,86.905,88.432,91.71,92.64,63.69284667968748,86.73825,1.282257080078125,1.0,ok,video,86.238,lengan,0.03762708141758525,True,1.5307499999999976,AGEM KIRI,2,,64.21269226074219,False,
NGEED,3,278.286,281.286,283.286,286.286,0.9990000000000236,279.695,281.362,284.833,285.764,73.69891052246095,279.55949999999996,0.8292236328125,1.0,ok,video,279.237,lengan,0.01994603733328077,True,1.5307499999999976,NGEED,3,,2.411865234375,False,
NGEED,4,294.248,297.248,299.248,302.248,0.03500000000002501,295.304,296.429,300.498,301.497,80.40726928710939,295.18949999999995,0.76129150390625,1.0,ok,video,288.36,lengan,0.032984470006551574,True,1.5307499999999976,NGEED,4,,10.487564086914062,False,
AGEM KANAN,3,310.31600000000003,313.31600000000003,315.31600000000003,318.31600000000003,0.9989999999999668,311.496,312.76,316.037,316.829,67.67581176757812,311.32925,0.92529296875,1.0,ok,video,305.636,lengan,1.1861146346885667,False,1.5307499999999976,AGEM KANAN,3,,-5.9061737060546875,False,
AGEM KANAN,4,326.3555,329.3555,331.3555,334.3555,0.04250000000001819,327.494,328.897,332.896,333.562,83.6773681640625,327.37600000000003,0.87249755859375,1.0,ok,video,326.633,lengan,0.04239589487734961,True,1.5307499999999976,AGEM KANAN,4,,-3.115142822265625,False,
AGEM KIRI,3,342.3525,345.3525,347.3525,350.3525,0.00050000000004502,343.63,345.227,348.768,349.296,85.6148681640625,343.46325,1.268707275390625,1.0,ok,video,336.562,lengan,0.07840407952013026,True,1.5307499999999976,AGEM KIRI,3,,84.12367248535156,False,
AGEM KIRI,4,358.385,361.385,363.385,366.385,0.9990000000000236,359.502,360.905,364.308,365.099,81.2799072265625,359.38725,1.164581298828125,1.0,ok,video,358.836,lengan,0.0585260083052362,True,1.5307499999999976,AGEM KIRI,4,,82.18638610839844,False,
