task,subphase,start,end,rep,sesi
AGEM KANAN,TURUN,38.913,42.197,1.0,1.0
AGEM KANAN,TAHAN,42.197,46.46,1.0,1.0
AGEM KANAN,NAIK,46.46,48.617,1.0,1.0
BERDIRI RILEKS,,50.617,53.897,,1.0
AGEM KANAN,TURUN,54.897,58.308,2.0,1.0
AGEM KANAN,TAHAN,58.308,62.546,2.0,1.0
AGEM KANAN,NAIK,62.546,63.401,2.0,1.0
BERDIRI RILEKS,,65.40100000000001,69.317,,1.0
AGEM KIRI,TURUN,70.317,74.077,1.0,1.0
AGEM KIRI,TAHAN,74.077,82.536,1.0,1.0
AGEM KIRI,NAIK,82.536,84.17,1.0,1.0
AGEM KIRI,TURUN,86.97,89.168,2.0,1.0
AGEM KIRI,TAHAN,89.168,94.349,2.0,1.0
AGEM KIRI,NAIK,94.349,95.553,2.0,1.0
BERDIRI RILEKS,,97.553,103.553,,1.0
ISTIRAHAT UTAMA,,103.553,275.116,,
NGEED,TURUN,280.116,282.582,3.0,2.0
NGEED,TAHAN,282.582,285.501,3.0,2.0
NGEED,NAIK,285.501,287.032,3.0,2.0
BERDIRI RILEKS,,289.032,294.631,,2.0
NGEED,TURUN,295.631,297.614,4.0,2.0
NGEED,TAHAN,297.614,301.214,4.0,2.0
NGEED,NAIK,301.214,302.965,4.0,2.0
BERDIRI RILEKS,,304.965,310.876,,2.0
AGEM KANAN,TURUN,311.876,314.14,3.0,2.0
AGEM KANAN,TAHAN,314.14,316.992,3.0,2.0
AGEM KANAN,NAIK,316.992,319.747,3.0,2.0
BERDIRI RILEKS,,321.747,326.597,,2.0
AGEM KANAN,TURUN,327.597,330.714,4.0,2.0
AGEM KANAN,TAHAN,330.714,335.23,4.0,2.0
AGEM KANAN,NAIK,335.23,336.799,4.0,2.0
BERDIRI RILEKS,,338.799,342.604,,2.0
AGEM KIRI,TURUN,343.604,347.19,3.0,2.0
AGEM KIRI,TAHAN,347.19,350.775,3.0,2.0
AGEM KIRI,NAIK,350.775,352.276,3.0,2.0
BERDIRI RILEKS,,354.276,358.481,,2.0
AGEM KIRI,TURUN,359.481,361.82,4.0,2.0
AGEM KIRI,TAHAN,361.82,366.231,4.0,2.0
AGEM KIRI,NAIK,366.231,368.229,4.0,2.0
BERDIRI RILEKS,,370.229,376.229,,2.0
BERDIRI MATA TERTUTUP,,411.581,441.581,,
