task,subphase,n,start,end,rep
BERSIAP,,14,0.116,5.1165,
NGEED,TURUN,14,5.1165,8.123000000000001,1.0
NGEED,TAHAN,9,8.123000000000001,10.1155,1.0
NGEED,NAIK,19,10.1155,13.1225,1.0
BERDIRI RILEKS,,20,13.1225,21.128999999999998,
NGEED,TURUN,15,21.128999999999998,24.1545,2.0
NGEED,TAHAN,7,24.1545,26.12,2.0
NGEED,NAIK,20,26.12,29.154,2.0
BERDIRI RILEKS,,20,29.154,37.152,
AGEM KANAN,TURUN,14,37.152,40.152,1.0
AGEM KANAN,TAHAN,7,40.152,42.152,1.0
AGEM KANAN,NAIK,19,42.152,45.150999999999996,1.0
BERDIRI RILEKS,,20,45.150999999999996,53.1505,
AGEM KANAN,TURUN,15,53.1505,56.1845,2.0
AGEM KANAN,TAHAN,7,56.1845,58.150000000000006,2.0
AGEM KANAN,NAIK,20,58.150000000000006,61.183499999999995,2.0
BERDIRI RILEKS,,20,61.183499999999995,69.1825,
AGEM KIRI,TURUN,15,69.1825,72.217,1.0
AGEM KIRI,TAHAN,7,72.217,74.189,1.0
AGEM KIRI,NAIK,18,74.189,77.1885,1.0
BERDIRI RILEKS,,21,77.1885,85.215,
AGEM KIRI,TURUN,14,85.215,88.215,2.0
AGEM KIRI,TAHAN,8,88.215,90.22149999999999,2.0
AGEM KIRI,NAIK,21,90.22149999999999,93.2205,2.0
ISTIRAHAT UTAMA,,364,93.2205,273.201,
BERSIAP,,7,276.2,278.24850000000004,
NGEED,TURUN,14,278.24850000000004,281.248,3.0
NGEED,TAHAN,14,281.248,284.254,3.0
NGEED,NAIK,14,284.254,286.2475,3.0
BERDIRI RILEKS,,21,286.2475,294.21849999999995,
NGEED,TURUN,12,294.21849999999995,297.252,4.0
NGEED,TAHAN,8,297.252,299.252,4.0
NGEED,NAIK,19,299.252,302.28,4.0
BERDIRI RILEKS,,20,302.28,310.28549999999996,
AGEM KANAN,TURUN,14,310.28549999999996,313.2845,3.0
AGEM KANAN,TAHAN,13,313.2845,316.2845,3.0
AGEM KANAN,NAIK,12,316.2845,318.2845,3.0
BERDIRI RILEKS,,21,318.2845,326.317,
AGEM KANAN,TURUN,13,326.317,329.28200000000004,4.0
AGEM KANAN,TAHAN,9,329.28200000000004,331.3165,4.0
AGEM KANAN,NAIK,18,331.3165,334.28150000000005,4.0
BERDIRI RILEKS,,21,334.28150000000005,342.315,
AGEM KIRI,TURUN,14,342.315,345.31399999999996,3.0
AGEM KIRI,TAHAN,8,345.31399999999996,347.31399999999996,3.0
AGEM KIRI,NAIK,19,347.31399999999996,350.33500000000004,3.0
BERDIRI RILEKS,,20,350.33500000000004,358.347,
AGEM KIRI,TURUN,14,358.347,361.347,4.0
AGEM KIRI,TAHAN,15,361.347,364.353,4.0
AGEM KIRI,NAIK,12,364.353,366.4235,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.4235,396.48699999999997,
BERDIRI ISTIRAHAT,,31,396.48699999999997,411.554,
BERDIRI MATA TERTUTUP,,63,411.554,441.508,
