task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.1165,8.1165,10.1165,13.1165,0.0065000000000008384,7.296,8.907,13.643,14.774,39.53838195800779,6.918,1.386962890625,1.0,ok,video_longgar,6.032,lengan,0.14279476660005377,True,1.88900000000001,NGEED,1,,6.5423126220703125,False,turun_tidak_terdeteksi
NGEED,2,21.129,24.129,26.129,29.129,0.025499999999997414,22.398,23.801,26.801,27.8,35.04930419921874,22.23125,1.261138916015625,1.0,ok,video,22.398,batang_tubuh,0.09001862958813255,True,1.88900000000001,NGEED,2,,8.176589965820312,False,
AGEM KANAN,1,37.152,40.152,42.152,45.152,0.0,40.0,41.349,43.208,43.471,18.83185119628905,39.86475,1.6163330078125,1.0,ok,video,31.272,lengan,1.481323149707309,False,1.88900000000001,AGEM KANAN,1,,-60.293121337890625,False,
AGEM KANAN,2,53.1505,56.1505,58.1505,61.1505,0.03399999999999892,55.067,56.872,59.066,59.608,30.358367919921875,54.9315,1.87158203125,1.0,ok,video,47.276,lengan,0.33787871324700963,False,1.88900000000001,AGEM KANAN,2,,-69.17320251464844,False,
AGEM KIRI,1,69.1825,72.1825,74.1825,77.1825,0.0344999999999942,,,,,10.19281005859375,72.16825,2.050384521484375,1.0,incomplete,video,64.871,batang_tubuh,3.702106000634734,False,1.88900000000001,AGEM KIRI,1,tanpa_turun,,False,tidak_turun
AGEM KIRI,2,85.215,88.215,90.215,93.215,0.006500000000002615,87.936,88.798,88.937,91.603,28.70172119140625,87.8525,1.983795166015625,1.0,short_hold,video,86.132,lengan,0.2098016157397464,False,1.88900000000001,AGEM KIRI,2,,,False,
NGEED,3,278.24850000000004,281.24850000000004,283.24850000000004,286.24850000000004,1.0054999999999836,279.602,281.006,283.671,284.533,31.751092529296898,279.404,1.31048583984375,1.0,ok,video,272.729,lengan,0.17803102170873705,True,1.88900000000001,NGEED,3,,10.371185302734375,False,
NGEED,4,294.21849999999995,297.21849999999995,299.21849999999995,302.21849999999995,0.03350000000006048,295.6,296.739,299.46,299.932,28.385775756835926,295.468,1.53887939453125,1.0,ok,video,295.6,batang_tubuh,0.22587873655411406,False,1.88900000000001,NGEED,4,,19.197250366210938,False,
AGEM KANAN,3,310.2855,313.2855,315.2855,318.2855,0.9989999999999668,312.597,313.931,316.138,316.402,26.131268310546886,312.53099999999995,1.78289794921875,1.0,ok,video,304.668,lengan,1.4249557440683966,False,1.88900000000001,AGEM KANAN,3,,-40.39087677001953,False,
AGEM KANAN,4,326.317,329.317,331.317,334.317,0.03499999999996817,328.206,329.803,331.469,332.205,24.92328796386721,328.1575,1.644805908203125,1.0,ok,video,328.206,batang_tubuh,0.2869069800730094,False,1.88900000000001,AGEM KANAN,4,,-51.685691833496094,False,
AGEM KIRI,3,342.315,345.315,347.315,350.315,0.0009999999999763531,343.94,345.606,348.328,348.869,35.98247985839845,343.79075,1.421417236328125,1.0,ok,video,336.802,lengan,0.9155405780757251,False,1.88900000000001,AGEM KIRI,3,,118.28217315673828,False,
AGEM KIRI,4,358.347,361.347,363.347,366.347,1.0060000000000286,359.993,361.395,361.868,364.395,29.189703369140602,359.8265,2.047271728515625,1.0,short_hold,video,359.201,lengan,0.14178638063700116,True,1.88900000000001,AGEM KIRI,4,,93.01868438720703,False,
