task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.0715,8.0715,10.0715,13.0715,0.08300000000000018,,,,,2.0931915283202898,10.706,0.803192138671875,1.0,incomplete,video,,batang_tubuh,,False,2.753499999999992,NGEED,1,tanpa_turun,,False,berdiri
NGEED,2,21.1875,24.1875,26.1875,29.1875,0.03549999999999898,,,,,0.7108612060546875,20.61475,0.61834716796875,1.0,incomplete,video,,batang_tubuh,,False,2.753499999999992,NGEED,2,tanpa_turun,,False,berdiri
AGEM KANAN,1,37.185,40.185,42.185,45.185,0.0010000000000047748,40.309,42.504,45.239,47.641,32.26385803222655,40.059,0.778411865234375,1.0,late,video,38.698,lengan,0.0683498765302012,True,2.753499999999992,AGEM KANAN,1,,-33.266448974609375,False,
AGEM KANAN,2,53.183,56.183,58.183,61.183,0.040500000000001535,55.836,58.043,59.71,61.237,66.7485321044922,55.635,1.034027099609375,1.0,ok,video,47.308,lengan,0.24815017118337512,False,2.753499999999992,AGEM KANAN,2,,-9.531005859375,False,
AGEM KIRI,1,69.22200000000001,72.22200000000001,74.22200000000001,77.22200000000001,0.033999999999991815,72.318,73.832,75.707,76.443,31.971948242187523,72.238,1.02581787109375,1.0,late,video,64.236,lengan,1.1334322461325113,False,2.753499999999992,AGEM KIRI,1,,114.16607666015625,False,
AGEM KIRI,2,85.254,88.254,90.254,93.254,0.0005000000000023874,88.9,90.83,92.773,94.107,54.57652587890624,88.63275000000002,0.983642578125,1.0,late,video,80.775,lengan,0.7049919826147212,False,2.753499999999992,AGEM KIRI,2,,110.30656433105469,False,
NGEED,3,278.28700000000003,281.28700000000003,283.28700000000003,286.28700000000003,0.9995000000000118,,,,,1.6516784667968523,279.4115,0.620758056640625,1.0,incomplete,video,,batang_tubuh,,False,2.753499999999992,NGEED,3,tanpa_turun,,False,berdiri
NGEED,4,294.25,297.25,299.25,302.25,0.03449999999997999,,,,,0.568359375,,0.623138427734375,1.0,incomplete,video,,batang_tubuh,,False,2.753499999999992,NGEED,4,tanpa_turun,,False,berdiri
AGEM KANAN,3,310.317,313.317,315.317,318.317,0.9990000000000236,313.171,314.629,319.295,320.295,55.294677734375,313.0045,0.8486328125,1.0,ok,video,311.629,lengan,0.010994008486138277,True,2.753499999999992,AGEM KANAN,3,,-14.915496826171875,False,
AGEM KANAN,4,326.35,329.35,331.35,334.35,0.0010000000000331966,328.502,330.696,333.307,334.237,64.15825500488279,328.318,1.222686767578125,1.0,ok,video,320.434,lengan,0.14401444639460165,True,2.753499999999992,AGEM KANAN,4,,-1.40283203125,False,
AGEM KIRI,3,342.347,345.347,347.347,350.347,0.0004999999999881766,344.902,346.097,348.832,349.638,69.14141845703125,344.75275,0.9912109375,1.0,ok,video,343.708,lengan,0.016484185827669702,True,2.753499999999992,AGEM KIRI,3,,119.12643432617188,False,
AGEM KIRI,4,358.386,361.386,363.386,366.386,0.999499999999955,360.9,362.163,365.094,366.302,68.18736572265624,360.79925,0.9452667236328125,1.0,ok,video,359.705,lengan,0.01961184831331839,True,2.753499999999992,AGEM KIRI,4,,119.36019897460938,False,
