task,subphase,n,start,end,rep
BERSIAP,,17,0.236,5.0715,
NGEED,TURUN,14,5.0715,8.1545,1.0
NGEED,TAHAN,8,8.1545,10.154,1.0
NGEED,NAIK,19,10.154,13.1535,1.0
BERDIRI RILEKS,,20,13.1535,21.1875,
NGEED,TURUN,14,21.1875,24.186999999999998,2.0
NGEED,TAHAN,8,24.186999999999998,26.152,2.0
NGEED,NAIK,19,26.152,29.186,2.0
BERDIRI RILEKS,,20,29.186,37.185,
AGEM KANAN,TURUN,14,37.185,40.184,1.0
AGEM KANAN,TAHAN,8,40.184,42.184,1.0
AGEM KANAN,NAIK,21,42.184,45.468500000000006,1.0
BERDIRI RILEKS,,20,45.468500000000006,53.183,
AGEM KANAN,TURUN,15,53.183,56.2235,2.0
AGEM KANAN,TAHAN,7,56.2235,58.189,2.0
AGEM KANAN,NAIK,22,58.189,61.2575,2.0
BERDIRI RILEKS,,21,61.2575,69.22200000000001,
AGEM KIRI,TURUN,14,69.22200000000001,72.256,1.0
AGEM KIRI,TAHAN,7,72.256,74.221,1.0
AGEM KIRI,NAIK,18,74.221,77.2555,1.0
BERDIRI RILEKS,,22,77.2555,85.254,
AGEM KIRI,TURUN,14,85.254,88.2535,2.0
AGEM KIRI,TAHAN,8,88.2535,90.2535,2.0
AGEM KIRI,NAIK,21,90.2535,93.37100000000001,2.0
ISTIRAHAT UTAMA,,363,93.37100000000001,273.232,
BERSIAP,,8,276.107,278.28700000000003,
NGEED,TURUN,14,278.28700000000003,281.28700000000003,3.0
NGEED,TAHAN,14,281.28700000000003,284.28650000000005,3.0
NGEED,NAIK,14,284.28650000000005,286.2655,3.0
BERDIRI RILEKS,,22,286.2655,294.25,
NGEED,TURUN,13,294.25,297.2845,4.0
NGEED,TAHAN,8,297.2845,299.284,4.0
NGEED,NAIK,19,299.284,302.318,4.0
BERDIRI RILEKS,,20,302.318,310.317,
AGEM KANAN,TURUN,14,310.317,313.317,3.0
AGEM KANAN,TAHAN,14,313.317,316.31600000000003,3.0
AGEM KANAN,NAIK,12,316.31600000000003,318.31600000000003,3.0
BERDIRI RILEKS,,21,318.31600000000003,326.35,
AGEM KANAN,TURUN,14,326.35,329.349,4.0
AGEM KANAN,TAHAN,8,329.349,331.349,4.0
AGEM KANAN,NAIK,19,331.349,334.32050000000004,4.0
BERDIRI RILEKS,,21,334.32050000000004,342.347,
AGEM KIRI,TURUN,13,342.347,345.3465,3.0
AGEM KIRI,TAHAN,8,345.3465,347.3465,3.0
AGEM KIRI,NAIK,18,347.3465,350.346,3.0
BERDIRI RILEKS,,21,350.346,358.38599999999997,
AGEM KIRI,TURUN,14,358.38599999999997,361.38599999999997,4.0
AGEM KIRI,TAHAN,14,361.38599999999997,364.3855,4.0
AGEM KIRI,NAIK,13,364.3855,366.454,4.0
BERDIRI FOKUS MATA TERBUKA,,62,366.454,396.555,
BERDIRI ISTIRAHAT,,35,396.555,411.594,
BERDIRI MATA TERTUTUP,,62,411.594,441.513,
