frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
3,0.115,,UNKNOWN,
5,0.211,,UNKNOWN,
6,0.236,"[mene rl J
BERSIAP
",BERSIAP,
7,0.267,"=:
BERSIAP
",BERSIAP,
14,0.503,"=e
BERSIAP
(s)
",BERSIAP,
18,0.636,"=a
BERSIAP
(s)
",BERSIAP,
20,0.698,"=a
BERSIAP
(s)
",BERSIAP,
21,0.732,"mas
(s)
",UNKNOWN,
22,0.767,"ae
s)
",UNKNOWN,
30,1.033,"ao
‘s)
",UNKNOWN,
37,1.263,"at
4)
",UNKNOWN,
40,1.367,"at
4)
",UNKNOWN,
41,1.402,"at
4)
",UNKNOWN,
42,1.43,"=
BERSIAP
@)
",BERSIAP,
44,1.503,"=
BERSIAP
@)
",BERSIAP,
59,2.003,"=m
BERSIAP
@)
",BERSIAP,
74,2.503,"=
BERSIAP
@)
",BERSIAP,
89,3.003,"=
BERSIAP
@)
",BERSIAP,
104,3.509,"=
BERSIAP
(2)
",BERSIAP,
119,4.01,"=z
BERSIAP
(2)
",BERSIAP,
134,4.509,"BERsiP
ae,
",BERSIAP,
141,4.731,"BERsiP
ae,
",BERSIAP,
145,4.87,"BERsiP
ae,
",BERSIAP,
147,4.94,"BERsiP
ae,
",BERSIAP,
148,4.967,"BERsiP
ae,
",BERSIAP,
149,5.01,"BERSP
ae,
",UNKNOWN,
152,5.106,"BERSP
ae,
",UNKNOWN,
153,5.134,"BERSP
ae,
",UNKNOWN,
154,5.176,"NGEED
~
1
TURUN
",NGEED,TURUN
156,5.231,"NGEED
~
1
TURUN
",NGEED,TURUN
164,5.51,"NGEED
~
1
TURUN
",NGEED,TURUN
179,6.01,"NGEED
~
1
TURUN
",NGEED,TURUN
194,6.509,"NGEED
2 \
TURUN
",NGEED,TURUN
209,7.01,"NGEED
2 \
TURUN
",NGEED,TURUN
212,7.12,"NGEED
2 \
TURUN
",NGEED,TURUN
214,7.176,"NGEED
TURUN
",NGEED,TURUN
215,7.203,"NGEED
3)
",NGEED,
216,7.231,"NGEED
3)
",NGEED,
224,7.509,"NGEED
3)
",NGEED,
239,8.009,"NGEED
3)
",NGEED,
242,8.106,"NGEED
3)
",NGEED,
243,8.134,"NGEED
3)
",NGEED,
244,8.175,"NGEED
+)
TAHAN
",NGEED,TAHAN
