task,subphase,n,start,end,rep
BERSIAP,,14,0.071,5.054,
NGEED,TURUN,14,5.054,8.053,1.0
NGEED,TAHAN,8,8.053,10.05,1.0
NGEED,NAIK,18,10.05,13.053,1.0
BERDIRI RILEKS,,21,13.053,21.093,
NGEED,TURUN,14,21.093,24.093,2.0
NGEED,TAHAN,7,24.093,26.058,2.0
NGEED,NAIK,21,26.058,29.092,2.0
BERDIRI RILEKS,,20,29.092,37.090999999999994,
AGEM KANAN,TURUN,14,37.090999999999994,40.09,1.0
AGEM KANAN,TAHAN,8,40.09,42.09,1.0
AGEM KANAN,NAIK,20,42.09,45.09,1.0
BERDIRI RILEKS,,19,45.09,53.088,
AGEM KANAN,TURUN,15,53.088,56.1295,2.0
AGEM KANAN,TAHAN,8,56.1295,58.088,2.0
AGEM KANAN,NAIK,19,58.088,61.122,2.0
BERDIRI RILEKS,,20,61.122,69.12100000000001,
AGEM KIRI,TURUN,15,69.12100000000001,72.1625,1.0
AGEM KIRI,TAHAN,7,72.1625,74.12,1.0
AGEM KIRI,NAIK,18,74.12,77.119,1.0
BERDIRI RILEKS,,21,77.119,85.153,
AGEM KIRI,TURUN,14,85.153,88.15899999999999,2.0
AGEM KIRI,TAHAN,8,88.15899999999999,90.1525,2.0
AGEM KIRI,NAIK,19,90.1525,93.15899999999999,2.0
ISTIRAHAT UTAMA,,364,93.15899999999999,273.131,
BERSIAP,,9,276.075,278.18600000000004,
NGEED,TURUN,14,278.18600000000004,281.18600000000004,3.0
NGEED,TAHAN,14,281.18600000000004,284.185,3.0
NGEED,NAIK,12,284.185,286.15,3.0
BERDIRI RILEKS,,20,286.15,294.149,
NGEED,TURUN,14,294.149,297.1835,4.0
NGEED,TAHAN,8,297.1835,299.183,4.0
NGEED,NAIK,19,299.183,302.217,4.0
BERDIRI RILEKS,,20,302.217,310.223,
AGEM KANAN,TURUN,14,310.223,313.21500000000003,3.0
AGEM KANAN,TAHAN,14,313.21500000000003,316.222,3.0
AGEM KANAN,NAIK,11,316.222,318.222,3.0
BERDIRI RILEKS,,19,318.222,326.283,
AGEM KANAN,TURUN,15,326.283,329.22,4.0
AGEM KANAN,TAHAN,9,329.22,331.2545,4.0
AGEM KANAN,NAIK,20,331.2545,334.219,4.0
BERDIRI RILEKS,,21,334.219,342.25300000000004,
AGEM KIRI,TURUN,14,342.25300000000004,345.25250000000005,3.0
AGEM KIRI,TAHAN,8,345.25250000000005,347.252,3.0
AGEM KIRI,NAIK,19,347.252,350.349,3.0
BERDIRI RILEKS,,19,350.349,358.28499999999997,
AGEM KIRI,TURUN,14,358.28499999999997,361.28499999999997,4.0
AGEM KIRI,TAHAN,14,361.28499999999997,364.284,4.0
AGEM KIRI,NAIK,12,364.284,366.3625,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.3625,396.418,
BERDIRI ISTIRAHAT,,35,396.418,411.485,
BERDIRI MATA TERTUTUP,,60,411.485,441.016,
