frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
1,0.048,,UNKNOWN,
2,0.071,"BERSIAP
x
(5)
",BERSIAP,
4,0.136,"BERSIAP
(s)
",BERSIAP,
8,0.27,"—
BERSIAP
(s)
",BERSIAP,
16,0.541,"=m
BERSIAP
(s)
",BERSIAP,
30,1.0,"=m
BERSIAP
(s)
",BERSIAP,
45,1.506,"=m
BERSIAP
)
",BERSIAP,
60,2.006,"=m
BERSIAP
o
",BERSIAP,
75,2.505,"=m
BERSIAP
(3)
",BERSIAP,
90,3.007,"=
BERSIAP
(3)
",BERSIAP,
105,3.506,"=z
BERSIAP
2)
",BERSIAP,
120,4.006,"[essen
BERSIAP
",BERSIAP,
135,4.505,"BERSIAP
(1
LO
",BERSIAP,
150,5.006,"BERSIAP
(1
LO
",BERSIAP,
151,5.033,"BERSIAP
(1
LO
",BERSIAP,
152,5.075,"NGEED
~
1
TURUN
",NGEED,TURUN
153,5.103,"NGEED
~
1
TURUN
",NGEED,TURUN
157,5.242,"NGEED
~
1
TURUN
",NGEED,TURUN
165,5.505,"NGEED
~
1
TURUN
",NGEED,TURUN
180,6.006,"NGEED
~
1
TURUN
",NGEED,TURUN
195,6.505,"NGEED
2
TURUN
",NGEED,TURUN
210,7.006,"NGEED
2 \
TURUN
",NGEED,TURUN
211,7.033,"NGEED
2 \
TURUN
",NGEED,TURUN
212,7.075,"NGEED
TURUN
",NGEED,TURUN
213,7.103,"NGEED
3)
",NGEED,
217,7.241,"NGEED
3)
",NGEED,
225,7.505,"NGEED
3)
",NGEED,
240,8.006,"NGEED
3)
",NGEED,
241,8.032,"NGEED
3)
",NGEED,
242,8.074,"NGEED
+)
TAHAN
",NGEED,TAHAN
243,8.102,"NGEED
+)
TAHAN
",NGEED,TAHAN
247,8.241,"NGEED
>
TAHAN
",NGEED,TAHAN
255,8.505,"NGEED
>
TAHAN
",NGEED,TAHAN
270,9.006,"NGEED
>
TAHAN
",NGEED,TAHAN
285,9.505,"NGEED
TAHAN
",NGEED,TAHAN
300,10.005,"NGEED
TAHAN
",NGEED,TAHAN
301,10.033,"NGEED
TAHAN
",NGEED,TAHAN
302,10.067,"NGEED
NAIK )
",NGEED,NAIK
303,10.102,"NGEED
",NGEED,
304,10.137,"NGEED
",NGEED,
308,10.268,"NGEED
~
",NGEED,
316,10.539,"NGEED
aC,
",NGEED,
331,11.039,"NGEED
aC,
",NGEED,
332,11.067,"NGEED
QD
NAIK
",NGEED,NAIK
334,11.136,"NGEED
(Z)
NAIK
",NGEED,NAIK
338,11.275,"NGEED
(z)
NAIK
",NGEED,NAIK
345,11.511,"NGEED
(2)
NAIK
",NGEED,NAIK
360,12.012,"NGEED
(2)
NAIK
",NGEED,NAIK
361,12.039,"NGEED
(2)
NAIK
",NGEED,NAIK
362,12.067,"NGEED
(2)
",NGEED,
363,12.108,"NGEED
(2)
",NGEED,
367,12.233,"NGEED
",NGEED,
375,12.511,"NGEED
",NGEED,
390,13.012,"NGEED
",NGEED,
391,13.039,"NGEED
",NGEED,
392,13.067,"BERDIRI RILEKS
~,
| 8 |
es
",BERDIRI RILEKS,
393,13.108,"BERDIRI RILEKS
~,
| 8 |
4
",BERDIRI RILEKS,
397,13.233,"BERDIRI RILEKS
_~,
| 8 |
es
",BERDIRI RILEKS,
