task,subphase,n,start,end,rep
BERSIAP,,15,0.075,5.083500000000001,
NGEED,TURUN,14,5.083500000000001,8.083,1.0
NGEED,TAHAN,7,8.083,10.09,1.0
NGEED,NAIK,18,10.09,13.0825,1.0
BERDIRI RILEKS,,21,13.0825,21.123,
NGEED,TURUN,14,21.123,24.122500000000002,2.0
NGEED,TAHAN,7,24.122500000000002,26.0875,2.0
NGEED,NAIK,21,26.0875,29.253500000000003,2.0
BERDIRI RILEKS,,18,29.253500000000003,37.1205,
AGEM KANAN,TURUN,14,37.1205,40.120000000000005,1.0
AGEM KANAN,TAHAN,8,40.120000000000005,42.1195,1.0
AGEM KANAN,NAIK,19,42.1195,45.1405,1.0
BERDIRI RILEKS,,19,45.1405,53.117999999999995,
AGEM KANAN,TURUN,15,53.117999999999995,56.152,2.0
AGEM KANAN,TAHAN,7,56.152,58.117000000000004,2.0
AGEM KANAN,NAIK,20,58.117000000000004,61.186499999999995,2.0
BERDIRI RILEKS,,19,61.186499999999995,69.15700000000001,
AGEM KIRI,TURUN,14,69.15700000000001,72.1845,1.0
AGEM KIRI,TAHAN,8,72.1845,74.156,1.0
AGEM KIRI,NAIK,19,74.156,77.156,1.0
BERDIRI RILEKS,,20,77.156,85.1825,
AGEM KIRI,TURUN,14,85.1825,88.182,2.0
AGEM KIRI,TAHAN,8,88.182,90.182,2.0
AGEM KIRI,NAIK,18,90.182,93.1815,2.0
ISTIRAHAT UTAMA,,364,93.1815,273.2025,
BERSIAP,,14,273.2025,278.216,
NGEED,TURUN,14,278.216,281.2155,3.0
NGEED,TAHAN,14,281.2155,284.21500000000003,3.0
NGEED,NAIK,11,284.21500000000003,286.187,3.0
BERDIRI RILEKS,,20,286.187,294.18600000000004,
NGEED,TURUN,14,294.18600000000004,297.22,4.0
NGEED,TAHAN,8,297.22,299.22,4.0
NGEED,NAIK,19,299.22,302.3165,4.0
BERDIRI RILEKS,,20,302.3165,310.246,
AGEM KANAN,TURUN,14,310.246,313.2455,3.0
AGEM KANAN,TAHAN,14,313.2455,316.252,3.0
AGEM KANAN,NAIK,12,316.252,318.31399999999996,3.0
BERDIRI RILEKS,,18,318.31399999999996,326.29200000000003,
AGEM KANAN,TURUN,16,326.29200000000003,329.25,4.0
AGEM KANAN,TAHAN,6,329.25,331.284,4.0
AGEM KANAN,NAIK,18,331.284,334.249,4.0
BERDIRI RILEKS,,21,334.249,342.2825,
AGEM KIRI,TURUN,14,342.2825,345.282,3.0
AGEM KIRI,TAHAN,8,345.282,347.282,3.0
AGEM KIRI,NAIK,19,347.282,350.289,3.0
BERDIRI RILEKS,,20,350.289,358.315,
AGEM KIRI,TURUN,14,358.315,361.315,4.0
AGEM KIRI,TAHAN,14,361.315,364.321,4.0
AGEM KIRI,NAIK,13,364.321,366.3995,4.0
BERDIRI FOKUS MATA TERBUKA,,63,366.3995,396.455,
BERDIRI ISTIRAHAT,,35,396.455,411.5155,
BERDIRI MATA TERTUTUP,,61,411.5155,441.504,
