frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
14,0.503,"po
(s)
",UNKNOWN,
30,1.033,"ey
ae,
",UNKNOWN,
37,1.266,"an
we,
",UNKNOWN,
41,1.398,"an
we,
",UNKNOWN,
42,1.426,"==
BERSIAP
)
",BERSIAP,
43,1.461,"==
BERSIAP
)
",BERSIAP,
45,1.53,"==
BERSIAP
)
",BERSIAP,
60,2.03,"==
BERSIAP
@)
",BERSIAP,
75,2.53,"=m
BERSIAP
)
",BERSIAP,
90,3.038,"=z
BERSIAP
@)
",BERSIAP,
105,3.537,"=z
BERSIAP
(2)
",BERSIAP,
120,4.037,"=
BERSIAP
",BERSIAP,
135,4.537,"BERSIAP
@)
",BERSIAP,
150,5.037,"BERSIAP
@)
",BERSIAP,
151,5.064,"BERSIAP
@)
",BERSIAP,
152,5.092,"BERSIAP
@)
",BERSIAP,
153,5.134,"NGEED
~
1
TURUN
",NGEED,TURUN
157,5.273,"NGEED
~
1
TURUN
",NGEED,TURUN
165,5.537,"NGEED
~
1
TURUN
",NGEED,TURUN
180,6.037,"NGEED
~
1
TURUN
",NGEED,TURUN
195,6.537,"NGEED
2
TURUN
",NGEED,TURUN
210,7.037,"NGEED
2
TURUN
",NGEED,TURUN
211,7.064,"NGEED
2
TURUN
",NGEED,TURUN
212,7.106,"NGEED
TURUN
",NGEED,TURUN
213,7.134,"NGEED
3)
",NGEED,
217,7.273,"NGEED
3)
",NGEED,
225,7.537,"NGEED
3)
",NGEED,
240,8.037,"NGEED
3)
",NGEED,
241,8.064,"NGEED
3)
",NGEED,
242,8.106,"NGEED
+)
TAHAN
",NGEED,TAHAN
243,8.134,"NGEED
+)
TAHAN
",NGEED,TAHAN
247,8.274,"NGEED
>
TAHAN
",NGEED,TAHAN
255,8.537,"NGEED
>
TAHAN
",NGEED,TAHAN
270,9.036,"NGEED
>
TAHAN
",NGEED,TAHAN
285,9.536,"NGEED
TAHAN
",NGEED,TAHAN
300,10.036,"NGEED
TAHAN
",NGEED,TAHAN
301,10.064,"NGEED
TAHAN
",NGEED,TAHAN
302,10.092,"NGEED
TAHAN
",NGEED,TAHAN
303,10.133,"NGEED
",NGEED,
307,10.258,"NGEED
3S
",NGEED,
315,10.536,"NGEED
Y)
",NGEED,
330,11.036,"NGEED
Y
",NGEED,
331,11.064,"NGEED
Y
",NGEED,
332,11.106,"NGEED
QD
NAIK
",NGEED,NAIK
333,11.133,"NGEED
)
NAIK
",NGEED,NAIK
337,11.272,"NGEED
(Z)
NAIK
",NGEED,NAIK
345,11.536,"NGEED
(2)
NAIK
",NGEED,NAIK
360,12.036,"NGEED
(2)
NAIK
",NGEED,NAIK
361,12.063,"NGEED
(2)
NAIK
",NGEED,NAIK
362,12.091,"NGEED
(2)
NAIK
",NGEED,NAIK
363,12.133,"NGEED
(2)
",NGEED,
367,12.258,"NGEED
",NGEED,
375,12.536,"NGEED
",NGEED,
390,13.036,"NGEED
",NGEED,
391,13.063,"NGEED
",NGEED,
392,13.105,"BERDIRI RILEKS
(g
eS)
",BERDIRI RILEKS,
393,13.133,"BERDIRI RILEKS
(g
eS)
",BERDIRI RILEKS,
397,13.272,"BERDIRI RILEKS
(g
\e/
",BERDIRI RILEKS,
405,13.536,"BERDIRI RILEKS
(g
Ye
",BERDIRI RILEKS,
420,14.036,"BERDIRI RILEKS
(g
Ye
",BERDIRI RILEKS,
435,14.536,"BERDIRI RILEKS
fm
7 |
= /
",BERDIRI RILEKS,
450,15.036,"BERDIRI RILEKS
fm
7 |
= /
",BERDIRI RILEKS,
465,15.535,"BERDIRI RILEKS
(6
Ye
",BERDIRI RILEKS,
480,16.035,"BERDIRI RILEKS
(6
Ye
",BERDIRI RILEKS,
495,16.535,"BERDIRI RILEKS
(5
Ye
",BERDIRI RILEKS,
510,17.035,"BERDIRI RILEKS
(5 )
\ 7
",BERDIRI RILEKS,
525,17.535,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
540,18.035,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
555,18.535,"BERDIRI RILEKS
(3
7
",BERDIRI RILEKS,
570,19.035,"BERDIRI RILEKS
(3
7
",BERDIRI RILEKS,
585,19.534,"BERDIRI RILEKS
(2
\ 7
",BERDIRI RILEKS,
599,20.007,"BERDIRI RILEKS
(2
\ 7
",BERDIRI RILEKS,
614,20.507,"BERDIRI RILEKS
(1)
Ke
",BERDIRI RILEKS,
630,21.034,"BERDIRI RILEKS
(1)
Ke
",BERDIRI RILEKS,
631,21.062,"BERDIRI RILEKS
(1)
Ke
",BERDIRI RILEKS,
632,21.104,"BERDIRI RILEKS
(1)
Ke
",BERDIRI RILEKS,
633,21.132,"NGEED
~
1
TURUN
",NGEED,TURUN
637,21.271,"NGEED
~
1
TURUN
",NGEED,TURUN
645,21.534,"NGEED
~
1
TURUN
",NGEED,TURUN
660,22.034,"NGEED
~
1
TURUN
",NGEED,TURUN
675,22.534,"NGEED
2 \
TURUN
",NGEED,TURUN
690,23.034,"NGEED
2 \
TURUN
",NGEED,TURUN
691,23.062,"NGEED
2 \
TURUN
",NGEED,TURUN
692,23.104,"NGEED
2 \
TURUN
",NGEED,TURUN
693,23.131,"NGEED
3)
",NGEED,
697,23.271,"NGEED
3)
",NGEED,
704,23.507,"NGEED
3)
",NGEED,
719,24.007,"NGEED
3)
",NGEED,
721,24.062,"NGEED
3)
",NGEED,
722,24.104,"NGEED
3)
",NGEED,
723,24.131,"NGEED
+)
TAHAN
",NGEED,TAHAN
727,24.27,"NGEED
>
TAHAN
",NGEED,TAHAN
735,24.534,"NGEED
>
TAHAN
",NGEED,TAHAN
749,25.007,"NGEED
>
TAHAN
",NGEED,TAHAN
764,25.506,"NGEED
TAHAN
",NGEED,TAHAN
780,26.033,"NGEED
TAHAN
",NGEED,TAHAN
781,26.061,"NGEED
TAHAN
",NGEED,TAHAN
782,26.103,"NGEED
NAIK )
",NGEED,NAIK
783,26.131,"NGEED
NAIK )
",NGEED,NAIK
784,26.159,"NGEED
NAIK )
",NGEED,NAIK
785,26.2,"NGEED
",NGEED,
787,26.27,"NGEED
Y
",NGEED,
795,26.533,"NGEED
Y)
",NGEED,
809,27.007,"NGEED
3
",NGEED,
811,27.061,"NGEED
3
",NGEED,
812,27.103,"NGEED
3
",NGEED,
813,27.13,"NGEED
2
NAIK
",NGEED,NAIK
817,27.27,"NGEED
(2)
NAIK
",NGEED,NAIK
825,27.533,"NGEED
(2)
NAIK
",NGEED,NAIK
839,28.006,"NGEED
(2)
NAIK
",NGEED,NAIK
843,28.13,"NGEED
(2)
NAIK
",NGEED,NAIK
844,28.158,"NGEED
(2)
",NGEED,
