task,subphase,n,start,end,rep
BERSIAP,,12,1.426,5.1129999999999995,
NGEED,TURUN,13,5.1129999999999995,8.085,1.0
NGEED,TAHAN,14,8.085,11.085,1.0
NGEED,NAIK,12,11.085,13.084,1.0
BERDIRI RILEKS,,21,13.084,21.118000000000002,
NGEED,TURUN,14,21.118000000000002,24.1175,2.0
NGEED,TAHAN,7,24.1175,26.082,2.0
NGEED,NAIK,20,26.082,29.144,2.0
BERDIRI RILEKS,,21,29.144,37.15,
AGEM KANAN,TURUN,14,37.15,40.15,1.0
AGEM KANAN,TAHAN,8,40.15,42.149,1.0
AGEM KANAN,NAIK,19,42.149,45.183499999999995,1.0
BERDIRI RILEKS,,19,45.183499999999995,53.1475,
AGEM KANAN,TURUN,14,53.1475,56.1475,2.0
AGEM KANAN,TAHAN,8,56.1475,58.147,2.0
AGEM KANAN,NAIK,19,58.147,61.1535,2.0
BERDIRI RILEKS,,20,61.1535,69.1525,
AGEM KIRI,TURUN,14,69.1525,72.2145,1.0
AGEM KIRI,TAHAN,7,72.2145,74.1515,1.0
AGEM KIRI,NAIK,19,74.1515,77.16499999999999,1.0
BERDIRI RILEKS,,20,77.16499999999999,85.212,
AGEM KIRI,TURUN,14,85.212,88.184,2.0
AGEM KIRI,TAHAN,8,88.184,90.184,2.0
AGEM KIRI,NAIK,19,90.184,93.18299999999999,2.0
ISTIRAHAT UTAMA,,364,93.18299999999999,273.30899999999997,
BERSIAP,,14,273.30899999999997,278.211,
NGEED,TURUN,14,278.211,281.2175,3.0
NGEED,TAHAN,14,281.2175,284.2175,3.0
NGEED,NAIK,12,284.2175,286.182,3.0
BERDIRI RILEKS,,20,286.182,294.1815,
NGEED,TURUN,15,294.1815,297.243,4.0
NGEED,TAHAN,8,297.243,299.24199999999996,4.0
NGEED,NAIK,19,299.24199999999996,302.277,4.0
BERDIRI RILEKS,,22,302.277,310.248,
AGEM KANAN,TURUN,14,310.248,313.24699999999996,3.0
AGEM KANAN,TAHAN,8,313.24699999999996,315.24699999999996,3.0
AGEM KANAN,NAIK,21,315.24699999999996,318.24699999999996,3.0
BERDIRI RILEKS,,19,318.24699999999996,326.315,
AGEM KANAN,TURUN,13,326.315,329.2455,4.0
AGEM KANAN,TAHAN,14,329.2455,332.2765,4.0
AGEM KANAN,NAIK,12,332.2765,334.275,4.0
BERDIRI RILEKS,,21,334.275,342.3125,
AGEM KIRI,TURUN,14,342.3125,345.312,3.0
AGEM KIRI,TAHAN,13,345.312,348.283,3.0
AGEM KIRI,NAIK,13,348.283,350.31100000000004,3.0
BERDIRI RILEKS,,20,350.31100000000004,358.344,
AGEM KIRI,TURUN,14,358.344,361.3165,4.0
AGEM KIRI,TAHAN,14,361.3165,364.3435,4.0
AGEM KIRI,NAIK,12,364.3435,366.38599999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.38599999999997,396.47749999999996,
BERDIRI ISTIRAHAT,,32,396.47749999999996,411.54449999999997,
BERDIRI MATA TERTUTUP,,62,411.54449999999997,441.027,
