frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
15,0.501,"oe
ay
",UNKNOWN,
30,1.001,"aa
we,
",UNKNOWN,
31,1.042,"aa
we,
",UNKNOWN,
32,1.07,"BERSIAP
Oo
ie.
",BERSIAP,
33,1.098,"BERSIAP
Oo
ie.
",BERSIAP,
37,1.237,"=n
BERSIAP
@)
",BERSIAP,
45,1.5,"=n
BERSIAP
@)
",BERSIAP,
60,2.002,"=e
BERSIAP
)
",BERSIAP,
75,2.5,"=m
BERSIAP
@)
",BERSIAP,
90,3.001,"=
BERSIAP
@)
",BERSIAP,
105,3.5,"=
BERSIAP
(2)
",BERSIAP,
120,4.0,"=z
BERSIAP
(2)
",BERSIAP,
123,4.097,"[eaves
BERSIAP
",BERSIAP,
125,4.166,"Pa a]
BERSIAP
",BERSIAP,
126,4.209,"Beas
ae,
",UNKNOWN,
127,4.236,"Beas
ae,
",UNKNOWN,
135,4.5,"Beas
Le,
",UNKNOWN,
138,4.611,"Beas
Le,
",UNKNOWN,
140,4.666,"Beas
Le,
",UNKNOWN,
141,4.709,"Beas
Le,
",UNKNOWN,
142,4.736,"BERsiP
Le,
",BERSIAP,
150,5.0,"BERsiP
Le,
",BERSIAP,
153,5.097,"BERsiP
Le,
",BERSIAP,
154,5.139,"NGEED
~
1
TURUN
",NGEED,TURUN
155,5.166,"NGEED
~
1
TURUN
",NGEED,TURUN
157,5.236,"NGEED
~
1
TURUN
",NGEED,TURUN
165,5.5,"NGEED
~
1
TURUN
",NGEED,TURUN
180,6.0,"NGEED
~
1
TURUN
",NGEED,TURUN
195,6.5,"NGEED
2
TURUN
",NGEED,TURUN
210,7.0,"NGEED
2 \
TURUN
",NGEED,TURUN
213,7.111,"NGEED
TURUN
",NGEED,TURUN
214,7.138,"NGEED
3)
",NGEED,
215,7.166,"NGEED
3)
",NGEED,
217,7.236,"NGEED
3)
",NGEED,
225,7.5,"NGEED
3)
",NGEED,
240,8.0,"NGEED
3)
",NGEED,
242,8.069,"NGEED
3)
",NGEED,
243,8.11,"NGEED
+)
TAHAN
",NGEED,TAHAN
244,8.138,"NGEED
+)
TAHAN
",NGEED,TAHAN
248,8.277,"NGEED
>
TAHAN
",NGEED,TAHAN
256,8.541,"NGEED
>
TAHAN
",NGEED,TAHAN
270,9.0,"NGEED
>
TAHAN
",NGEED,TAHAN
286,9.541,"NGEED
TAHAN
",NGEED,TAHAN
300,10.0,"NGEED
TAHAN
",NGEED,TAHAN
302,10.068,"NGEED
TAHAN
",NGEED,TAHAN
303,10.11,"NGEED
NAIK )
",NGEED,NAIK
304,10.138,"NGEED
",NGEED,
308,10.277,"NGEED
Y
",NGEED,
316,10.541,"NGEED
Y
",NGEED,
331,11.04,"NGEED
Y
",NGEED,
332,11.068,"NGEED
Y
",NGEED,
333,11.11,"NGEED
QD
NAIK
",NGEED,NAIK
334,11.138,"NGEED
)
NAIK
",NGEED,NAIK
338,11.277,"NGEED
(2)
NAIK
",NGEED,NAIK
346,11.54,"NGEED
(2)
NAIK
",NGEED,NAIK
361,12.04,"NGEED
(2)
NAIK
",NGEED,NAIK
362,12.068,"NGEED
(2)
NAIK
",NGEED,NAIK
363,12.11,"NGEED
(8)
",NGEED,
364,12.138,"NGEED
(2)
",NGEED,
368,12.277,"NGEED
",NGEED,
376,12.54,"NGEED
",NGEED,
391,13.04,"NGEED
",NGEED,
392,13.069,"NGEED
",NGEED,
393,13.11,"BERDIRI RILEKS
(gs
|
ye /
",BERDIRI RILEKS,
394,13.137,"BERDIRI RILEKS
(gs
|
yf
",BERDIRI RILEKS,
398,13.276,"BERDIRI RILEKS
(sg
—S
",BERDIRI RILEKS,
406,13.54,"BERDIRI RILEKS
fo
| 8 |
Ne,
",BERDIRI RILEKS,
421,14.04,"BERDIRI RILEKS
fo
| 8 |
Ne,
",BERDIRI RILEKS,
436,14.541,"BERDIRI RILEKS
{om \
| 7 |
Ne,
",BERDIRI RILEKS,
451,15.04,"BERDIRI RILEKS
{om \
| 7 |
Ne,
",BERDIRI RILEKS,
466,15.54,"BERDIRI RILEKS
(6
Ye
",BERDIRI RILEKS,
481,16.04,"BERDIRI RILEKS
(6)
Ye
",BERDIRI RILEKS,
496,16.54,"BERDIRI RILEKS
(5 \
Ye
",BERDIRI RILEKS,
511,17.04,"BERDIRI RILEKS
(5 \
Nee
",BERDIRI RILEKS,
526,17.54,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
541,18.04,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
556,18.539,"BERDIRI RILEKS
(3
Nee,
",BERDIRI RILEKS,
571,19.039,"BERDIRI RILEKS
(3
Nee,
",BERDIRI RILEKS,
586,19.539,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
601,20.039,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
615,20.511,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
631,21.039,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
632,21.067,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
633,21.108,"BERDIRI RILEKS
(1)
Nee
",BERDIRI RILEKS,
634,21.136,"NGEED
=
1
TURUN
",NGEED,TURUN
638,21.275,"NGEED
~
1
TURUN
",NGEED,TURUN
646,21.539,"NGEED
~
1
TURUN
",NGEED,TURUN
660,22.012,"NGEED
~
1
TURUN
",NGEED,TURUN
676,22.539,"NGEED
2
TURUN
",NGEED,TURUN
691,23.039,"NGEED
2
TURUN
",NGEED,TURUN
694,23.136,"NGEED
2
TURUN
",NGEED,TURUN
695,23.164,"NGEED
3)
",NGEED,
696,23.206,"NGEED
3)
",NGEED,
698,23.275,"NGEED
3)
",NGEED,
706,23.539,"NGEED
3)
",NGEED,
721,24.039,"NGEED
3)
",NGEED,
724,24.136,"NGEED
3)
",NGEED,
725,24.164,"NGEED
+)
TAHAN
",NGEED,TAHAN
726,24.206,"NGEED
+)
TAHAN
",NGEED,TAHAN
728,24.275,"NGEED
>
TAHAN
",NGEED,TAHAN
736,24.538,"NGEED
>
TAHAN
",NGEED,TAHAN
750,25.011,"NGEED
>
TAHAN
",NGEED,TAHAN
766,25.538,"NGEED
TAHAN
",NGEED,TAHAN
781,26.038,"NGEED
TAHAN
",NGEED,TAHAN
782,26.066,"NGEED
TAHAN
",NGEED,TAHAN
783,26.108,"NGEED
NAIK )
",NGEED,NAIK
784,26.136,"NGEED
NAIK )
",NGEED,NAIK
785,26.177,"NGEED
",NGEED,
786,26.207,"NGEED
",NGEED,
788,26.275,"NGEED
Y)
",NGEED,
795,26.511,"NGEED
3
",NGEED,
811,27.038,"NGEED
Y
",NGEED,
814,27.135,"NGEED
Y
",NGEED,
815,27.163,"NGEED
YD
NAIK
",NGEED,NAIK
816,27.205,"NGEED
(Z)
NAIK
",NGEED,NAIK
818,27.274,"NGEED
(2)
NAIK
",NGEED,NAIK
825,27.51,"NGEED
(2)
NAIK
",NGEED,NAIK
840,28.011,"NGEED
(2)
NAIK
",NGEED,NAIK
843,28.108,"NGEED
(2)
NAIK
",NGEED,NAIK
844,28.149,"NGEED
(2)
",NGEED,
845,28.163,"NGEED
(2)
",NGEED,
847,28.232,"NGEED
(2)
",NGEED,
855,28.51,"NGEED
",NGEED,
870,29.011,"NGEED
",NGEED,
873,29.107,"NGEED
",NGEED,
874,29.135,"NGEED
",NGEED,
875,29.177,"BERDIRI RILEKS
fo»
| 8 |
ye
",BERDIRI RILEKS,
877,29.232,"BERDIRI RILEKS
fo»
8 |
yen
",BERDIRI RILEKS,
885,29.51,"BERDIRI RILEKS
fe
| 8 |
",BERDIRI RILEKS,
900,30.011,"BERDIRI RILEKS
fe
| 8 |
",BERDIRI RILEKS,
915,30.51,"BERDIRI RILEKS
(7)
Xe
",BERDIRI RILEKS,
930,31.01,"BERDIRI RILEKS
(7)
Xe
",BERDIRI RILEKS,
945,31.51,"BERDIRI RILEKS
(6
ey
",BERDIRI RILEKS,
960,32.01,"BERDIRI RILEKS
(6
ey
",BERDIRI RILEKS,
975,32.51,"BERDIRI RILEKS
_,
[ 5
",BERDIRI RILEKS,
990,33.01,"BERDIRI RILEKS
fa
| 5
",BERDIRI RILEKS,
1005,33.51,"BERDIRI RILEKS
(4)
Xe
",BERDIRI RILEKS,
1020,34.01,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
1035,34.51,"BERDIRI RILEKS
(3
Nee
",BERDIRI RILEKS,
1050,35.01,"BERDIRI RILEKS
(3
Nee
",BERDIRI RILEKS,
1065,35.509,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
1080,36.01,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
1095,36.509,"BERDIRI RILEKS
(1
Nee
",BERDIRI RILEKS,
1110,37.01,"BERDIRI RILEKS
(1
Nee
",BERDIRI RILEKS,
1113,37.106,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1114,37.134,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1115,37.176,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1117,37.231,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1125,37.509,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1140,38.01,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1155,38.509,"AGEM KANAN
2 \
TURUN
",AGEM KANAN,TURUN
1170,39.009,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1173,39.106,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1175,39.175,"AGEM KANAN
TURUN
",AGEM KANAN,TURUN
1176,39.203,"AGEM KANAN
3)
",AGEM KANAN,
1177,39.231,"AGEM KANAN
3)
",AGEM KANAN,
1185,39.509,"AGEM KANAN
3)
",AGEM KANAN,
1200,40.01,"AGEM KANAN
3)
",AGEM KANAN,
1203,40.106,"AGEM KANAN
3)
",AGEM KANAN,
1204,40.147,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1205,40.175,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
