task,subphase,n,start,end,rep
BERSIAP,,14,1.07,5.118,
NGEED,TURUN,14,5.118,8.089500000000001,1.0
NGEED,TAHAN,8,8.089500000000001,10.088999999999999,1.0
NGEED,NAIK,18,10.088999999999999,13.089500000000001,1.0
BERDIRI RILEKS,,21,13.089500000000001,21.122,
NGEED,TURUN,13,21.122,24.15,2.0
NGEED,TAHAN,8,24.15,26.087,2.0
NGEED,NAIK,21,26.087,29.156,2.0
BERDIRI RILEKS,,20,29.156,37.155,
AGEM KANAN,TURUN,13,37.155,40.1265,1.0
AGEM KANAN,TAHAN,9,40.1265,42.153999999999996,1.0
AGEM KANAN,NAIK,19,42.153999999999996,45.153499999999994,1.0
BERDIRI RILEKS,,20,45.153499999999994,53.1525,
AGEM KANAN,TURUN,14,53.1525,56.152,2.0
AGEM KANAN,TAHAN,8,56.152,58.150999999999996,2.0
AGEM KANAN,NAIK,19,58.150999999999996,61.269000000000005,2.0
BERDIRI RILEKS,,20,61.269000000000005,69.1565,
AGEM KIRI,TURUN,15,69.1565,72.219,1.0
AGEM KIRI,TAHAN,7,72.219,74.156,1.0
AGEM KIRI,NAIK,19,74.156,77.15549999999999,1.0
BERDIRI RILEKS,,20,77.15549999999999,85.189,
AGEM KIRI,TURUN,14,85.189,88.189,2.0
AGEM KIRI,TAHAN,8,88.189,90.188,2.0
AGEM KIRI,NAIK,18,90.188,93.6185,2.0
ISTIRAHAT UTAMA,,363,93.6185,273.174,
BERSIAP,,10,276.063,278.22249999999997,
NGEED,TURUN,12,278.22249999999997,281.2495,3.0
NGEED,TAHAN,14,281.2495,284.249,3.0
NGEED,NAIK,14,284.249,286.332,3.0
BERDIRI RILEKS,,20,286.332,294.21299999999997,
NGEED,TURUN,14,294.21299999999997,297.219,4.0
NGEED,TAHAN,8,297.219,299.219,4.0
NGEED,NAIK,20,299.219,302.281,4.0
BERDIRI RILEKS,,20,302.281,310.28700000000003,
AGEM KANAN,TURUN,14,310.28700000000003,313.2795,3.0
AGEM KANAN,TAHAN,14,313.2795,316.286,3.0
AGEM KANAN,NAIK,12,316.286,318.286,3.0
BERDIRI RILEKS,,24,318.286,326.284,
AGEM KANAN,TURUN,13,326.284,329.284,4.0
AGEM KANAN,TAHAN,9,329.284,331.2835,4.0
AGEM KANAN,NAIK,18,331.2835,334.3665,4.0
BERDIRI RILEKS,,18,334.3665,342.28200000000004,
AGEM KIRI,TURUN,14,342.28200000000004,345.28150000000005,3.0
AGEM KIRI,TAHAN,9,345.28150000000005,347.31600000000003,3.0
AGEM KIRI,NAIK,19,347.31600000000003,350.315,3.0
BERDIRI RILEKS,,20,350.315,358.349,
AGEM KIRI,TURUN,14,358.349,361.3485,4.0
AGEM KIRI,TAHAN,14,361.3485,364.348,4.0
AGEM KIRI,NAIK,12,364.348,366.3835,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.3835,396.454,
BERDIRI ISTIRAHAT,,33,396.454,411.549,
BERDIRI MATA TERTUTUP,,63,411.549,441.503,
