task,subphase,n,start,end,rep
BERSIAP,,11,0.774,4.7524999999999995,
NGEED,TURUN,14,4.7524999999999995,8.0855,1.0
NGEED,TAHAN,8,8.0855,10.085,1.0
NGEED,NAIK,20,10.085,13.085,1.0
BERDIRI RILEKS,,19,13.085,21.118000000000002,
NGEED,TURUN,14,21.118000000000002,24.118000000000002,2.0
NGEED,TAHAN,8,24.118000000000002,26.083,2.0
NGEED,NAIK,21,26.083,29.1175,2.0
BERDIRI RILEKS,,20,29.1175,37.1165,
AGEM KANAN,TURUN,14,37.1165,40.1155,1.0
AGEM KANAN,TAHAN,8,40.1155,42.116,1.0
AGEM KANAN,NAIK,20,42.116,45.1215,1.0
BERDIRI RILEKS,,20,45.1215,53.120000000000005,
AGEM KANAN,TURUN,13,53.120000000000005,56.147999999999996,2.0
AGEM KANAN,TAHAN,9,56.147999999999996,58.120000000000005,2.0
AGEM KANAN,NAIK,19,58.120000000000005,61.147000000000006,2.0
BERDIRI RILEKS,,20,61.147000000000006,69.153,
AGEM KIRI,TURUN,15,69.153,72.187,1.0
AGEM KIRI,TAHAN,8,72.187,74.152,1.0
AGEM KIRI,NAIK,19,74.152,77.1515,1.0
BERDIRI RILEKS,,20,77.1515,85.185,
AGEM KIRI,TURUN,14,85.185,88.1845,2.0
AGEM KIRI,TAHAN,8,88.1845,90.184,2.0
AGEM KIRI,NAIK,18,90.184,93.30199999999999,2.0
ISTIRAHAT UTAMA,,363,93.30199999999999,273.171,
BERSIAP,,9,276.129,278.219,
NGEED,TURUN,14,278.219,281.2185,3.0
NGEED,TAHAN,14,281.2185,284.2175,3.0
NGEED,NAIK,12,284.2175,286.1825,3.0
BERDIRI RILEKS,,20,286.1825,294.182,
NGEED,TURUN,14,294.182,297.216,4.0
NGEED,TAHAN,8,297.216,299.216,4.0
NGEED,NAIK,19,299.216,302.25,4.0
BERDIRI RILEKS,,20,302.25,310.249,
AGEM KANAN,TURUN,14,310.249,313.248,3.0
AGEM KANAN,TAHAN,14,313.248,316.24749999999995,3.0
AGEM KANAN,NAIK,12,316.24749999999995,318.24699999999996,3.0
BERDIRI RILEKS,,19,318.24699999999996,326.281,
AGEM KANAN,TURUN,13,326.281,329.246,4.0
AGEM KANAN,TAHAN,9,329.246,331.28,4.0
AGEM KANAN,NAIK,18,331.28,334.2455,4.0
BERDIRI RILEKS,,21,334.2455,342.2785,
AGEM KIRI,TURUN,14,342.2785,345.278,3.0
AGEM KIRI,TAHAN,8,345.278,347.278,3.0
AGEM KIRI,NAIK,19,347.278,350.278,3.0
BERDIRI RILEKS,,7,350.278,351.43,
BERDIRI RILEKS,,14,353.568,358.31100000000004,
AGEM KIRI,TURUN,14,358.31100000000004,361.317,4.0
AGEM KIRI,TAHAN,14,361.317,364.317,4.0
AGEM KIRI,NAIK,13,364.317,366.37149999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.37149999999997,396.479,
BERDIRI ISTIRAHAT,,32,396.479,411.5525,
BERDIRI MATA TERTUTUP,,63,411.5525,441.527,
