task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,4.7525,7.7525,9.752500000000001,12.752500000000001,0.3329999999999993,6.767,8.099,11.974,13.307,70.41796875,6.618,0.71624755859375,1.0,ok,video,6.03,lengan,0.08480378390747212,True,1.2844999999999978,NGEED,1,,15.998504638671875,False,
NGEED,2,21.118,24.118,26.118,29.118,0.03500000000000014,22.695,23.833,27.166,27.902,63.785369873046875,22.62575,0.815338134765625,1.0,ok,video,15.238,lengan,0.06815066510567101,True,1.2844999999999978,NGEED,2,,11.27020263671875,False,
AGEM KANAN,1,37.1165,40.1165,42.1165,45.1165,0.0010000000000047748,39.164,40.567,43.164,43.636,59.713775634765625,39.063250000000004,0.803619384765625,1.0,ok,video,38.373,lengan,0.02887002153113838,True,1.2844999999999978,AGEM KANAN,1,,-0.2957916259765625,False,
AGEM KANAN,2,53.120000000000005,56.120000000000005,58.120000000000005,61.120000000000005,0.027999999999998693,54.37,55.37,59.37,60.036,62.096527099609375,54.2865,0.883697509765625,1.0,ok,video,48.038,lengan,1.0075079406657923,False,1.2844999999999978,AGEM KANAN,2,,-4.7408447265625,False,
AGEM KIRI,1,69.153,72.153,74.153,77.153,0.033999999999991815,71.104,72.104,75.298,75.839,64.19807434082031,71.02074999999999,0.944122314453125,1.0,ok,video,63.23,lengan,0.032370994596277645,True,1.2844999999999978,AGEM KIRI,1,,72.278076171875,False,
AGEM KIRI,2,85.185,88.185,90.185,93.185,0.0010000000000047748,86.504,87.435,91.434,91.962,63.49554443359375,86.4205,1.428497314453125,1.0,ok,video,79.297,lengan,0.05230983811571732,True,1.2844999999999978,AGEM KIRI,2,,62.9483642578125,False,
NGEED,3,278.219,281.219,283.219,286.219,0.9984999999999786,279.26,280.871,284.065,284.731,59.888824462890625,279.15925,0.647735595703125,1.0,ok,video,277.059,lengan,0.028625632313292095,True,1.2844999999999978,NGEED,3,,31.366973876953125,False,
NGEED,4,294.182,297.182,299.182,302.182,0.033999999999991815,295.397,297.605,301.396,301.993,70.49038085937502,295.18174999999997,1.823455810546875,1.0,ok,video,288.926,lengan,0.8394236836946528,False,1.2844999999999978,NGEED,4,,80.59078979492188,False,
AGEM KANAN,3,310.249,313.249,315.249,318.249,0.9984999999999218,311.727,313.2,316.06,316.602,63.926226806640614,311.64349999999996,0.8189697265625,1.0,ok,video,311.727,batang_tubuh,0.09792075807598731,True,1.2844999999999978,AGEM KANAN,3,,-2.224151611328125,False,
AGEM KANAN,4,326.281,329.281,331.281,334.281,0.03500000000002501,327.128,328.267,332.669,333.197,59.84412536621096,327.04474999999996,0.95361328125,1.0,ok,video,321.601,lengan,1.0739126707705149,False,1.2844999999999978,AGEM KANAN,4,,-7.954833984375,False,
AGEM KIRI,3,342.2785,345.2785,347.2785,350.2785,0.0004999999999881766,343.265,344.598,347.403,348.069,64.49490356445312,343.19925,1.243438720703125,1.0,ok,video,336.39,lengan,0.08451056109936315,True,1.2844999999999978,AGEM KIRI,3,,25.972808837890625,False,
AGEM KIRI,4,358.31100000000004,361.31100000000004,363.31100000000004,366.31100000000004,1.0059999999999718,359.471,360.803,364.998,365.47,67.27960205078125,359.3565,1.034912109375,1.0,ok,video,356.262,lengan,0.03687895136481694,True,1.2844999999999978,AGEM KIRI,4,,42.23643493652344,False,
