participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P09,TE,Gerak,12,100.0,0.38,68.1,-1.03,11.4,8.0,100.0,1.15,0.81,T5_ICAmata_CCAotot
P09,TE,Tahan,12,100.0,0.54,63.8,0.65,21.1,10.0,100.0,1.6,0.68,T5_ICAmata_CCAotot
P09,TE,Naik,12,100.0,0.39,56.5,0.31,8.8,7.0,100.0,1.74,0.33,T5_ICAmata_CCAotot
P09,TE,Berdiri,12,100.0,0.5,67.0,0.38,30.8,10.0,100.0,1.06,0.88,T5_ICAmata_CCAotot
P31,TE,Gerak,10,100.0,0.41,65.1,2.0,10.2,8.0,100.0,1.25,0.95,T5_dasar
P31,TE,Tahan,10,100.0,0.54,66.9,1.02,20.1,8.5,100.0,1.16,0.92,T5_dasar
P31,TE,Naik,10,100.0,0.59,55.6,3.47,8.1,7.0,100.0,1.5,0.88,T5_dasar
P31,TE,Berdiri,10,100.0,0.53,70.1,-0.27,29.4,8.5,100.0,1.15,0.95,T5_dasar
P31,TE,Gerak,10,100.0,0.41,65.1,2.0,10.2,8.0,100.0,1.25,0.95,T5_ICA_mata
P31,TE,Tahan,10,100.0,0.54,66.9,1.02,20.1,8.5,100.0,1.16,0.92,T5_ICA_mata
P31,TE,Naik,10,100.0,0.59,55.6,3.47,8.1,7.0,100.0,1.5,0.88,T5_ICA_mata
P31,TE,Berdiri,10,100.0,0.53,70.1,-0.27,29.4,8.5,100.0,1.15,0.95,T5_ICA_mata
P31,TE,Gerak,10,100.0,0.41,67.7,1.84,10.6,8.5,100.0,1.25,0.95,T5_ICA_mata_otot
P31,TE,Tahan,10,100.0,0.54,67.5,1.1,20.1,8.5,100.0,1.15,0.92,T5_ICA_mata_otot
P31,TE,Naik,10,100.0,0.59,57.8,3.52,8.4,7.0,100.0,1.57,0.86,T5_ICA_mata_otot
P31,TE,Berdiri,10,100.0,0.53,70.4,-0.22,29.4,8.5,100.0,1.14,0.95,T5_ICA_mata_otot
P31,TE,Gerak,10,100.0,0.41,66.4,2.3,10.4,8.0,100.0,1.27,0.95,T5_CCA_otot
P31,TE,Tahan,10,100.0,0.54,67.0,1.23,20.2,8.5,100.0,1.17,0.91,T5_CCA_otot
P31,TE,Naik,10,100.0,0.59,56.6,3.79,8.1,7.0,100.0,1.5,0.88,T5_CCA_otot
P31,TE,Berdiri,10,100.0,0.53,70.2,0.05,29.6,8.5,100.0,1.19,0.96,T5_CCA_otot
P31,TE,Gerak,10,100.0,0.41,58.3,1.65,9.9,8.0,87.5,1.31,0.94,T5_regresi_mata
P31,TE,Tahan,10,100.0,0.54,58.5,1.11,19.8,8.0,87.5,1.17,0.95,T5_regresi_mata
P31,TE,Naik,10,100.0,0.59,45.9,3.57,7.1,6.0,81.2,1.49,0.86,T5_regresi_mata
P31,TE,Berdiri,10,100.0,0.53,60.8,-0.21,28.6,8.5,87.5,1.15,0.94,T5_regresi_mata
