participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P31,TE,Gerak,10,100.0,0.41,52.9,2.27,8.8,7.0,93.8,1.31,0.92,A0_TE
P31,TE,Tahan,10,100.0,0.54,58.5,1.43,17.9,7.5,100.0,1.29,0.89,A0_TE
P31,TE,Naik,10,100.0,0.59,40.6,4.08,5.5,5.0,81.2,1.66,0.84,A0_TE
P31,TE,Berdiri,10,100.0,0.53,63.9,0.1,27.1,8.0,100.0,1.09,0.94,A0_TE
P31,TE,Gerak,10,100.0,0.41,53.1,2.21,8.8,7.0,100.0,1.4,0.92,A2_TE
P31,TE,Tahan,10,100.0,0.54,57.2,1.34,18.2,7.5,100.0,1.35,0.91,A2_TE
P31,TE,Naik,10,100.0,0.59,40.6,4.02,5.4,5.0,81.2,1.68,0.83,A2_TE
P31,TE,Berdiri,10,100.0,0.53,62.6,-0.07,27.1,8.0,100.0,1.11,0.95,A2_TE
P31,TE,Gerak,10,100.0,0.41,65.1,2.0,10.2,8.0,100.0,1.25,0.95,A2_ASR20_TE
P31,TE,Tahan,10,100.0,0.54,66.9,1.02,20.1,8.5,100.0,1.16,0.92,A2_ASR20_TE
P31,TE,Naik,10,100.0,0.59,55.6,3.47,8.1,7.0,100.0,1.5,0.88,A2_ASR20_TE
P31,TE,Berdiri,10,100.0,0.53,70.1,-0.27,29.4,8.5,100.0,1.15,0.95,A2_ASR20_TE
P32,TE,Gerak,12,100.0,0.52,12.7,6.4,1.5,1.0,31.2,1.84,0.69,D_TE
P32,TE,Tahan,12,83.3,0.51,24.3,5.98,4.2,3.0,68.8,2.15,0.36,D_TE
P32,TE,Naik,12,100.0,0.43,30.0,5.17,4.9,4.0,87.5,1.38,0.42,D_TE
P32,TE,Berdiri,12,100.0,0.53,34.1,3.6,22.2,10.0,100.0,1.12,0.84,D_TE
P32,TE,Gerak,12,100.0,0.88,4.8,11.5,2.5,2.0,37.5,1.64,0.74,D_E
P32,TE,Tahan,12,100.0,0.95,17.4,7.36,8.5,4.0,81.2,1.71,0.57,D_E
P32,TE,Naik,12,100.0,0.9,19.4,8.2,8.0,5.0,100.0,1.63,0.14,D_E
P32,TE,Berdiri,12,100.0,0.97,25.2,6.72,32.2,11.0,100.0,0.89,0.86,D_E
P32,TE,Gerak,12,100.0,0.52,28.0,4.52,4.1,3.0,68.8,1.29,0.54,A0_TE
P32,TE,Tahan,12,83.3,0.51,41.8,5.16,9.2,6.0,93.8,1.35,0.66,A0_TE
P32,TE,Naik,12,100.0,0.43,47.5,3.82,7.8,6.5,100.0,1.31,0.65,A0_TE
P32,TE,Berdiri,12,100.0,0.53,50.0,2.4,29.0,10.0,100.0,0.93,0.78,A0_TE
P32,TE,Gerak,12,100.0,0.52,30.1,3.74,4.2,3.5,68.8,1.39,0.6,A2_TE
P32,TE,Tahan,12,83.3,0.51,44.5,4.32,10.5,6.5,93.8,1.34,0.66,A2_TE
P32,TE,Naik,12,100.0,0.43,48.8,3.28,8.0,6.5,100.0,1.24,0.69,A2_TE
P32,TE,Berdiri,12,100.0,0.53,50.3,1.93,30.9,10.5,100.0,0.95,0.84,A2_TE
P32,TE,Gerak,12,100.0,0.52,34.3,3.82,6.4,5.0,75.0,1.47,0.57,A2_ASR20_TE
P32,TE,Tahan,12,83.3,0.51,48.0,4.09,11.6,6.5,100.0,1.31,0.58,A2_ASR20_TE
P32,TE,Naik,12,100.0,0.43,53.2,3.29,8.9,7.0,100.0,1.23,0.72,A2_ASR20_TE
P32,TE,Berdiri,12,100.0,0.53,54.1,1.6,33.6,10.0,100.0,1.0,0.8,A2_ASR20_TE
