frame,t,raw,task,subphase
793,26.502,"NGEED
3
",NGEED,
808,27.003,"NGEED
Y
",NGEED,
811,27.1,"NGEED
Y
",NGEED,
812,27.141,"NGEED
YD
NAIK
",NGEED,NAIK
813,27.169,"NGEED
)
NAIK
",NGEED,NAIK
815,27.238,"NGEED
(z)
NAIK
",NGEED,NAIK
823,27.502,"NGEED
(2)
NAIK
",NGEED,NAIK
838,28.003,"NGEED
(2)
NAIK
",NGEED,NAIK
841,28.1,"NGEED
(2)
NAIK
",NGEED,NAIK
842,28.141,"NGEED
(2)
",NGEED,
843,28.169,"NGEED
(2)
",NGEED,
845,28.238,"NGEED
",NGEED,
853,28.502,"NGEED
",NGEED,
868,29.003,"NGEED
",NGEED,
871,29.099,"NGEED
",NGEED,
872,29.141,"BERDIRI RILEKS
(sg
Ye
",BERDIRI RILEKS,
873,29.169,"BERDIRI RILEKS
(g
Ye
",BERDIRI RILEKS,
875,29.238,"BERDIRI RILEKS
(g
Ye
",BERDIRI RILEKS,
883,29.502,"BERDIRI RILEKS
(g
Ye
",BERDIRI RILEKS,
898,30.003,"BERDIRI RILEKS
~
| 8 |
NA
",BERDIRI RILEKS,
913,30.502,"BERDIRI RILEKS
(7)
Xe
",BERDIRI RILEKS,
928,31.002,"BERDIRI RILEKS
(7)
Xe
",BERDIRI RILEKS,
943,31.502,"BERDIRI RILEKS
(6
ee,
",BERDIRI RILEKS,
958,32.002,"BERDIRI RILEKS
(6
ee,
",BERDIRI RILEKS,
973,32.501,"BERDIRI RILEKS
_,
| 5
",BERDIRI RILEKS,
988,33.002,"BERDIRI RILEKS
_,
[ 5
",BERDIRI RILEKS,
1003,33.501,"BERDIRI RILEKS
(4)
Nea
",BERDIRI RILEKS,
1018,34.002,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
1033,34.501,"BERDIRI RILEKS
(3
Yey
",BERDIRI RILEKS,
1048,35.002,"BERDIRI RILEKS
(3
Ye
",BERDIRI RILEKS,
1063,35.501,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
1078,36.002,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
1093,36.501,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1108,37.002,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1111,37.098,"BERDIRI RILEKS
(1
Nee,
",BERDIRI RILEKS,
1112,37.14,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1113,37.167,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1115,37.237,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1123,37.501,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1138,38.001,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
