task,subphase,n,start,end,rep
BERSIAP,,10,0.805,4.6240000000000006,
NGEED,TURUN,14,4.6240000000000006,8.088000000000001,1.0
NGEED,TAHAN,8,8.088000000000001,10.088000000000001,1.0
NGEED,NAIK,18,10.088000000000001,13.088000000000001,1.0
BERDIRI RILEKS,,20,13.088000000000001,21.121000000000002,
NGEED,TURUN,14,21.121000000000002,24.121000000000002,2.0
NGEED,TAHAN,9,24.121000000000002,26.086,2.0
NGEED,NAIK,19,26.086,29.119999999999997,2.0
BERDIRI RILEKS,,20,29.119999999999997,37.119,
AGEM KANAN,TURUN,14,37.119,40.1185,1.0
AGEM KANAN,TAHAN,8,40.1185,42.118,1.0
AGEM KANAN,NAIK,19,42.118,45.1245,1.0
BERDIRI RILEKS,,21,45.1245,53.123999999999995,
AGEM KANAN,TURUN,13,53.123999999999995,56.150999999999996,2.0
AGEM KANAN,TAHAN,9,56.150999999999996,58.123000000000005,2.0
AGEM KANAN,NAIK,19,58.123000000000005,61.17100000000001,2.0
BERDIRI RILEKS,,20,61.17100000000001,69.156,
AGEM KIRI,TURUN,14,69.156,72.19,1.0
AGEM KIRI,TAHAN,8,72.19,74.155,1.0
AGEM KIRI,NAIK,19,74.155,77.3005,1.0
BERDIRI RILEKS,,19,77.3005,85.188,
AGEM KIRI,TURUN,14,85.188,88.1875,2.0
AGEM KIRI,TAHAN,8,88.1875,90.1875,2.0
AGEM KIRI,NAIK,18,90.1875,93.3185,2.0
ISTIRAHAT UTAMA,,363,93.3185,273.174,
BERSIAP,,10,276.131,278.214,
NGEED,TURUN,14,278.214,281.214,3.0
NGEED,TAHAN,14,281.214,284.214,3.0
NGEED,NAIK,11,284.214,286.185,3.0
BERDIRI RILEKS,,20,286.185,294.18399999999997,
NGEED,TURUN,15,294.18399999999997,297.219,4.0
NGEED,TAHAN,8,297.219,299.21799999999996,4.0
NGEED,NAIK,19,299.21799999999996,302.2525,4.0
BERDIRI RILEKS,,20,302.2525,310.251,
AGEM KANAN,TURUN,14,310.251,313.251,3.0
AGEM KANAN,TAHAN,14,313.251,316.25,3.0
AGEM KANAN,NAIK,12,316.25,318.25,3.0
BERDIRI RILEKS,,20,318.25,326.284,
AGEM KANAN,TURUN,16,326.284,329.24850000000004,4.0
AGEM KANAN,TAHAN,6,329.24850000000004,331.283,4.0
AGEM KANAN,NAIK,20,331.283,334.38649999999996,4.0
BERDIRI RILEKS,,17,334.38649999999996,342.281,
AGEM KIRI,TURUN,14,342.281,345.281,3.0
AGEM KIRI,TAHAN,8,345.281,347.2875,3.0
AGEM KIRI,NAIK,18,347.2875,350.30100000000004,3.0
BERDIRI RILEKS,,20,350.30100000000004,358.3135,
AGEM KIRI,TURUN,14,358.3135,361.3135,4.0
AGEM KIRI,TAHAN,14,361.3135,364.31949999999995,4.0
AGEM KIRI,NAIK,12,364.31949999999995,366.373,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.373,396.45349999999996,
BERDIRI ISTIRAHAT,,32,396.45349999999996,411.514,
BERDIRI MATA TERTUTUP,,62,411.514,441.037,
