task,subphase,n,start,end,rep
BERSIAP,,16,0.23,5.1530000000000005,
NGEED,TURUN,13,5.1530000000000005,8.125,1.0
NGEED,TAHAN,15,8.125,11.152000000000001,1.0
NGEED,NAIK,12,11.152000000000001,13.152000000000001,1.0
BERDIRI RILEKS,,20,13.152000000000001,21.151,
NGEED,TURUN,14,21.151,24.1575,2.0
NGEED,TAHAN,7,24.1575,26.122,2.0
NGEED,NAIK,20,26.122,29.149,2.0
BERDIRI RILEKS,,20,29.149,37.147999999999996,
AGEM KANAN,TURUN,14,37.147999999999996,40.147999999999996,1.0
AGEM KANAN,TAHAN,8,40.147999999999996,42.153999999999996,1.0
AGEM KANAN,NAIK,19,42.153999999999996,45.153999999999996,1.0
BERDIRI RILEKS,,20,45.153999999999996,53.153000000000006,
AGEM KANAN,TURUN,14,53.153000000000006,56.2145,2.0
AGEM KANAN,TAHAN,8,56.2145,58.187,2.0
AGEM KANAN,NAIK,19,58.187,61.214,2.0
BERDIRI RILEKS,,20,61.214,69.185,
AGEM KIRI,TURUN,15,69.185,72.247,1.0
AGEM KIRI,TAHAN,7,72.247,74.1845,1.0
AGEM KIRI,NAIK,19,74.1845,77.184,1.0
BERDIRI RILEKS,,21,77.184,85.252,
AGEM KIRI,TURUN,14,85.252,88.252,2.0
AGEM KIRI,TAHAN,13,88.252,91.182,2.0
AGEM KIRI,NAIK,13,91.182,93.251,2.0
ISTIRAHAT UTAMA,,364,93.251,273.197,
BERSIAP,,8,276.099,278.2785,
NGEED,TURUN,14,278.2785,281.2785,3.0
NGEED,TAHAN,14,281.2785,284.278,3.0
NGEED,NAIK,13,284.278,286.21500000000003,3.0
BERDIRI RILEKS,,19,286.21500000000003,294.21450000000004,
NGEED,TURUN,13,294.21450000000004,297.283,4.0
NGEED,TAHAN,14,297.283,300.2825,4.0
NGEED,NAIK,12,300.2825,302.28200000000004,4.0
BERDIRI RILEKS,,20,302.28200000000004,310.281,
AGEM KANAN,TURUN,14,310.281,313.28,3.0
AGEM KANAN,TAHAN,14,313.28,316.28,3.0
AGEM KANAN,NAIK,12,316.28,318.2795,3.0
BERDIRI RILEKS,,21,318.2795,326.34749999999997,
AGEM KANAN,TURUN,14,326.34749999999997,329.313,4.0
AGEM KANAN,TAHAN,14,329.313,332.312,4.0
AGEM KANAN,NAIK,12,332.312,334.312,4.0
BERDIRI RILEKS,,20,334.312,342.346,
AGEM KIRI,TURUN,14,342.346,345.317,3.0
AGEM KIRI,TAHAN,8,345.317,347.317,3.0
AGEM KIRI,NAIK,19,347.317,350.3445,3.0
BERDIRI RILEKS,,19,350.3445,358.378,
AGEM KIRI,TURUN,14,358.378,361.3775,4.0
AGEM KIRI,TAHAN,14,361.3775,364.384,4.0
AGEM KIRI,NAIK,13,364.384,366.4045,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.4045,396.5185,
BERDIRI ISTIRAHAT,,32,396.5185,411.58500000000004,
BERDIRI MATA TERTUTUP,,63,411.58500000000004,441.504,
