task,subphase,n,start,end,rep
BERSIAP,,15,0.093,5.09,
NGEED,TURUN,13,5.09,8.09,1.0
NGEED,TAHAN,8,8.09,10.089500000000001,1.0
NGEED,NAIK,18,10.089500000000001,13.088999999999999,1.0
BERDIRI RILEKS,,21,13.088999999999999,21.122500000000002,
NGEED,TURUN,13,21.122500000000002,24.122,2.0
NGEED,TAHAN,9,24.122,26.087,2.0
NGEED,NAIK,20,26.087,29.121000000000002,2.0
BERDIRI RILEKS,,19,29.121000000000002,37.120000000000005,
AGEM KANAN,TURUN,14,37.120000000000005,40.120000000000005,1.0
AGEM KANAN,TAHAN,8,40.120000000000005,42.1195,1.0
AGEM KANAN,NAIK,19,42.1195,45.119,1.0
BERDIRI RILEKS,,20,45.119,53.1175,
AGEM KANAN,TURUN,15,53.1175,56.159000000000006,2.0
AGEM KANAN,TAHAN,7,56.159000000000006,58.117000000000004,2.0
AGEM KANAN,NAIK,20,58.117000000000004,61.158,2.0
BERDIRI RILEKS,,20,61.158,69.15700000000001,
AGEM KIRI,TURUN,14,69.15700000000001,72.184,1.0
AGEM KIRI,TAHAN,8,72.184,74.156,1.0
AGEM KIRI,NAIK,19,74.156,77.156,1.0
BERDIRI RILEKS,,20,77.156,85.1895,
AGEM KIRI,TURUN,14,85.1895,88.1885,2.0
AGEM KIRI,TAHAN,8,88.1885,90.1885,2.0
AGEM KIRI,NAIK,18,90.1885,93.188,2.0
ISTIRAHAT UTAMA,,364,93.188,273.168,
BERSIAP,,9,276.098,278.223,
NGEED,TURUN,14,278.223,281.222,3.0
NGEED,TAHAN,13,281.222,284.222,3.0
NGEED,NAIK,12,284.222,286.1865,3.0
BERDIRI RILEKS,,20,286.1865,294.18600000000004,
NGEED,TURUN,14,294.18600000000004,297.22,4.0
NGEED,TAHAN,8,297.22,299.219,4.0
NGEED,NAIK,19,299.219,302.247,4.0
BERDIRI RILEKS,,20,302.247,310.25250000000005,
AGEM KANAN,TURUN,14,310.25250000000005,313.252,3.0
AGEM KANAN,TAHAN,14,313.252,316.25149999999996,3.0
AGEM KANAN,NAIK,12,316.25149999999996,318.251,3.0
BERDIRI RILEKS,,19,318.251,326.28499999999997,
AGEM KANAN,TURUN,13,326.28499999999997,329.2495,4.0
AGEM KANAN,TAHAN,9,329.2495,331.284,4.0
AGEM KANAN,NAIK,18,331.284,334.249,4.0
BERDIRI RILEKS,,21,334.249,342.282,
AGEM KIRI,TURUN,14,342.282,345.282,3.0
AGEM KIRI,TAHAN,8,345.282,347.2815,3.0
AGEM KIRI,NAIK,19,347.2815,350.3505,3.0
BERDIRI RILEKS,,19,350.3505,358.322,
AGEM KIRI,TURUN,14,358.322,361.321,4.0
AGEM KIRI,TAHAN,14,361.321,364.321,4.0
AGEM KIRI,NAIK,13,364.321,366.385,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.385,396.49,
BERDIRI ISTIRAHAT,,32,396.49,411.557,
BERDIRI MATA TERTUTUP,,63,411.557,441.512,
