task,subphase,n,start,end,rep
BERSIAP,,11,1.646,4.8675,
NGEED,TURUN,13,4.8675,8.1175,1.0
NGEED,TAHAN,9,8.1175,10.123999999999999,1.0
NGEED,NAIK,20,10.123999999999999,13.1235,1.0
BERDIRI RILEKS,,19,13.1235,21.1505,
NGEED,TURUN,14,21.1505,24.15,2.0
NGEED,TAHAN,8,24.15,26.121000000000002,2.0
NGEED,NAIK,20,26.121000000000002,29.1565,2.0
BERDIRI RILEKS,,20,29.1565,37.1545,
AGEM KANAN,TURUN,14,37.1545,40.1545,1.0
AGEM KANAN,TAHAN,8,40.1545,42.153999999999996,1.0
AGEM KANAN,NAIK,19,42.153999999999996,45.1535,1.0
BERDIRI RILEKS,,20,45.1535,53.1525,
AGEM KANAN,TURUN,14,53.1525,56.186499999999995,2.0
AGEM KANAN,TAHAN,8,56.186499999999995,58.1515,2.0
AGEM KANAN,NAIK,19,58.1515,61.186,2.0
BERDIRI RILEKS,,20,61.186,69.184,
AGEM KIRI,TURUN,15,69.184,72.2185,1.0
AGEM KIRI,TAHAN,7,72.2185,74.184,1.0
AGEM KIRI,NAIK,18,74.184,77.184,1.0
BERDIRI RILEKS,,21,77.184,85.2165,
AGEM KIRI,TURUN,14,85.2165,88.2165,2.0
AGEM KIRI,TAHAN,13,88.2165,91.3715,2.0
AGEM KIRI,NAIK,13,91.3715,93.2185,2.0
ISTIRAHAT UTAMA,,364,93.2185,273.196,
BERSIAP,,8,275.237,278.25,
NGEED,TURUN,14,278.25,281.25,3.0
NGEED,TAHAN,16,281.25,284.249,3.0
NGEED,NAIK,11,284.249,286.2355,3.0
BERDIRI RILEKS,,19,286.2355,294.22,
NGEED,TURUN,15,294.22,297.2475,4.0
NGEED,TAHAN,8,297.2475,299.247,4.0
NGEED,NAIK,19,299.247,302.3225,4.0
BERDIRI RILEKS,,19,302.3225,310.28700000000003,
AGEM KANAN,TURUN,14,310.28700000000003,313.286,3.0
AGEM KANAN,TAHAN,14,313.286,316.286,3.0
AGEM KANAN,NAIK,12,316.286,318.286,3.0
BERDIRI RILEKS,,21,318.286,326.31949999999995,
AGEM KANAN,TURUN,14,326.31949999999995,329.2845,4.0
AGEM KANAN,TAHAN,8,329.2845,331.3185,4.0
AGEM KANAN,NAIK,18,331.3185,334.2835,4.0
BERDIRI RILEKS,,23,334.2835,342.3165,
AGEM KIRI,TURUN,14,342.3165,345.3165,3.0
AGEM KIRI,TAHAN,8,345.3165,347.3165,3.0
AGEM KIRI,NAIK,18,347.3165,350.31550000000004,3.0
BERDIRI RILEKS,,21,350.31550000000004,358.349,
AGEM KIRI,TURUN,14,358.349,361.349,4.0
AGEM KIRI,TAHAN,14,361.349,364.348,4.0
AGEM KIRI,NAIK,12,364.348,366.4255,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.4255,396.4825,
BERDIRI ISTIRAHAT,,33,396.4825,411.55,
BERDIRI MATA TERTUTUP,,63,411.55,441.503,
