frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
13,0.504,"2
",UNKNOWN,
28,1.008,"ad
ee
",UNKNOWN,
41,1.521,"oN
4)
",UNKNOWN,
44,1.633,"ras
4)
",UNKNOWN,
45,1.646,"=
BERSIAP
w)
",BERSIAP,
47,1.732,"=
BERSIAP
@)
",BERSIAP,
53,2.003,"=
BERSIAP
@)
",BERSIAP,
67,2.505,"BERSIAP
(3)
",BERSIAP,
82,3.0,"BERSIAP
(3)
",BERSIAP,
85,3.097,"BERSIAP
@)
",BERSIAP,
86,3.144,"a
Se
",UNKNOWN,
87,3.179,"a
ey
",UNKNOWN,
89,3.236,"a
ey
",UNKNOWN,
97,3.502,"a
ey
",UNKNOWN,
100,3.603,"a
ey
",UNKNOWN,
101,3.639,"=
BERSIAP
(2)
",BERSIAP,
103,3.698,"=
BERSIAP
(2)
",BERSIAP,
110,4.001,"=m
BERSIAP
2)
",BERSIAP,
125,4.5,"BERsiP
FD
",BERSIAP,
128,4.597,"BERsiP
FD
",BERSIAP,
129,4.639,"BEEP
FD
",UNKNOWN,
130,4.667,"BERsP
FD
",UNKNOWN,
132,4.736,"BERsP
FD
",UNKNOWN,
140,5.0,"BERS
FD
",UNKNOWN,
142,5.069,"BERS
FD
",UNKNOWN,
143,5.117,"BERS
FD
",UNKNOWN,
144,5.138,"NGEED
~
1
TURUN
",NGEED,TURUN
148,5.265,"NGEED
~
1
TURUN
",NGEED,TURUN
156,5.536,"NGEED
~
1
TURUN
",NGEED,TURUN
169,6.009,"NGEED
~
1
TURUN
",NGEED,TURUN
184,6.5,"NGEED
2
TURUN
",NGEED,TURUN
199,7.0,"NGEED
2
TURUN
",NGEED,TURUN
202,7.097,"NGEED
2 \
TURUN
",NGEED,TURUN
203,7.138,"NGEED
TURUN
",NGEED,TURUN
204,7.166,"NGEED
3)
",NGEED,
206,7.236,"NGEED
3)
",NGEED,
214,7.5,"NGEED
3)
",NGEED,
229,8.0,"NGEED
3)
",NGEED,
232,8.097,"NGEED
3)
",NGEED,
233,8.138,"NGEED
+)
TAHAN
",NGEED,TAHAN
234,8.166,"NGEED
+)
TAHAN
",NGEED,TAHAN
236,8.235,"NGEED
>
TAHAN
",NGEED,TAHAN
244,8.5,"NGEED
>
TAHAN
",NGEED,TAHAN
259,9.0,"NGEED
+)
TAHAN
",NGEED,TAHAN
275,9.54,"NGEED
TAHAN
",NGEED,TAHAN
289,10.0,"NGEED
TAHAN
",NGEED,TAHAN
291,10.069,"NGEED
TAHAN
",NGEED,TAHAN
292,10.11,"NGEED
TAHAN
",NGEED,TAHAN
293,10.138,"NGEED
NAIK )
",NGEED,NAIK
294,10.166,"NGEED
",NGEED,
295,10.207,"NGEED
",NGEED,
297,10.277,"NGEED
Y
",NGEED,
305,10.54,"NGEED
Y)
",NGEED,
319,11.0,"NGEED
Y)
",NGEED,
321,11.069,"NGEED
Y)
",NGEED,
322,11.11,"NGEED
Y)
",NGEED,
323,11.137,"NGEED
QD
NAIK
",NGEED,NAIK
327,11.277,"NGEED
(2)
NAIK
",NGEED,NAIK
335,11.54,"NGEED
(2)
NAIK
",NGEED,NAIK
349,12.0,"NGEED
(2)
NAIK
",NGEED,NAIK
351,12.069,"NGEED
(2)
NAIK
",NGEED,NAIK
352,12.11,"NGEED
(2)
NAIK
",NGEED,NAIK
353,12.137,"NGEED
(2)
",NGEED,
357,12.277,"NGEED
",NGEED,
365,12.54,"NGEED
",NGEED,
379,13.0,"NGEED
",NGEED,
381,13.068,"NGEED
",NGEED,
382,13.11,"NGEED
",NGEED,
383,13.137,"BERDIRI RILEKS
(8)
eT
",BERDIRI RILEKS,
387,13.277,"BERDIRI RILEKS
(g
ey,
",BERDIRI RILEKS,
395,13.54,"BERDIRI RILEKS
a,
| 8 |
as
",BERDIRI RILEKS,
410,14.04,"BERDIRI RILEKS
(g
Ne
",BERDIRI RILEKS,
425,14.539,"BERDIRI RILEKS
( 7 )
Le)
",BERDIRI RILEKS,
440,15.04,"BERDIRI RILEKS
( 7 )
Le)
",BERDIRI RILEKS,
455,15.539,"BERDIRI RILEKS
(6
Nee
",BERDIRI RILEKS,
470,16.039,"BERDIRI RILEKS
(6
Nee,
",BERDIRI RILEKS,
485,16.539,"BERDIRI RILEKS
(5
Nee
",BERDIRI RILEKS,
500,17.039,"BERDIRI RILEKS
(5
Nee
",BERDIRI RILEKS,
515,17.539,"BERDIRI RILEKS
fo ~\
| 4 |
",BERDIRI RILEKS,
530,18.039,"BERDIRI RILEKS
fo ~\
| 4 |
",BERDIRI RILEKS,
545,18.539,"BERDIRI RILEKS
(3
Ye
",BERDIRI RILEKS,
560,19.039,"BERDIRI RILEKS
(3
Ye
",BERDIRI RILEKS,
575,19.54,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
590,20.039,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
605,20.539,"BERDIRI RILEKS
(1
Yey
",BERDIRI RILEKS,
620,21.038,"BERDIRI RILEKS
( 1»
Ne
",BERDIRI RILEKS,
623,21.136,"BERDIRI RILEKS
( 1»
Ne
",BERDIRI RILEKS,
624,21.165,"NGEED
~
1
TURUN
",NGEED,TURUN
625,21.205,"NGEED
~
1
TURUN
",NGEED,TURUN
627,21.275,"NGEED
~
1
TURUN
",NGEED,TURUN
635,21.539,"NGEED
~
1
TURUN
",NGEED,TURUN
650,22.038,"NGEED
~
1
TURUN
",NGEED,TURUN
665,22.539,"NGEED
2
TURUN
",NGEED,TURUN
680,23.039,"NGEED
2
TURUN
",NGEED,TURUN
683,23.136,"NGEED
2
TURUN
",NGEED,TURUN
684,23.164,"NGEED
3)
",NGEED,
685,23.206,"NGEED
3)
",NGEED,
687,23.274,"NGEED
3)
",NGEED,
695,23.539,"NGEED
3)
",NGEED,
710,24.038,"NGEED
3)
",NGEED,
713,24.136,"NGEED
3)
",NGEED,
714,24.164,"NGEED
+)
TAHAN
",NGEED,TAHAN
715,24.205,"NGEED
+)
TAHAN
",NGEED,TAHAN
717,24.274,"NGEED
>
TAHAN
",NGEED,TAHAN
725,24.538,"NGEED
>
TAHAN
",NGEED,TAHAN
739,25.011,"NGEED
>
TAHAN
",NGEED,TAHAN
