participant_id,mu_periodic_contra_abs_TAHAN,global_offset_TAHAN,hold_agem_sec,mu_relative_FCP_left_TURUN,mu_relative_right_minus_left_TAHAN,noise_floor_db,group,timepoint,age
P01,2.607351826531471,-5.640516077591467,2.728499999999997,-0.19651123153338157,2.244266387980983,4.806111990011515,penari,pre,
P02,1.4261310760394021,0.6340921903195051,2.8394999999999833,-0.07715458827370525,-2.212440906597607,3.8979232667702064,penari,pre,
P03,0.6239973337561509,-4.672026689776731,2.4020000000000152,-1.090700729439334,0.969527490107248,5.336238651473099,penari,pre,
P04,0.9259461732701213,5.444674664790753,2.9650000000000034,-0.03190221133658401,-0.1859988627870361,3.77329833471069,penari,pre,
P05,1.6189344140709556,-1.6761239369895329,2.603999999999985,-0.6081644753255022,-0.057818407606596484,5.248023292771681,penari,pre,
P06,3.0337122935002903,3.9331294635140335,3.0970000000000084,-1.6560063065387955,1.1643455978846389,5.1182372894438775,penari,pre,
P07,0.40835245595777453,-10.386265022418051,2.597000000000019,0.09043377751064544,0.5304042887028385,3.773398037579119,penari,pre,
P10,2.806917485727429,1.7441729539603834,0.9369999999999976,-0.9037539048786628,1.5152929926656415,2.976078005852594,non-penari,pre,
P36,3.6082979355137743,8.168287603989539,2.2704999999999984,-0.105666109959667,1.8437085066535723,4.185013676064113,non-penari,pre,
P37,3.046211210005561,8.601356749970877,3.262999999999998,0.654416438424172,-1.1019626777364107,3.985578183995633,non-penari,pre,
P38,0.3105515912358658,-9.130282633478393,2.0,0.38803626176205885,1.0693594447065493,8.164580924695192,non-penari,pre,
