participant_id,task,rep,phase,compliance,latency_hud,phase_source,band,channel,erd_pct,phase_dur,phase_ptp_uv,ptp_ratio_vs_baseline,is_simulated,interpolated
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,C3,2387.4220402054316,2.0,643.7,3.74,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,C4,1050.014896958523,2.0,779.1,3.41,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,P3,2624.7929762722492,2.0,638.9,3.76,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,P4,1479.9073823935455,2.0,786.2,4.18,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,O1,1002.3779575273096,2.0,604.4,2.26,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,O2,3601.744507798239,2.0,659.1,4.15,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,F3,3263.5298819234454,2.0,621.8,4.32,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,theta,F4,671.0979095717961,2.0,805.8,3.16,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,C3,1990.9408062579698,2.0,643.7,3.74,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,C4,504.26912867373704,2.0,779.1,3.41,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,P3,1680.6548881055821,2.0,638.9,3.76,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,P4,545.4175699056049,2.0,786.2,4.18,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,O1,828.0282964858424,2.0,604.4,2.26,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,O2,922.8320255028409,2.0,659.1,4.15,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,F3,3000.1585642077325,2.0,621.8,4.32,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,mu,F4,392.16964666365936,2.0,805.8,3.16,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,beta,C3,1362.0537799541848,2.0,643.7,3.74,False,False
P12,NGEED,2,PRA,ok,1.5769999999999982,video,beta,C4,716.2079466136647,2.0,779.1,3.41,False,False
