participant_id,task,rep,phase,compliance,latency_hud,phase_source,band,channel,erd_pct,phase_dur,phase_ptp_uv,ptp_ratio_vs_baseline,is_simulated,interpolated
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,beta,O1,576.2266000523209,1.068999999999999,374.0,2.54,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,beta,O2,158.42393547258203,1.068999999999999,198.9,1.3,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,beta,F3,121.72415675704968,1.068999999999999,216.3,1.55,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,beta,F4,88.70944698020689,1.068999999999999,59.9,1.28,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,C3,-72.10769068124748,6.263000000000002,118.7,0.61,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,C4,64.70871378465505,6.263000000000002,121.8,1.36,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,P3,6.982756245113443,6.263000000000002,165.0,1.29,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,P4,-30.121458854237947,6.263000000000002,219.9,1.27,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,O1,20.944993686457842,6.263000000000002,199.6,1.35,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,O2,71.82880247115376,6.263000000000002,371.5,2.43,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,F3,-45.62032737878727,6.263000000000002,185.1,1.33,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,theta,F4,-13.155770851187773,6.263000000000002,72.5,1.55,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,C3,-57.265595071944574,6.263000000000002,118.7,0.61,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,C4,1.474694562953097,6.263000000000002,121.8,1.36,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,P3,-6.121394961283872,6.263000000000002,165.0,1.29,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,P4,-34.979249782199005,6.263000000000002,219.9,1.27,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,O1,275.63071472785657,6.263000000000002,199.6,1.35,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,O2,140.2250588548422,6.263000000000002,371.5,2.43,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,F3,-43.247007755770454,6.263000000000002,185.1,1.33,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,mu,F4,-21.656659996930678,6.263000000000002,72.5,1.55,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,C3,-5.467958767764064,6.263000000000002,118.7,0.61,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,C4,47.97587866419505,6.263000000000002,121.8,1.36,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,P3,67.5881286798702,6.263000000000002,165.0,1.29,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,P4,35.511270950839965,6.263000000000002,219.9,1.27,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,O1,38.56303684108016,6.263000000000002,199.6,1.35,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,O2,314.37765851558026,6.263000000000002,371.5,2.43,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,F3,17.926997880448987,6.263000000000002,185.1,1.33,False,False
P22,NGEED,2,NAIK,ok,1.2495000000000012,video,beta,F4,72.54777575025983,6.263000000000002,72.5,1.55,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,C3,11.033833849001926,1.5000000000000018,160.8,0.82,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,C4,3761.055341119479,1.5000000000000018,378.6,4.22,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,P3,400.24659621420034,1.5000000000000018,266.3,2.07,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,P4,298.06974406908444,1.5000000000000018,330.3,1.91,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,O1,501.101476079673,1.5000000000000018,329.8,2.24,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,O2,434.9011397862009,1.5000000000000018,436.5,2.86,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,F3,77.2533514308901,1.5000000000000018,158.0,1.13,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,theta,F4,370.29272476476245,1.5000000000000018,97.8,2.1,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,C3,-9.52192983279506,1.5000000000000018,160.8,0.82,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,C4,644.4440032181728,1.5000000000000018,378.6,4.22,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,P3,113.9184081871931,1.5000000000000018,266.3,2.07,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,P4,160.60216683707358,1.5000000000000018,330.3,1.91,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,O1,257.18130234738345,1.5000000000000018,329.8,2.24,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,O2,771.8579147778729,1.5000000000000018,436.5,2.86,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,F3,52.915698693793765,1.5000000000000018,158.0,1.13,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,mu,F4,32.47081467974398,1.5000000000000018,97.8,2.1,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,C3,4.846640772627635,1.5000000000000018,160.8,0.82,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,C4,396.0821088194304,1.5000000000000018,378.6,4.22,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,P3,75.50532518307487,1.5000000000000018,266.3,2.07,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,P4,208.33629521124251,1.5000000000000018,330.3,1.91,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,O1,93.67430945421387,1.5000000000000018,329.8,2.24,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,O2,563.405017532117,1.5000000000000018,436.5,2.86,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,F3,86.69170940961517,1.5000000000000018,158.0,1.13,False,False
P22,NGEED,2,POST,ok,1.2495000000000012,video,beta,F4,188.15139777055566,1.5000000000000018,97.8,2.1,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,C3,5802.14840107498,2.0,828.0,9.41,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,C4,6166.027289542587,2.0,656.5,10.4,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,P3,1697.5689900089385,2.0,544.2,5.23,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,P4,2795.8010282882083,2.0,606.4,6.68,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,O1,5254.630808811785,2.0,682.5,10.12,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,O2,2214.671409934712,2.0,492.4,5.05,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,F3,1076.7836328831693,2.0,460.1,3.74,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,theta,F4,2077.8906881090757,2.0,331.1,5.47,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,C3,5374.293269046624,2.0,828.0,9.41,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,C4,4132.410994626455,2.0,656.5,10.4,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,P3,468.5960181496713,2.0,544.2,5.23,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,P4,1269.5500596519446,2.0,606.4,6.68,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,O1,3133.4032616323325,2.0,682.5,10.12,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,O2,549.3906134009143,2.0,492.4,5.05,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,F3,1250.2332363186554,2.0,460.1,3.74,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,mu,F4,553.3872985795194,2.0,331.1,5.47,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,C3,1301.164619325331,2.0,828.0,9.41,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,C4,1553.6155104463244,2.0,656.5,10.4,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,P3,351.57139693239634,2.0,544.2,5.23,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,P4,610.1828081768354,2.0,606.4,6.68,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,O1,1437.5592473379793,2.0,682.5,10.12,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,O2,381.526892073205,2.0,492.4,5.05,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,F3,623.6083789172337,2.0,460.1,3.74,False,False
P22,AGEM KANAN,1,PRA,short_hold,1.8539999999999992,video,beta,F4,419.57167566636906,2.0,331.1,5.47,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,C3,7295.119723090719,0.5970000000000013,578.1,6.57,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,C4,1980.9095733255951,0.5970000000000013,274.0,4.34,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,P3,464.6249655113721,0.5970000000000013,224.6,2.16,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,P4,2487.1560354790986,0.5970000000000013,607.9,6.7,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,O1,1905.9849322753694,0.5970000000000013,475.1,7.05,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,O2,2406.2030161575067,0.5970000000000013,604.7,6.2,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,F3,1746.3518325041719,0.5970000000000013,408.0,3.31,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,mu,F4,2035.2285816738165,0.5970000000000013,363.7,6.01,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,C3,1238.461325029047,0.5970000000000013,578.1,6.57,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,C4,1217.7609970972933,0.5970000000000013,274.0,4.34,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,P3,68.47309932551988,0.5970000000000013,224.6,2.16,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,P4,1898.815206294175,0.5970000000000013,607.9,6.7,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,O1,346.8500783873892,0.5970000000000013,475.1,7.05,False,False
P22,AGEM KANAN,1,TURUN,short_hold,1.8539999999999992,video,beta,O2,2413.408820979599,0.5970000000000013,604.7,6.2,False,False
