participant_id,task,rep,phase,band,channel,erd_ref_trial_pct,erd_ref_restEDF_pct,is_simulated
P37,NGEED,12,PRA,theta,C3,-52.313653105597034,82.72474664748779,False
P37,NGEED,12,PRA,theta,C4,90.30593964732611,303.17270912623337,False
P37,NGEED,12,PRA,theta,P3,-52.6499445551025,548.15277292944,False
P37,NGEED,12,PRA,theta,P4,260.8132441864989,463.784960957373,False
P37,NGEED,12,PRA,theta,O1,-71.18787355135304,3067.708538293737,False
P37,NGEED,12,PRA,theta,O2,188.1260483952591,824.1147262914026,False
P37,NGEED,12,PRA,mu,C3,-56.4528556022164,42.3460884904582,False
P37,NGEED,12,PRA,mu,C4,-8.45551648267544,310.07990640270185,False
P37,NGEED,12,PRA,mu,P3,-83.84060200960771,280.1585905705653,False
P37,NGEED,12,PRA,mu,P4,69.98444337583535,363.13275990072185,False
P37,NGEED,12,PRA,mu,O1,-74.93142571305859,1645.2745650081265,False
P37,NGEED,12,PRA,mu,O2,93.38173609228899,276.54632152544764,False
P37,NGEED,12,PRA,beta,C3,-68.06398967055709,47.55181538155418,False
P37,NGEED,12,PRA,beta,C4,15.73203546065971,255.26396318896798,False
P37,NGEED,12,PRA,beta,P3,-68.25139251787951,582.9033367880043,False
P37,NGEED,12,PRA,beta,P4,115.10999809146813,140.19340070247446,False
P37,NGEED,12,PRA,beta,O1,-26.53698313115721,2602.2955356287566,False
P37,NGEED,12,PRA,beta,O2,38.6923662641079,132.75911595868254,False
P37,NGEED,12,TURUN,theta,C3,167.52054756962033,925.086370862129,False
P37,NGEED,12,TURUN,theta,C4,1508.9531470576067,3308.6482027756747,False
P37,NGEED,12,TURUN,theta,P3,-18.02554745590468,1022.1099579842994,False
P37,NGEED,12,TURUN,theta,P4,4419.601183890979,6962.055559373554,False
P37,NGEED,12,TURUN,theta,O1,-30.225237023419805,7571.287741718013,False
P37,NGEED,12,TURUN,theta,O2,2155.594262171866,7134.430506442575,False
P37,NGEED,12,TURUN,mu,C3,162.63567879598978,758.4985787621081,False
P37,NGEED,12,TURUN,mu,C4,217.31492756144783,1321.4343758895416,False
P37,NGEED,12,TURUN,mu,P3,-54.518266131137,969.9824247519981,False
P37,NGEED,12,TURUN,mu,P4,898.1222813497999,2619.443719081248,False
P37,NGEED,12,TURUN,mu,O1,-85.26916351515504,925.5610847277419,False
P37,NGEED,12,TURUN,mu,O2,1358.2956469072785,2739.5435506766275,False
P37,NGEED,12,TURUN,beta,C3,75.4121716875765,710.4451403142525,False
P37,NGEED,12,TURUN,beta,C4,329.170119737777,1217.4284632032986,False
P37,NGEED,12,TURUN,beta,P3,-55.318132118093935,861.0940160968728,False
P37,NGEED,12,TURUN,beta,P4,2599.5702010236178,2914.3598752820753,False
P37,NGEED,12,TURUN,beta,O1,-73.52396993052714,873.9057951519195,False
P37,NGEED,12,TURUN,beta,O2,988.0030728666588,1725.9305845177582,False
P37,NGEED,12,TAHAN,theta,C3,1.3491361705365579,288.3500506069725,False
P37,NGEED,12,TAHAN,theta,C4,4.839443951013633,122.10763741452118,False
P37,NGEED,12,TAHAN,theta,P3,-77.08831175990115,213.62738915050636,False
P37,NGEED,12,TAHAN,theta,P4,283.157809972562,498.6992285245402,False
P37,NGEED,12,TAHAN,theta,O1,-93.22831885966997,644.5029163348495,False
P37,NGEED,12,TAHAN,theta,O2,168.72343235192213,761.8841736770539,False
P37,NGEED,12,TAHAN,mu,C3,17.6393418687681,284.5372733203424,False
P37,NGEED,12,TAHAN,mu,C4,-18.88637050431129,263.35416743358996,False
P37,NGEED,12,TAHAN,mu,P3,-89.05503000799122,157.48634747860325,False
P37,NGEED,12,TAHAN,mu,P4,76.1178640730142,379.8436306057316,False
P37,NGEED,12,TAHAN,mu,O1,-95.20519987420661,233.81406569276234,False
P37,NGEED,12,TAHAN,mu,O2,266.20719986557424,613.0661706321026,False
P37,NGEED,12,TAHAN,beta,C3,-2.308620130940353,351.35695718132655,False
P37,NGEED,12,TAHAN,beta,C4,94.76368158721237,497.8683182278222,False
P37,NGEED,12,TAHAN,beta,P3,-88.71239142708374,142.7931859103556,False
P37,NGEED,12,TAHAN,beta,P4,484.2652068487138,552.3948128410746,False
P37,NGEED,12,TAHAN,beta,O1,-92.1366050606305,189.2505364635551,False
