participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P31,TE,Naik,10,100.0,0.59,55.6,3.47,8.1,7.0,100.0,1.5,0.88,T4_ASR20
P31,TE,Berdiri,10,100.0,0.53,70.1,-0.27,29.4,8.5,100.0,1.15,0.95,T4_ASR20
P31,TE,Gerak,10,100.0,0.41,69.8,1.66,10.2,8.0,100.0,1.21,0.92,T4_ASR10
P31,TE,Tahan,10,100.0,0.54,73.1,0.54,20.8,9.0,100.0,1.16,0.92,T4_ASR10
P31,TE,Naik,10,100.0,0.59,63.7,3.01,9.0,7.5,100.0,1.66,0.81,T4_ASR10
P31,TE,Berdiri,10,100.0,0.53,71.8,-0.49,29.6,8.5,100.0,1.16,0.91,T4_ASR10
P31,TE,Gerak,10,100.0,0.41,77.1,1.22,11.6,9.0,100.0,1.21,0.94,T4_ASR5
P31,TE,Tahan,10,100.0,0.54,77.5,0.11,21.0,9.0,100.0,1.08,0.92,T4_ASR5
P31,TE,Naik,10,100.0,0.59,70.0,2.1,9.5,8.0,100.0,1.54,0.85,T4_ASR5
P31,TE,Berdiri,10,100.0,0.53,74.9,-1.02,30.1,9.0,100.0,1.12,0.88,T4_ASR5
P31,TE,Gerak,10,100.0,0.41,49.5,2.28,8.8,7.5,75.0,1.21,0.86,T4_adaptif
P31,TE,Tahan,10,100.0,0.54,54.6,1.31,19.5,7.5,81.2,1.27,0.87,T4_adaptif
P31,TE,Naik,10,100.0,0.59,41.2,3.94,5.6,5.0,68.8,1.7,0.56,T4_adaptif
P31,TE,Berdiri,10,100.0,0.53,56.3,0.05,27.9,8.0,100.0,1.18,0.81,T4_adaptif
P32,TE,Gerak,12,100.0,0.52,30.1,3.74,4.2,3.5,68.8,1.39,0.6,T4_tandai
P32,TE,Tahan,12,83.3,0.51,44.5,4.32,10.5,6.5,93.8,1.34,0.66,T4_tandai
P32,TE,Naik,12,100.0,0.43,48.8,3.28,8.0,6.5,100.0,1.24,0.69,T4_tandai
P32,TE,Berdiri,12,100.0,0.53,50.3,1.93,30.9,10.5,100.0,0.95,0.84,T4_tandai
P32,TE,Gerak,12,100.0,0.52,34.3,3.82,6.4,5.0,75.0,1.47,0.57,T4_ASR20
P32,TE,Tahan,12,83.3,0.51,48.0,4.09,11.6,6.5,100.0,1.31,0.58,T4_ASR20
P32,TE,Naik,12,100.0,0.43,53.2,3.29,8.9,7.0,100.0,1.23,0.72,T4_ASR20
P32,TE,Berdiri,12,100.0,0.53,54.1,1.6,33.6,10.0,100.0,1.0,0.8,T4_ASR20
P32,TE,Gerak,12,100.0,0.52,49.8,2.82,8.5,7.0,100.0,1.3,0.7,T4_ASR10
P32,TE,Tahan,12,83.3,0.51,61.1,2.89,13.8,8.0,100.0,1.26,0.63,T4_ASR10
P32,TE,Naik,12,100.0,0.43,63.7,2.19,9.8,8.0,100.0,1.16,0.56,T4_ASR10
P32,TE,Berdiri,12,100.0,0.53,63.6,0.52,37.1,11.0,100.0,1.01,0.59,T4_ASR10
P32,TE,Gerak,12,100.0,0.52,61.3,1.75,9.8,8.0,100.0,1.27,0.49,T4_ASR5
P32,TE,Tahan,12,83.3,0.51,73.8,1.83,15.9,9.0,100.0,1.03,0.66,T4_ASR5
P32,TE,Naik,12,100.0,0.43,74.8,1.02,13.4,11.0,100.0,1.07,0.62,T4_ASR5
P32,TE,Berdiri,12,100.0,0.53,68.4,-0.69,38.9,11.0,100.0,0.98,0.7,T4_ASR5
P32,TE,Gerak,12,100.0,0.52,34.0,3.53,6.5,5.0,81.2,1.44,0.57,T4_adaptif
P32,TE,Tahan,12,83.3,0.51,50.0,4.15,11.4,7.0,100.0,1.38,0.63,T4_adaptif
P32,TE,Naik,12,100.0,0.43,55.2,3.02,8.6,7.0,100.0,1.26,0.6,T4_adaptif
P32,TE,Berdiri,12,100.0,0.53,54.0,1.81,32.1,10.0,100.0,0.99,0.64,T4_adaptif
