gerakan,rep,blok,fase,onset,mulai,selesai,durasi_fase,participant_id
Ngeed,4,2,Gerak,295.67,295.17,297.573,1.903,P09
Ngeed,4,2,Tahan,297.573,297.073,302.915,5.342,P09
Ngeed,4,2,Naik,302.915,302.415,304.716,1.801,P09
Ngeed,4,2,Berdiri,304.716,304.216,311.238,6.522,P09
Agem Kanan,3,2,Gerak,311.238,310.738,315.222,3.984,P09
Agem Kanan,3,2,Tahan,315.222,314.722,318.84,3.618,P09
Agem Kanan,3,2,Naik,318.84,318.34,322.121,3.281,P09
Agem Kanan,3,2,Berdiri,322.121,321.621,327.33,5.209,P09
Agem Kanan,4,2,Gerak,327.33,326.83,330.898,3.568,P09
Agem Kanan,4,2,Tahan,330.898,330.398,334.38,3.482,P09
Agem Kanan,4,2,Naik,334.38,333.88,337.531,3.151,P09
Agem Kanan,4,2,Berdiri,337.531,337.031,343.196,5.665,P09
Agem Kiri,3,2,Gerak,343.196,342.696,346.398,3.202,P09
Agem Kiri,3,2,Tahan,346.398,345.898,349.778,3.38,P09
Agem Kiri,3,2,Naik,349.778,349.278,352.575,2.797,P09
Agem Kiri,3,2,Berdiri,352.575,352.075,359.194,6.619,P09
Agem Kiri,4,2,Gerak,359.194,358.694,362.135,2.941,P09
Agem Kiri,4,2,Tahan,362.135,361.635,366.278,4.143,P09
Agem Kiri,4,2,Naik,366.278,365.778,368.945,2.667,P09
Agem Kiri,4,2,Berdiri,368.945,368.445,376.945,8.0,P09
-,0,0,Tutup Mata,412.392,411.892,442.392,30.0,P09
-,0,1,Istirahat,104.999,104.999,274.953,169.954,P09
Agem Kanan,1,1,Gerak,38.913,38.413,42.197,3.284,P31
Agem Kanan,1,1,Tahan,42.197,41.697,46.46,4.263,P31
Agem Kanan,1,1,Naik,46.46,45.96,48.617,2.157,P31
Agem Kanan,1,1,Berdiri,48.617,48.117,54.897,6.28,P31
Agem Kanan,2,1,Gerak,54.897,54.397,58.308,3.411,P31
Agem Kanan,2,1,Tahan,58.308,57.808,62.546,4.238,P31
Agem Kanan,2,1,Naik,62.546,62.046,63.401,0.855,P31
Agem Kanan,2,1,Berdiri,63.401,62.901,70.317,6.916,P31
Agem Kiri,1,1,Gerak,70.317,69.817,74.077,3.76,P31
Agem Kiri,1,1,Tahan,74.077,73.577,82.536,8.459,P31
Agem Kiri,1,1,Naik,82.536,82.036,84.17,1.634,P31
Agem Kiri,1,1,Berdiri,84.17,83.67,86.97,2.8,P31
Agem Kiri,2,1,Gerak,86.97,86.47,89.168,2.198,P31
Agem Kiri,2,1,Tahan,89.168,88.668,94.349,5.181,P31
Agem Kiri,2,1,Naik,94.349,93.849,95.553,1.204,P31
Agem Kiri,2,1,Berdiri,95.553,95.053,103.553,8.0,P31
Ngeed,3,2,Gerak,280.116,279.616,282.582,2.466,P31
Ngeed,3,2,Tahan,282.582,282.082,285.501,2.919,P31
Ngeed,3,2,Naik,285.501,285.001,287.032,1.531,P31
Ngeed,3,2,Berdiri,287.032,286.532,295.032,8.0,P31
Ngeed,4,2,Gerak,295.631,295.131,297.614,1.983,P31
Ngeed,4,2,Tahan,297.614,297.114,301.214,3.6,P31
Ngeed,4,2,Naik,301.214,300.714,302.965,1.751,P31
Ngeed,4,2,Berdiri,302.965,302.465,310.965,8.0,P31
Agem Kanan,3,2,Gerak,311.876,311.376,314.14,2.264,P31
Agem Kanan,3,2,Tahan,314.14,313.64,316.992,2.852,P31
Agem Kanan,3,2,Naik,316.992,316.492,319.747,2.755,P31
Agem Kanan,3,2,Berdiri,319.747,319.247,327.597,7.85,P31
Agem Kanan,4,2,Gerak,327.597,327.097,330.714,3.117,P31
Agem Kanan,4,2,Tahan,330.714,330.214,335.23,4.516,P31
Agem Kanan,4,2,Naik,335.23,334.73,336.799,1.569,P31
Agem Kanan,4,2,Berdiri,336.799,336.299,343.604,6.805,P31
Agem Kiri,3,2,Gerak,343.604,343.104,347.19,3.586,P31
Agem Kiri,3,2,Tahan,347.19,346.69,350.775,3.585,P31
Agem Kiri,3,2,Naik,350.775,350.275,352.276,1.501,P31
Agem Kiri,3,2,Berdiri,352.276,351.776,359.481,7.205,P31
Agem Kiri,4,2,Gerak,359.481,358.981,361.82,2.339,P31
Agem Kiri,4,2,Tahan,361.82,361.32,366.231,4.411,P31
Agem Kiri,4,2,Naik,366.231,365.731,368.229,1.998,P31
Agem Kiri,4,2,Berdiri,368.229,367.729,376.229,8.0,P31
-,0,0,Tutup Mata,411.581,411.081,441.581,30.0,P31
-,0,1,Istirahat,103.553,103.553,275.116,171.563,P31
Ngeed,1,1,Gerak,6.134,5.634,10.461,4.327,P32
Ngeed,1,1,Tahan,10.461,9.961,11.315,0.854,P32
Ngeed,1,1,Naik,11.315,10.815,13.585,2.27,P32
Ngeed,1,1,Berdiri,13.585,13.085,21.585,8.0,P32
Ngeed,2,1,Gerak,22.075,21.575,23.725,1.65,P32
Ngeed,2,1,Tahan,23.725,23.225,26.905,3.18,P32
Ngeed,2,1,Naik,26.905,26.405,29.74,2.835,P32
Ngeed,2,1,Berdiri,29.74,29.24,37.74,8.0,P32
Agem Kanan,1,1,Gerak,38.19,37.69,41.998,3.808,P32
Agem Kanan,1,1,Tahan,41.998,41.498,45.323,3.325,P32
Agem Kanan,1,1,Naik,45.323,44.823,47.39,2.067,P32
Agem Kanan,1,1,Berdiri,47.39,46.89,54.11,6.72,P32
Agem Kanan,2,1,Gerak,54.11,53.61,55.708,1.598,P32
Agem Kanan,2,1,Tahan,55.708,55.208,59.407,3.699,P32
Agem Kanan,2,1,Naik,59.407,58.907,62.218,2.811,P32
Agem Kanan,2,1,Berdiri,62.218,61.718,70.055,7.837,P32
Agem Kiri,1,1,Gerak,70.055,69.555,72.771,2.716,P32
Agem Kiri,1,1,Tahan,72.771,72.271,75.187,2.416,P32
Agem Kiri,1,1,Naik,75.187,74.687,78.38,3.193,P32
Agem Kiri,1,1,Berdiri,78.38,77.88,86.125,7.745,P32
Agem Kiri,2,1,Gerak,86.125,85.625,87.682,1.557,P32
Agem Kiri,2,1,Tahan,87.682,87.182,92.107,4.425,P32
Agem Kiri,2,1,Naik,92.107,91.607,93.954,1.847,P32
Agem Kiri,2,1,Berdiri,93.954,93.454,101.954,8.0,P32
Ngeed,3,2,Gerak,279.283,278.783,282.705,3.422,P32
Ngeed,3,2,Tahan,282.705,282.205,284.133,1.428,P32
Ngeed,3,2,Naik,284.133,283.633,285.67,1.537,P32
Ngeed,3,2,Berdiri,285.67,285.17,293.67,8.0,P32
Ngeed,4,2,Gerak,296.101,295.601,297.887,1.786,P32
Ngeed,4,2,Tahan,297.887,297.387,300.444,2.557,P32
Ngeed,4,2,Naik,300.444,299.944,302.334,1.89,P32
Ngeed,4,2,Berdiri,302.334,301.834,310.334,8.0,P32
Agem Kanan,3,2,Gerak,311.241,310.741,313.153,1.912,P32
