participant_id,sumber,gerakan,rep,fase,mulai,selesai,cakupan,r_kiri,r_kanan,r_antar
P32,timestamp_manual,-,0,Tutup Mata,411.364,441.864,1.0,0.323,0.203,-0.082
P32,timestamp_manual,-,0,Istirahat,101.954,274.283,1.0,0.428,0.39,-0.062
P32,repo_video,Ngeed,1,Gerak,7.998,9.707,1.0,0.301,0.598,-0.077
P32,repo_video,Ngeed,1,Tahan,10.207,11.831,1.0,0.321,0.482,-0.101
P32,repo_video,Ngeed,1,Naik,12.252,13.048,1.0,0.3,0.318,-0.11
P32,repo_video,Ngeed,2,Gerak,23.593,25.232,1.0,0.252,,-0.044
P32,repo_video,Ngeed,2,Tahan,25.732,27.37,1.0,0.34,,0.214
P32,repo_video,Ngeed,2,Naik,27.82,28.754,1.0,0.372,0.684,-0.268
P32,repo_video,Agem Kiri,11,Gerak,40.396,42.104,1.0,0.581,0.603,0.241
P32,repo_video,Agem Kiri,11,Tahan,42.604,44.493,1.0,0.559,0.63,0.063
P32,repo_video,Agem Kiri,11,Naik,44.964,45.994,1.0,0.415,0.813,-0.125
P32,repo_video,Agem Kiri,12,Gerak,55.21,55.814,1.0,0.466,0.735,0.026
P32,repo_video,Agem Kiri,12,Tahan,56.193,59.831,1.0,0.504,0.742,-0.086
P32,repo_video,Agem Kiri,12,Naik,60.181,60.647,1.0,0.281,0.316,0.035
P32,repo_video,Agem Kanan,11,Gerak,71.994,72.83,1.0,0.429,0.756,0.245
P32,repo_video,Agem Kanan,11,Tahan,73.259,75.439,1.0,0.679,0.556,-0.145
P32,repo_video,Agem Kanan,11,Naik,75.818,76.421,1.0,0.492,0.461,-0.017
P32,repo_video,Agem Kanan,12,Gerak,87.61,88.223,1.0,0.778,0.493,0.189
P32,repo_video,Agem Kanan,12,Tahan,88.533,89.369,1.0,0.643,0.382,-0.079
P32,repo_video,Agem Kanan,12,Naik,89.798,93.104,1.0,0.43,0.615,0.018
P32,repo_video,Ngeed,3,Gerak,280.604,282.63,1.0,0.584,0.492,0.002
P32,repo_video,Ngeed,3,Tahan,283.13,284.63,1.0,0.124,0.354,-0.102
P32,repo_video,Ngeed,3,Naik,285.009,285.612,1.0,0.2,0.274,-0.014
P32,repo_video,Ngeed,4,Gerak,297.363,298.394,1.0,0.207,0.86,-0.022
P32,repo_video,Ngeed,4,Tahan,298.865,300.558,1.0,0.154,0.835,0.003
P32,repo_video,Ngeed,4,Naik,300.939,301.552,1.0,0.297,0.572,-0.074
P32,repo_video,Agem Kanan,3,Gerak,312.773,313.522,1.0,0.651,0.372,-0.054
P32,repo_video,Agem Kanan,3,Tahan,313.761,314.13,1.0,0.331,0.691,-0.099
P32,repo_video,Agem Kanan,3,Naik,314.459,317.625,1.0,0.437,0.455,-0.037
P32,repo_video,Agem Kanan,4,Gerak,328.817,329.75,1.0,0.57,0.75,0.017
P32,repo_video,Agem Kanan,4,Naik,330.325,333.63,1.0,0.294,0.541,-0.128
P32,repo_video,Agem Kiri,3,Gerak,344.233,344.982,1.0,0.467,0.552,-0.021
P32,repo_video,Agem Kiri,3,Tahan,345.273,345.886,1.0,0.587,0.741,-0.047
P32,repo_video,Agem Kiri,3,Naik,346.267,349.697,1.0,0.082,0.815,0.012
P32,repo_video,Agem Kiri,4,Gerak,360.115,360.91,1.0,0.265,0.824,0.152
P32,repo_video,Agem Kiri,4,Tahan,361.33,362.966,1.0,0.209,0.729,-0.0
P32,repo_video,Agem Kiri,4,Naik,363.466,365.826,1.0,0.438,0.733,-0.279
P32,repo_video,-,0,Istirahat,101.954,274.283,1.0,0.428,0.39,-0.062
