participant_id,sumber,gerakan,rep,fase,mulai,selesai,cakupan,r_kiri,r_kanan,r_antar
P08,repo_video,Agem Kiri,2,Gerak,88.011,89.511,1.0,0.802,0.328,-0.019
P08,repo_video,Agem Kiri,2,Tahan,90.011,94.898,1.0,0.893,0.463,-0.238
P08,repo_video,Agem Kiri,2,Naik,95.279,95.893,1.0,0.794,0.472,-0.076
P08,repo_video,Ngeed,3,Gerak,281.164,282.146,1.0,0.833,0.264,-0.244
P08,repo_video,Ngeed,3,Tahan,282.606,287.841,1.0,0.603,0.347,-0.34
P08,repo_video,Ngeed,3,Naik,288.181,288.599,1.0,0.962,0.182,-0.395
P08,repo_video,Ngeed,4,Gerak,296.671,297.564,1.0,0.665,0.597,-0.091
P08,repo_video,Ngeed,4,Tahan,298.006,304.172,1.0,0.855,0.32,-0.306
P08,repo_video,Ngeed,4,Naik,304.512,304.929,1.0,0.967,0.291,-0.309
P08,repo_video,Agem Kanan,3,Gerak,312.796,314.435,1.0,0.693,0.315,0.146
P08,repo_video,Agem Kanan,3,Tahan,314.935,319.643,1.0,0.596,0.349,0.007
P08,repo_video,Agem Kanan,3,Naik,319.991,320.447,1.0,0.745,0.536,-0.403
P08,repo_video,Agem Kanan,4,Gerak,328.707,329.727,1.0,0.6,0.469,0.037
P08,repo_video,Agem Kanan,4,Tahan,330.196,335.904,1.0,0.865,0.177,-0.005
P08,repo_video,Agem Kanan,4,Naik,336.314,337.063,1.0,0.767,0.639,-0.362
P08,repo_video,Agem Kiri,3,Gerak,344.901,345.931,1.0,0.663,0.63,-0.025
P08,repo_video,Agem Kiri,3,Tahan,346.402,351.832,1.0,0.868,0.415,-0.244
P08,repo_video,Agem Kiri,3,Naik,352.172,352.589,1.0,0.594,0.345,-0.144
P08,repo_video,Agem Kiri,4,Gerak,360.997,362.302,1.0,0.664,0.371,0.06
P08,repo_video,Agem Kiri,4,Tahan,362.802,368.038,1.0,0.799,0.318,-0.044
P08,repo_video,Agem Kiri,4,Naik,368.409,368.972,1.0,0.759,0.345,-0.251
P08,repo_video,-,0,Istirahat,103.894,275.554,1.0,,0.672,-0.469
P09,timestamp_manual,Ngeed,1,Gerak,6.788,10.662,1.0,0.541,0.563,0.291
P09,timestamp_manual,Ngeed,1,Tahan,10.162,14.104,1.0,0.546,0.621,0.465
P09,timestamp_manual,Ngeed,1,Naik,13.604,15.976,1.0,0.601,0.566,0.287
P09,timestamp_manual,Ngeed,1,Berdiri,15.476,22.327,1.0,0.656,0.509,0.021
P09,timestamp_manual,Ngeed,2,Gerak,21.827,25.55,1.0,0.642,0.39,0.001
P09,timestamp_manual,Ngeed,2,Tahan,25.05,29.618,1.0,0.438,,0.179
P09,timestamp_manual,Ngeed,2,Naik,29.118,32.384,1.0,,,
P09,timestamp_manual,Ngeed,2,Berdiri,31.884,38.257,1.0,,0.465,-0.079
