task,subphase,n,start,end,rep
BERSIAP,,15,0.741,5.122,
NGEED,TURUN,14,5.122,8.121500000000001,1.0
NGEED,TAHAN,8,8.121500000000001,10.120999999999999,1.0
NGEED,NAIK,20,10.120999999999999,13.120999999999999,1.0
BERDIRI RILEKS,,20,13.120999999999999,21.154,
NGEED,TURUN,14,21.154,24.154,2.0
NGEED,TAHAN,8,24.154,26.154,2.0
NGEED,NAIK,19,26.154,29.153,2.0
BERDIRI RILEKS,,20,29.153,37.152,
AGEM KANAN,TURUN,14,37.152,40.1515,1.0
AGEM KANAN,TAHAN,8,40.1515,42.150999999999996,1.0
AGEM KANAN,NAIK,19,42.150999999999996,45.2825,1.0
BERDIRI RILEKS,,19,45.2825,53.157,
AGEM KANAN,TURUN,15,53.157,56.219,2.0
AGEM KANAN,TAHAN,7,56.219,58.1485,2.0
AGEM KANAN,NAIK,20,58.1485,61.2175,2.0
BERDIRI RILEKS,,20,61.2175,69.217,
AGEM KIRI,TURUN,14,69.217,72.216,1.0
AGEM KIRI,TAHAN,7,72.216,74.188,1.0
AGEM KIRI,NAIK,18,74.188,77.298,1.0
BERDIRI RILEKS,,19,77.298,85.221,
AGEM KIRI,TURUN,15,85.221,88.24799999999999,2.0
AGEM KIRI,TAHAN,8,88.24799999999999,90.24799999999999,2.0
AGEM KIRI,NAIK,21,90.24799999999999,93.33099999999999,2.0
ISTIRAHAT UTAMA,,365,93.33099999999999,273.748,
BERSIAP,,10,273.748,278.2825,
NGEED,TURUN,14,278.2825,281.28150000000005,3.0
NGEED,TAHAN,14,281.28150000000005,284.281,3.0
NGEED,NAIK,14,284.281,286.246,3.0
BERDIRI RILEKS,,20,286.246,294.25149999999996,
NGEED,TURUN,14,294.25149999999996,297.251,4.0
NGEED,TAHAN,8,297.251,299.2515,4.0
NGEED,NAIK,20,299.2515,302.313,4.0
BERDIRI RILEKS,,20,302.313,310.312,
AGEM KANAN,TURUN,14,310.312,313.3185,3.0
AGEM KANAN,TAHAN,14,313.3185,316.318,3.0
AGEM KANAN,NAIK,12,316.318,318.3175,3.0
BERDIRI RILEKS,,20,318.3175,326.31600000000003,
AGEM KANAN,TURUN,14,326.31600000000003,329.3165,4.0
AGEM KANAN,TAHAN,8,329.3165,331.31550000000004,4.0
AGEM KANAN,NAIK,20,331.31550000000004,334.3635,4.0
BERDIRI RILEKS,,19,334.3635,342.31399999999996,
AGEM KIRI,TURUN,15,342.31399999999996,345.348,3.0
AGEM KIRI,TAHAN,8,345.348,347.348,3.0
AGEM KIRI,NAIK,20,347.348,350.347,3.0
BERDIRI RILEKS,,20,350.347,358.381,
AGEM KIRI,TURUN,13,358.381,361.35249999999996,4.0
AGEM KIRI,TAHAN,15,361.35249999999996,364.38,4.0
AGEM KIRI,NAIK,12,364.38,366.432,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.432,396.514,
BERDIRI ISTIRAHAT,,33,396.514,411.581,
BERDIRI MATA TERTUTUP,,62,411.581,441.5,
