task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,act_arm,first_move,baseline_range_frac,baseline_still,phase_source,fallback_latency_sec
NGEED,1,5.1165,8.1165,10.1165,13.1165,1.0035000000000007,6.996,8.308,11.335,12.196,49.4622577726841,6.901750000000001,1.1061202734708786,1.0,ok,3.898,lengan,,False,video,1.845750000000006
NGEED,2,21.118000000000002,24.118000000000002,26.118000000000002,29.118000000000002,0.0010000000000012221,22.874,23.666,27.0,28.471,67.39779502153397,22.80775,1.0514389723539352,1.0,ok,15.21,lengan,0.02757156546634977,True,video,1.845750000000006
AGEM KANAN,1,37.15,40.15,42.15,45.15,0.0,38.866,39.74,43.271,44.809,59.64078530669212,38.80025,1.1191800236701965,1.0,ok,38.866,batang_tubuh,0.07137236800681367,True,video,1.845750000000006
AGEM KANAN,2,53.147999999999996,56.147999999999996,58.147999999999996,61.147999999999996,0.03450000000000131,54.571,55.571,58.974,60.64,69.44832988083363,54.4875,1.996457576751709,1.0,ok,54.571,batang_tubuh,0.020028108943367956,True,video,1.845750000000006
AGEM KIRI,1,69.187,72.187,74.187,77.187,0.007999999999995566,71.903,72.569,74.902,76.5,68.21670897305012,71.83725000000001,1.562635786831379,1.0,ok,64.764,lengan,0.883665946904621,False,video,1.845750000000006
AGEM KIRI,2,85.1845,88.1845,90.1845,93.1845,0.0005000000000023874,88.733,89.274,91.066,92.607,52.86515660583973,87.07,1.8584143370389938,1.0,late,86.205,lengan,0.029803572990212964,True,video,1.845750000000006
NGEED,3,278.21799999999996,281.21799999999996,283.21799999999996,286.21799999999996,0.9990000000000236,279.669,281.863,284.405,285.668,68.86532492935658,279.51975,1.4815829694271088,1.0,ok,272.795,lengan,0.04579396369931758,True,video,1.845750000000006
NGEED,4,294.216,297.216,299.216,302.216,0.033999999999991815,295.792,296.667,299.93,301.263,56.34960040450096,295.69124999999997,1.3785269111394882,1.0,ok,295.125,lengan,0.0659083099478422,True,video,1.845750000000006
AGEM KANAN,3,310.283,313.283,315.283,318.283,0.9985000000000355,312.331,313.525,316.136,318.066,57.94164501130581,312.2825,1.5256550163030624,1.0,ok,311.401,lengan,0.012405275980013336,True,video,1.845750000000006
AGEM KANAN,4,326.31550000000004,329.31550000000004,331.31550000000004,334.31550000000004,0.03550000000007003,328.398,330.203,333.328,334.869,61.95952817797661,328.3145,1.4305200427770615,1.0,ok,328.398,batang_tubuh,0.041222683256127164,True,video,1.845750000000006
AGEM KIRI,3,342.3125,345.3125,347.3125,350.3125,0.0009999999999763531,344.66,346.534,348.34,349.797,59.995124973356724,344.608,2.2842392325401306,0.9333333333333333,ok,344.66,batang_tubuh,0.03897049141142367,True,video,1.845750000000006
AGEM KIRI,4,358.317,361.317,363.317,366.317,1.0339999999999918,360.129,361.129,364.059,365.337,57.25722312927246,360.06300000000005,1.5210941433906555,1.0,ok,359.532,lengan,0.08203772695834594,True,video,1.845750000000006
