task,subphase,n,start,end,rep
BERSIAP,,7,3.468,5.1165,
NGEED,TURUN,13,5.1165,8.1165,1.0
NGEED,TAHAN,14,8.1165,11.120000000000001,1.0
NGEED,NAIK,12,11.120000000000001,13.119,1.0
BERDIRI RILEKS,,20,13.119,21.118000000000002,
NGEED,TURUN,14,21.118000000000002,24.118000000000002,2.0
NGEED,TAHAN,9,24.118000000000002,26.117,2.0
NGEED,NAIK,19,26.117,29.1515,2.0
BERDIRI RILEKS,,21,29.1515,37.15,
AGEM KANAN,TURUN,14,37.15,40.15,1.0
AGEM KANAN,TAHAN,8,40.15,42.15,1.0
AGEM KANAN,NAIK,19,42.15,45.1495,1.0
BERDIRI RILEKS,,20,45.1495,53.147999999999996,
AGEM KANAN,TURUN,14,53.147999999999996,56.1825,2.0
AGEM KANAN,TAHAN,7,56.1825,58.119,2.0
AGEM KANAN,NAIK,20,58.119,61.202,2.0
BERDIRI RILEKS,,19,61.202,69.187,
AGEM KIRI,TURUN,14,69.187,72.187,1.0
AGEM KIRI,TAHAN,8,72.187,74.179,1.0
AGEM KIRI,NAIK,18,74.179,77.151,1.0
BERDIRI RILEKS,,21,77.151,85.1845,
AGEM KIRI,TURUN,14,85.1845,88.184,2.0
AGEM KIRI,TAHAN,8,88.184,90.184,2.0
AGEM KIRI,NAIK,19,90.184,93.336,2.0
ISTIRAHAT UTAMA,,364,93.336,273.2125,
BERSIAP,,2,273.2125,273.365,
BERSIAP,,9,276.531,278.21799999999996,
NGEED,TURUN,14,278.21799999999996,281.21799999999996,3.0
NGEED,TAHAN,14,281.21799999999996,284.217,3.0
NGEED,NAIK,12,284.217,286.217,3.0
BERDIRI RILEKS,,20,286.217,294.216,
NGEED,TURUN,12,294.216,297.25,4.0
NGEED,TAHAN,8,297.25,299.2495,4.0
NGEED,NAIK,18,299.2495,302.284,4.0
BERDIRI RILEKS,,20,302.284,310.283,
AGEM KANAN,TURUN,14,310.283,313.28200000000004,3.0
AGEM KANAN,TAHAN,14,313.28200000000004,316.28150000000005,3.0
AGEM KANAN,NAIK,12,316.28150000000005,318.281,3.0
BERDIRI RILEKS,,21,318.281,326.31550000000004,
AGEM KANAN,TURUN,13,326.31550000000004,329.28,4.0
AGEM KANAN,TAHAN,9,329.28,331.31449999999995,4.0
AGEM KANAN,NAIK,18,331.31449999999995,334.279,4.0
BERDIRI RILEKS,,21,334.279,342.3125,
AGEM KIRI,TURUN,14,342.3125,345.312,3.0
AGEM KIRI,TAHAN,8,345.312,347.3115,3.0
AGEM KIRI,NAIK,19,347.3115,350.318,3.0
BERDIRI RILEKS,,20,350.318,358.317,
AGEM KIRI,TURUN,15,358.317,361.351,4.0
AGEM KIRI,TAHAN,14,361.351,364.351,4.0
AGEM KIRI,NAIK,11,364.351,366.39599999999996,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.39599999999996,396.485,
BERDIRI ISTIRAHAT,,32,396.485,411.545,
BERDIRI MATA TERTUTUP,,62,411.545,441.0,
