task,subphase,n,start,end,rep
BERSIAP,,8,1.5,4.6495,
NGEED,TURUN,14,4.6495,8.117,1.0
NGEED,TAHAN,8,8.117,10.123999999999999,1.0
NGEED,NAIK,18,10.123999999999999,13.123000000000001,1.0
BERDIRI RILEKS,,21,13.123000000000001,21.157,
NGEED,TURUN,14,21.157,24.156,2.0
NGEED,TAHAN,7,24.156,26.121499999999997,2.0
NGEED,NAIK,20,26.121499999999997,29.156,2.0
BERDIRI RILEKS,,20,29.156,37.1545,
AGEM KANAN,TURUN,14,37.1545,40.153999999999996,1.0
AGEM KANAN,TAHAN,8,40.153999999999996,42.153999999999996,1.0
AGEM KANAN,NAIK,19,42.153999999999996,45.1535,1.0
BERDIRI RILEKS,,20,45.1535,53.1525,
AGEM KANAN,TURUN,14,53.1525,56.1865,2.0
AGEM KANAN,TAHAN,8,56.1865,58.1515,2.0
AGEM KANAN,NAIK,19,58.1515,61.1855,2.0
BERDIRI RILEKS,,20,61.1855,69.185,
AGEM KIRI,TURUN,15,69.185,72.2195,1.0
AGEM KIRI,TAHAN,7,72.2195,74.184,1.0
AGEM KIRI,NAIK,18,74.184,77.18299999999999,1.0
BERDIRI RILEKS,,21,77.18299999999999,85.217,
AGEM KIRI,TURUN,14,85.217,88.2165,2.0
AGEM KIRI,TAHAN,8,88.2165,90.223,2.0
AGEM KIRI,NAIK,21,90.223,93.2165,2.0
ISTIRAHAT UTAMA,,363,93.2165,273.217,
BERSIAP,,15,273.217,278.2505,
NGEED,TURUN,12,278.2505,281.2505,3.0
NGEED,TAHAN,14,281.2505,284.2495,3.0
NGEED,NAIK,14,284.2495,286.27,3.0
BERDIRI RILEKS,,21,286.27,294.2135,
NGEED,TURUN,12,294.2135,297.24749999999995,4.0
NGEED,TAHAN,8,297.24749999999995,299.24749999999995,4.0
NGEED,NAIK,19,299.24749999999995,302.282,4.0
BERDIRI RILEKS,,20,302.282,310.2815,
AGEM KANAN,TURUN,14,310.2815,313.28,3.0
AGEM KANAN,TAHAN,14,313.28,316.28,3.0
AGEM KANAN,NAIK,12,316.28,318.279,3.0
BERDIRI RILEKS,,20,318.279,326.3195,
AGEM KANAN,TURUN,14,326.3195,329.28499999999997,4.0
AGEM KANAN,TAHAN,8,329.28499999999997,331.319,4.0
AGEM KANAN,NAIK,18,331.319,334.3325,4.0
BERDIRI RILEKS,,19,334.3325,342.317,
AGEM KIRI,TURUN,14,342.317,345.3165,3.0
AGEM KIRI,TAHAN,8,345.3165,347.3165,3.0
AGEM KIRI,NAIK,19,347.3165,350.3505,3.0
BERDIRI RILEKS,,19,350.3505,358.34950000000003,
AGEM KIRI,TURUN,14,358.34950000000003,361.349,4.0
AGEM KIRI,TAHAN,14,361.349,364.3485,4.0
AGEM KIRI,NAIK,12,364.3485,366.4085,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.4085,396.483,
BERDIRI ISTIRAHAT,,32,396.483,411.557,
BERDIRI MATA TERTUTUP,,63,411.557,441.51,
