frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
13,0.507,"oN
Na,
",UNKNOWN,
28,1.001,"cae
RS )
",UNKNOWN,
35,1.237,"ra
| Ke yy,
",UNKNOWN,
39,1.368,"ra
| Ke yy,
",UNKNOWN,
41,1.431,"ra
| Ke yy,
",UNKNOWN,
42,1.466,"ra
| Ke yy,
",UNKNOWN,
43,1.5,"BERSIAP
c
",BERSIAP,
58,2.001,"BERSIAP
)
",BERSIAP,
73,2.5,"BERSIAP
(3)
",BERSIAP,
88,3.001,"BERSIAP
(3)
",BERSIAP,
103,3.5,"=z
BERSIAP
(2)
",BERSIAP,
118,4.0,"=m
BERSIAP
(2)
",BERSIAP,
121,4.097,"=
BERSIAP
",BERSIAP,
123,4.167,"Dvn]
BERSIAP
",BERSIAP,
124,4.208,"beni
FD
",UNKNOWN,
125,4.236,"Seta
FD
",UNKNOWN,
133,4.5,"al
FD
",UNKNOWN,
148,5.0,"al
FD
",UNKNOWN,
151,5.097,"al
FD
",UNKNOWN,
152,5.132,"NGEED
~
1
TURUN
",NGEED,TURUN
153,5.166,"NGEED
~
1
TURUN
",NGEED,TURUN
155,5.236,"NGEED
~
1
TURUN
",NGEED,TURUN
163,5.5,"NGEED
~
1
TURUN
",NGEED,TURUN
178,6.0,"NGEED
~
1
TURUN
",NGEED,TURUN
193,6.506,"NGEED
2 \
TURUN
",NGEED,TURUN
208,7.0,"NGEED
2
TURUN
",NGEED,TURUN
211,7.103,"NGEED
2
TURUN
",NGEED,TURUN
212,7.131,"NGEED
TURUN
",NGEED,TURUN
213,7.166,"NGEED
3)
",NGEED,
215,7.235,"NGEED
3)
",NGEED,
223,7.506,"NGEED
3)
",NGEED,
238,8.007,"NGEED
3)
",NGEED,
241,8.103,"NGEED
3)
",NGEED,
242,8.131,"NGEED
+)
TAHAN
",NGEED,TAHAN
243,8.173,"NGEED
4)
TAHAN
",NGEED,TAHAN
245,8.242,"NGEED
>
TAHAN
",NGEED,TAHAN
253,8.506,"NGEED
>
TAHAN
",NGEED,TAHAN
268,9.006,"NGEED
>
TAHAN
",NGEED,TAHAN
283,9.506,"NGEED
TAHAN
",NGEED,TAHAN
298,10.007,"NGEED
TAHAN
",NGEED,TAHAN
301,10.103,"NGEED
TAHAN
",NGEED,TAHAN
302,10.145,"NGEED
NAIK )
",NGEED,NAIK
303,10.172,"NGEED
",NGEED,
305,10.242,"NGEED
",NGEED,
313,10.506,"NGEED
Y
",NGEED,
328,11.006,"NGEED
Y
",NGEED,
331,11.103,"NGEED
Y
",NGEED,
332,11.131,"NGEED
QD
NAIK
",NGEED,NAIK
333,11.173,"NGEED
)
NAIK
",NGEED,NAIK
335,11.242,"NGEED
(z)
NAIK
",NGEED,NAIK
343,11.506,"NGEED
(2)
NAIK
",NGEED,NAIK
358,12.006,"NGEED
(2)
NAIK
",NGEED,NAIK
361,12.103,"NGEED
(2)
NAIK
",NGEED,NAIK
362,12.144,"NGEED
(2)
",NGEED,
363,12.172,"NGEED
(2)
",NGEED,
365,12.242,"NGEED
(2)
",NGEED,
373,12.505,"NGEED
",NGEED,
388,13.006,"NGEED
",NGEED,
391,13.102,"NGEED
",NGEED,
392,13.144,"BERDIRI RILEKS
( 8 )
ae
",BERDIRI RILEKS,
393,13.172,"BERDIRI RILEKS
fo»
| 8 |
G27
",BERDIRI RILEKS,
395,13.241,"BERDIRI RILEKS
fo»
8 |
V7
",BERDIRI RILEKS,
403,13.505,"BERDIRI RILEKS
_,
| 8 |
ae
",BERDIRI RILEKS,
418,14.006,"BERDIRI RILEKS
(g
Nee,
",BERDIRI RILEKS,
433,14.505,"BERDIRI RILEKS
(om \
| Z |
Yo
",BERDIRI RILEKS,
448,15.006,"BERDIRI RILEKS
(om \
| Z |
Yo
",BERDIRI RILEKS,
463,15.505,"BERDIRI RILEKS
(6)
7
",BERDIRI RILEKS,
478,16.006,"BERDIRI RILEKS
(6)
7
",BERDIRI RILEKS,
493,16.505,"BERDIRI RILEKS
(5 \
7
",BERDIRI RILEKS,
508,17.005,"BERDIRI RILEKS
( s \
|
ey,
",BERDIRI RILEKS,
523,17.505,"BERDIRI RILEKS
( 4 )
ee,
",BERDIRI RILEKS,
538,18.005,"BERDIRI RILEKS
( 4 )
ee,
",BERDIRI RILEKS,
553,18.504,"BERDIRI RILEKS
(— 3
5
",BERDIRI RILEKS,
568,19.005,"BERDIRI RILEKS
(— 3
5 |
",BERDIRI RILEKS,
583,19.504,"BERDIRI RILEKS
( 2 )
LS)
",BERDIRI RILEKS,
598,20.005,"BERDIRI RILEKS
( 2 )
LS)
",BERDIRI RILEKS,
613,20.504,"BERDIRI RILEKS
( 1
Ye
",BERDIRI RILEKS,
628,21.005,"BERDIRI RILEKS
( 1
Ye
",BERDIRI RILEKS,
631,21.101,"BERDIRI RILEKS
( 1
Ye
",BERDIRI RILEKS,
632,21.143,"BERDIRI RILEKS
( 1
Ye
",BERDIRI RILEKS,
633,21.171,"NGEED
~
1
TURUN
",NGEED,TURUN
635,21.24,"NGEED
~
1
TURUN
",NGEED,TURUN
643,21.504,"NGEED
~
1
TURUN
",NGEED,TURUN
658,22.005,"NGEED
~
1
TURUN
",NGEED,TURUN
673,22.504,"NGEED
2
TURUN
",NGEED,TURUN
688,23.004,"NGEED
2
TURUN
",NGEED,TURUN
691,23.101,"NGEED
2
TURUN
",NGEED,TURUN
692,23.143,"NGEED
2 \
TURUN
",NGEED,TURUN
693,23.17,"NGEED
3)
",NGEED,
695,23.24,"NGEED
3)
",NGEED,
703,23.504,"NGEED
3)
",NGEED,
718,24.004,"NGEED
3)
",NGEED,
721,24.101,"NGEED
3)
",NGEED,
722,24.142,"NGEED
3)
",NGEED,
723,24.17,"NGEED
+)
TAHAN
",NGEED,TAHAN
725,24.24,"NGEED
+)
TAHAN
",NGEED,TAHAN
733,24.504,"NGEED
>
TAHAN
",NGEED,TAHAN
748,25.004,"NGEED
>
TAHAN
",NGEED,TAHAN
763,25.503,"NGEED
TAHAN
",NGEED,TAHAN
778,26.004,"NGEED
TAHAN
",NGEED,TAHAN
781,26.101,"NGEED
TAHAN
",NGEED,TAHAN
782,26.142,"NGEED
NAIK )
",NGEED,NAIK
783,26.17,"NGEED
NAIK )
",NGEED,NAIK
784,26.198,"NGEED
",NGEED,
785,26.239,"NGEED
",NGEED,
793,26.503,"NGEED
Y
",NGEED,
808,27.004,"NGEED
Y
",NGEED,
811,27.1,"NGEED
3
",NGEED,
812,27.142,"NGEED
3
",NGEED,
813,27.17,"NGEED
YD
NAIK
",NGEED,NAIK
815,27.239,"NGEED
(Z)
NAIK
",NGEED,NAIK
823,27.503,"NGEED
(2)
NAIK
",NGEED,NAIK
838,28.004,"NGEED
(2)
NAIK
",NGEED,NAIK
841,28.1,"NGEED
(2)
NAIK
",NGEED,NAIK
842,28.142,"NGEED
(2)
NAIK
",NGEED,NAIK
843,28.17,"NGEED
(2)
",NGEED,
845,28.239,"NGEED
(2)
",NGEED,
853,28.503,"NGEED
",NGEED,
868,29.003,"NGEED
",NGEED,
871,29.1,"NGEED
",NGEED,
872,29.142,"NGEED
",NGEED,
873,29.17,"BERDIRI RILEKS
~*~,
| 8 |
Yo
",BERDIRI RILEKS,
875,29.239,"BERDIRI RILEKS
~*~,
| 8 |
Yo
",BERDIRI RILEKS,
883,29.503,"BERDIRI RILEKS
~*~,
| 8 |
Yor
",BERDIRI RILEKS,
898,30.003,"BERDIRI RILEKS
~*~,
| 8 |
Yor
",BERDIRI RILEKS,
913,30.503,"BERDIRI RILEKS
(7)
Xe
",BERDIRI RILEKS,
928,31.003,"BERDIRI RILEKS
(7)
Xe
",BERDIRI RILEKS,
943,31.502,"BERDIRI RILEKS
(6
ey)
",BERDIRI RILEKS,
958,32.003,"BERDIRI RILEKS
(6
ey)
",BERDIRI RILEKS,
973,32.502,"BERDIRI RILEKS
_
( 5
",BERDIRI RILEKS,
988,33.003,"BERDIRI RILEKS
_
( 5
",BERDIRI RILEKS,
1003,33.502,"BERDIRI RILEKS
(4)
Ke
",BERDIRI RILEKS,
1018,34.003,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
1033,34.502,"BERDIRI RILEKS
(3
Nea
",BERDIRI RILEKS,
1048,35.003,"BERDIRI RILEKS
(3
Nea
",BERDIRI RILEKS,
1063,35.502,"BERDIRI RILEKS
(2
Yey
",BERDIRI RILEKS,
1078,36.003,"BERDIRI RILEKS
(2
Yey
",BERDIRI RILEKS,
1093,36.502,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1108,37.002,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1111,37.099,"BERDIRI RILEKS
(1
Nee,
",BERDIRI RILEKS,
1112,37.141,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
1113,37.168,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1115,37.238,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1123,37.502,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1138,38.002,"AGEM KANAN
~
1
TURUN
",AGEM KANAN,TURUN
1153,38.502,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1168,39.002,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1171,39.098,"AGEM KANAN
2
TURUN
",AGEM KANAN,TURUN
1173,39.168,"AGEM KANAN
TURUN
",AGEM KANAN,TURUN
1174,39.196,"AGEM KANAN
TURUN
",AGEM KANAN,TURUN
1175,39.238,"AGEM KANAN
3)
",AGEM KANAN,
1183,39.501,"AGEM KANAN
3)
",AGEM KANAN,
1198,40.002,"AGEM KANAN
3)
",AGEM KANAN,
1201,40.099,"AGEM KANAN
3)
",AGEM KANAN,
1202,40.14,"AGEM KANAN
3)
",AGEM KANAN,
1203,40.168,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1205,40.237,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1213,40.501,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1228,41.002,"AGEM KANAN
+)
TAHAN
",AGEM KANAN,TAHAN
1243,41.501,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1258,42.002,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1261,42.099,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1262,42.14,"AGEM KANAN
TAHAN )
",AGEM KANAN,TAHAN
1263,42.168,"AGEM KANAN
NAIK )
",AGEM KANAN,NAIK
1264,42.209,"AGEM KANAN
4 NAIK )
",AGEM KANAN,NAIK
1265,42.237,"AGEM KANAN
",AGEM KANAN,
1273,42.501,"AGEM KANAN
3
",AGEM KANAN,
1288,43.001,"AGEM KANAN
Y)
",AGEM KANAN,
1291,43.098,"AGEM KANAN
Y)
",AGEM KANAN,
1293,43.167,"AGEM KANAN
Y)
",AGEM KANAN,
1294,43.209,"AGEM KANAN
2D
NAIK
",AGEM KANAN,NAIK
1295,43.237,"AGEM KANAN
Z)
NAIK
",AGEM KANAN,NAIK
1303,43.501,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1318,44.001,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1321,44.098,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1322,44.133,"AGEM KANAN
(2)
NAIK
",AGEM KANAN,NAIK
1323,44.168,"AGEM KANAN
(2)
",AGEM KANAN,
1325,44.23,"AGEM KANAN
(8)
",AGEM KANAN,
1333,44.501,"AGEM KANAN
",AGEM KANAN,
1348,45.008,"AGEM KANAN
",AGEM KANAN,
1351,45.105,"AGEM KANAN
",AGEM KANAN,
1352,45.133,"AGEM KANAN
",AGEM KANAN,
1353,45.174,"BERDIRI RILEKS
fo»
| 8 |
Yor
",BERDIRI RILEKS,
1355,45.23,"BERDIRI RILEKS
fo»
8 |
Yor
",BERDIRI RILEKS,
1363,45.508,"BERDIRI RILEKS
fo»
| 8 |
Yo?
",BERDIRI RILEKS,
1378,46.008,"BERDIRI RILEKS
fo»
| 8 |
Yo?
",BERDIRI RILEKS,
1393,46.508,"BERDIRI RILEKS
(7)
Ke
",BERDIRI RILEKS,
1408,47.008,"BERDIRI RILEKS
_,
| 7 |
sale
",BERDIRI RILEKS,
1423,47.507,"BERDIRI RILEKS
(6)
Nee
",BERDIRI RILEKS,
1438,48.008,"BERDIRI RILEKS
(6)
Ne
",BERDIRI RILEKS,
