task,subphase,n,start,end,rep
BERSIAP,,18,0.11,5.08,
NGEED,TURUN,14,5.08,8.087,1.0
NGEED,TAHAN,8,8.087,10.0795,1.0
NGEED,NAIK,18,10.0795,13.1345,1.0
BERDIRI RILEKS,,20,13.1345,21.119500000000002,
NGEED,TURUN,14,21.119500000000002,24.119,2.0
NGEED,TAHAN,7,24.119,26.084,2.0
NGEED,NAIK,21,26.084,29.118000000000002,2.0
BERDIRI RILEKS,,19,29.118000000000002,37.117000000000004,
AGEM KANAN,TURUN,14,37.117000000000004,40.117000000000004,1.0
AGEM KANAN,TAHAN,8,40.117000000000004,42.116,1.0
AGEM KANAN,NAIK,19,42.116,45.116,1.0
BERDIRI RILEKS,,20,45.116,53.1145,
AGEM KANAN,TURUN,15,53.1145,56.149,2.0
AGEM KANAN,TAHAN,7,56.149,58.114000000000004,2.0
AGEM KANAN,NAIK,20,58.114000000000004,61.155,2.0
BERDIRI RILEKS,,20,61.155,69.154,
AGEM KIRI,TURUN,14,69.154,72.181,1.0
AGEM KIRI,TAHAN,8,72.181,74.15299999999999,1.0
AGEM KIRI,NAIK,19,74.15299999999999,77.1665,1.0
BERDIRI RILEKS,,20,77.1665,85.179,
AGEM KIRI,TURUN,14,85.179,88.179,2.0
AGEM KIRI,TAHAN,8,88.179,90.1855,2.0
AGEM KIRI,NAIK,19,90.1855,93.1855,2.0
ISTIRAHAT UTAMA,,364,93.1855,273.158,
BERSIAP,,9,276.199,278.21299999999997,
NGEED,TURUN,14,278.21299999999997,281.212,3.0
NGEED,TAHAN,14,281.212,284.2115,3.0
NGEED,NAIK,11,284.2115,286.183,3.0
BERDIRI RILEKS,,20,286.183,294.182,
NGEED,TURUN,15,294.182,297.21000000000004,4.0
NGEED,TAHAN,8,297.21000000000004,299.209,4.0
NGEED,NAIK,19,299.209,302.251,4.0
BERDIRI RILEKS,,22,302.251,310.249,
AGEM KANAN,TURUN,14,310.249,313.249,3.0
AGEM KANAN,TAHAN,14,313.249,316.24850000000004,3.0
AGEM KANAN,NAIK,12,316.24850000000004,318.2825,3.0
BERDIRI RILEKS,,19,318.2825,326.28150000000005,
AGEM KANAN,TURUN,16,326.28150000000005,329.246,4.0
AGEM KANAN,TAHAN,6,329.246,331.281,4.0
AGEM KANAN,NAIK,20,331.281,334.246,4.0
BERDIRI RILEKS,,18,334.246,342.279,
AGEM KIRI,TURUN,14,342.279,345.2785,3.0
AGEM KIRI,TAHAN,8,345.2785,347.2785,3.0
AGEM KIRI,NAIK,18,347.2785,350.278,3.0
BERDIRI RILEKS,,21,350.278,358.312,
AGEM KIRI,TURUN,14,358.312,361.31100000000004,4.0
AGEM KIRI,TAHAN,14,361.31100000000004,364.31100000000004,4.0
AGEM KIRI,NAIK,13,364.31100000000004,366.4105,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.4105,396.452,
BERDIRI ISTIRAHAT,,35,396.452,411.519,
BERDIRI MATA TERTUTUP,,61,411.519,441.508,
