task,subphase,n,start,end,rep
BERSIAP,,12,0.835,5.1195,
NGEED,TURUN,14,5.1195,8.119,1.0
NGEED,TAHAN,8,8.119,10.118500000000001,1.0
NGEED,NAIK,18,10.118500000000001,13.139,1.0
BERDIRI RILEKS,,20,13.139,21.152,
NGEED,TURUN,14,21.152,24.158,2.0
NGEED,TAHAN,7,24.158,26.122999999999998,2.0
NGEED,NAIK,20,26.122999999999998,29.158499999999997,2.0
BERDIRI RILEKS,,20,29.158499999999997,37.156000000000006,
AGEM KANAN,TURUN,14,37.156000000000006,40.156000000000006,1.0
AGEM KANAN,TAHAN,8,40.156000000000006,42.155,1.0
AGEM KANAN,NAIK,19,42.155,45.155,1.0
BERDIRI RILEKS,,20,45.155,53.1545,
AGEM KANAN,TURUN,14,53.1545,56.188500000000005,2.0
AGEM KANAN,TAHAN,8,56.188500000000005,58.153000000000006,2.0
AGEM KANAN,NAIK,19,58.153000000000006,61.215,2.0
BERDIRI RILEKS,,21,61.215,69.186,
AGEM KIRI,TURUN,14,69.186,72.22,1.0
AGEM KIRI,TAHAN,8,72.22,74.185,1.0
AGEM KIRI,NAIK,19,74.185,77.338,1.0
BERDIRI RILEKS,,18,77.338,85.2185,
AGEM KIRI,TURUN,15,85.2185,88.21799999999999,2.0
AGEM KIRI,TAHAN,8,88.21799999999999,90.2175,2.0
AGEM KIRI,NAIK,21,90.2175,93.224,2.0
ISTIRAHAT UTAMA,,363,93.224,273.218,
BERSIAP,,1,273.218,273.232,
BERSIAP,,8,276.634,278.252,
NGEED,TURUN,14,278.252,281.251,3.0
NGEED,TAHAN,12,281.251,284.251,3.0
NGEED,NAIK,14,284.251,286.2365,3.0
BERDIRI RILEKS,,22,286.2365,294.21500000000003,
NGEED,TURUN,12,294.21500000000003,297.256,4.0
NGEED,TAHAN,8,297.256,299.249,4.0
NGEED,NAIK,19,299.249,302.283,4.0
BERDIRI RILEKS,,20,302.283,310.2815,
AGEM KANAN,TURUN,14,310.2815,313.2815,3.0
AGEM KANAN,TAHAN,14,313.2815,316.281,3.0
AGEM KANAN,NAIK,12,316.281,318.31550000000004,3.0
BERDIRI RILEKS,,20,318.31550000000004,326.31399999999996,
AGEM KANAN,TURUN,13,326.31399999999996,329.28549999999996,4.0
AGEM KANAN,TAHAN,9,329.28549999999996,331.32,4.0
AGEM KANAN,NAIK,18,331.32,334.3055,4.0
BERDIRI RILEKS,,20,334.3055,342.31899999999996,
AGEM KIRI,TURUN,14,342.31899999999996,345.318,3.0
AGEM KIRI,TAHAN,8,345.318,347.318,3.0
AGEM KIRI,NAIK,18,347.318,350.3195,3.0
BERDIRI RILEKS,,21,350.3195,358.351,
AGEM KIRI,TURUN,14,358.351,361.35,4.0
AGEM KIRI,TAHAN,14,361.35,364.3505,4.0
AGEM KIRI,NAIK,13,364.3505,366.462,4.0
BERDIRI FOKUS MATA TERBUKA,,63,366.462,396.48400000000004,
BERDIRI ISTIRAHAT,,33,396.48400000000004,411.551,
BERDIRI MATA TERTUTUP,,63,411.551,441.505,
