task,subphase,n,start,end,rep
BERSIAP,,10,1.443,4.6545,
NGEED,TURUN,14,4.6545,8.123000000000001,1.0
NGEED,TAHAN,8,8.123000000000001,10.122499999999999,1.0
NGEED,NAIK,20,10.122499999999999,13.122,1.0
BERDIRI RILEKS,,20,13.122,21.1555,
NGEED,TURUN,13,21.1555,24.155,2.0
NGEED,TAHAN,8,24.155,26.12,2.0
NGEED,NAIK,23,26.12,29.154,2.0
BERDIRI RILEKS,,20,29.154,37.153,
AGEM KANAN,TURUN,14,37.153,40.153,1.0
AGEM KANAN,TAHAN,8,40.153,42.1525,1.0
AGEM KANAN,NAIK,21,42.1525,45.152,1.0
BERDIRI RILEKS,,20,45.152,53.1505,
AGEM KANAN,TURUN,14,53.1505,56.185,2.0
AGEM KANAN,TAHAN,8,56.185,58.15,2.0
AGEM KANAN,NAIK,19,58.15,61.184,2.0
BERDIRI RILEKS,,20,61.184,69.18299999999999,
AGEM KIRI,TURUN,15,69.18299999999999,72.217,1.0
AGEM KIRI,TAHAN,7,72.217,74.182,1.0
AGEM KIRI,NAIK,18,74.182,77.189,1.0
BERDIRI RILEKS,,21,77.189,85.22200000000001,
AGEM KIRI,TURUN,13,85.22200000000001,88.22200000000001,2.0
AGEM KIRI,TAHAN,8,88.22200000000001,90.221,2.0
AGEM KIRI,NAIK,18,90.221,93.221,2.0
ISTIRAHAT UTAMA,,363,93.221,273.395,
BERSIAP,,13,273.395,278.24850000000004,
NGEED,TURUN,14,278.24850000000004,281.2495,3.0
NGEED,TAHAN,14,281.2495,284.2545,3.0
NGEED,NAIK,12,284.2545,286.24699999999996,3.0
BERDIRI RILEKS,,22,286.24699999999996,294.21849999999995,
NGEED,TURUN,12,294.21849999999995,297.253,4.0
NGEED,TAHAN,8,297.253,299.252,4.0
NGEED,NAIK,20,299.252,302.31399999999996,4.0
BERDIRI RILEKS,,20,302.31399999999996,310.313,
AGEM KANAN,TURUN,14,310.313,313.28499999999997,3.0
AGEM KANAN,TAHAN,14,313.28499999999997,316.2845,3.0
AGEM KANAN,NAIK,10,316.2845,318.3115,3.0
BERDIRI RILEKS,,20,318.3115,326.3175,
AGEM KANAN,TURUN,13,326.3175,329.2825,4.0
AGEM KANAN,TAHAN,9,329.2825,331.317,4.0
AGEM KANAN,NAIK,18,331.317,334.28150000000005,4.0
BERDIRI RILEKS,,21,334.28150000000005,342.31550000000004,
AGEM KIRI,TURUN,14,342.31550000000004,345.322,3.0
AGEM KIRI,TAHAN,13,345.322,348.28650000000005,3.0
AGEM KIRI,NAIK,13,348.28650000000005,350.446,3.0
BERDIRI RILEKS,,20,350.446,358.348,
AGEM KIRI,TURUN,15,358.348,361.347,4.0
AGEM KIRI,TAHAN,13,361.347,364.3465,4.0
AGEM KIRI,NAIK,13,364.3465,366.403,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.403,396.5155,
BERDIRI ISTIRAHAT,,31,396.5155,411.555,
BERDIRI MATA TERTUTUP,,63,411.555,441.508,
