participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P09,NGEED,1,ok,manual_timestamp,3.3740000000000006,3.4419999999999984,1.8720000000000017,,0.0,,False
P09,NGEED,2,ok,manual_timestamp,3.222999999999999,4.067999999999998,2.766000000000002,,0.0,,False
P09,AGEM KANAN,1,ok,manual_timestamp,2.9450000000000003,5.015000000000001,1.8030000000000044,,0.0,,False
P09,AGEM KANAN,2,ok,manual_timestamp,3.495999999999995,4.634,2.4949999999999974,,0.0,,False
P09,AGEM KIRI,1,ok,manual_timestamp,2.3700000000000045,4.875999999999991,2.4750000000000085,,0.0,,False
P09,AGEM KIRI,2,ok,manual_timestamp,3.837999999999994,3.4939999999999998,3.1850000000000023,,0.0,,False
P09,NGEED,3,ok,manual_timestamp,2.1890000000000214,4.127999999999986,2.8670000000000186,,0.0,,False
P09,NGEED,4,ok,manual_timestamp,1.9029999999999632,5.342000000000041,1.8009999999999877,,0.0,,False
P09,AGEM KANAN,3,ok,manual_timestamp,3.9839999999999804,3.617999999999995,3.281000000000006,,0.0,,False
P09,AGEM KANAN,4,ok,manual_timestamp,3.5680000000000405,3.481999999999971,3.1510000000000105,,0.0,,False
P09,AGEM KIRI,3,ok,manual_timestamp,3.201999999999998,3.3799999999999955,2.7969999999999686,,0.0,,False
P09,AGEM KIRI,4,ok,manual_timestamp,2.940999999999974,4.143000000000029,2.666999999999973,,0.0,,False
