task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.115,8.115,10.115,13.115,0.0005000000000006111,6.906,7.504,11.364,11.837,29.301712036132812,6.85725,1.7557373046875,0.8666666666666667,ok,video,2.296,lengan,,False,1.2809999999999917,NGEED,1,,5.403564453125,False,
NGEED,2,21.155,24.155,26.155,29.155,0.036000000000001364,22.363,24.362,25.571,28.112,39.18073730468751,22.2275,1.773651123046875,0.9888888888888889,ok,video,15.697,lengan,0.5246891752028079,False,1.2809999999999917,NGEED,2,,38.257537841796875,False,
AGEM KANAN,1,37.152,40.152,42.152,45.152,0.0005000000000023874,39.306,40.568,43.234,44.04,45.283538818359375,39.1085,1.742767333984375,1.0,ok,video,32.5,lengan,1.0460895332482845,False,1.2809999999999917,AGEM KANAN,1,,-54.903167724609375,False,
AGEM KANAN,2,53.147000000000006,56.147000000000006,58.147000000000006,61.147000000000006,0.03699999999999193,54.635,56.503,58.836,60.03,58.95630798339846,54.47,1.8118896484375,1.0,ok,video,54.635,batang_tubuh,0.05686066574621624,True,1.2809999999999917,AGEM KANAN,2,,-75.53067016601562,False,
AGEM KIRI,1,69.182,72.182,74.182,77.182,0.033999999999991815,70.431,71.306,74.237,76.307,46.36054077148435,70.3475,2.60040283203125,0.9166666666666666,ok,video,70.431,batang_tubuh,0.26304844931567317,False,1.2809999999999917,AGEM KIRI,1,,56.31340026855469,False,
AGEM KIRI,2,85.214,88.214,90.214,93.214,0.006499999999988404,85.901,87.637,88.637,91.693,46.26629638671875,85.66825,2.21099853515625,1.0,ok,video,85.901,batang_tubuh,0.22345708002485398,False,1.2809999999999917,AGEM KIRI,2,,32.09220886230469,False,
NGEED,3,278.248,281.248,283.248,286.248,0.9995000000000118,279.831,280.9,281.9,284.969,55.68403625488281,279.69575000000003,2.13153076171875,1.0,ok,video,277.428,lengan,0.17661425765809363,True,1.2809999999999917,NGEED,3,,16.652130126953125,False,
NGEED,4,294.2175,297.2175,299.2175,302.2175,0.03350000000000364,295.301,297.495,300.161,300.633,49.313983154296864,295.16925,1.932525634765625,1.0,ok,video,288.635,lengan,0.7575304133136246,False,1.2809999999999917,NGEED,4,,18.149139404296875,False,
AGEM KANAN,3,310.2845,313.2845,315.2845,318.2845,0.9990000000000236,311.771,314.367,316.77,317.297,51.665557861328125,311.60450000000003,1.543792724609375,1.0,ok,video,311.771,batang_tubuh,0.13407978962502148,True,1.2809999999999917,AGEM KANAN,3,,-63.741424560546875,False,
AGEM KANAN,4,326.317,329.317,331.317,334.317,0.03550000000001319,327.435,328.962,332.031,333.031,59.460540771484375,327.26825,2.0858154296875,1.0,ok,video,326.893,lengan,0.09373830773202464,True,1.2809999999999917,AGEM KANAN,4,,-53.981414794921875,False,
AGEM KIRI,3,342.314,345.314,347.314,350.314,0.00050000000004502,343.627,346.098,348.168,348.835,45.2199645996094,343.49175,2.18365478515625,0.9888888888888889,ok,video,337.766,lengan,1.507539845311795,False,1.2809999999999917,AGEM KIRI,3,,-2.1789703369140625,False,
AGEM KIRI,4,358.347,361.347,363.347,366.347,0.9990000000000236,359.43,360.429,364.026,364.694,48.51507568359375,359.26300000000003,2.38250732421875,0.9832402234636871,ok,video,353.431,lengan,1.1475579056224217,False,1.2809999999999917,AGEM KIRI,4,,5.097442626953125,False,
