task,subphase,start,end,rep,sesi
NGEED,TURUN,6.088,10.188,1.0,1.0
NGEED,TAHAN,10.188,13.955,1.0,1.0
NGEED,NAIK,13.955,15.255,1.0,1.0
BERDIRI RILEKS,,17.255000000000003,21.255,,1.0
NGEED,TURUN,22.255,24.39,2.0,1.0
NGEED,TAHAN,24.39,30.131,2.0,1.0
NGEED,NAIK,30.131,31.838,2.0,1.0
BERDIRI RILEKS,,33.838,37.34,,1.0
AGEM KANAN,TURUN,38.34,40.86,1.0,1.0
AGEM KANAN,TAHAN,40.86,46.012,1.0,1.0
AGEM KANAN,NAIK,46.012,47.815,1.0,1.0
BERDIRI RILEKS,,49.815,53.381,,1.0
AGEM KANAN,TURUN,54.381,56.485,2.0,1.0
AGEM KANAN,TAHAN,56.485,62.331,2.0,1.0
AGEM KANAN,NAIK,62.331,63.702,2.0,1.0
BERDIRI RILEKS,,65.702,69.812,,1.0
AGEM KIRI,TURUN,70.812,73.439,1.0,1.0
AGEM KIRI,TAHAN,73.439,78.505,1.0,1.0
AGEM KIRI,NAIK,78.505,80.369,1.0,1.0
BERDIRI RILEKS,,82.369,85.234,,1.0
AGEM KIRI,TURUN,86.234,88.393,2.0,1.0
AGEM KIRI,TAHAN,88.393,94.24,2.0,1.0
AGEM KIRI,NAIK,94.24,95.894,2.0,1.0
BERDIRI RILEKS,,97.894,103.894,,1.0
ISTIRAHAT UTAMA,,103.894,275.554,,
NGEED,TURUN,280.554,281.664,3.0,2.0
NGEED,TAHAN,281.664,287.109,3.0,2.0
NGEED,NAIK,287.109,288.347,3.0,2.0
BERDIRI RILEKS,,290.347,294.64,,2.0
NGEED,TURUN,295.64,297.425,4.0,2.0
NGEED,TAHAN,297.425,303.433,4.0,2.0
NGEED,NAIK,303.433,304.726,4.0,2.0
BERDIRI RILEKS,,306.726,310.359,,2.0
AGEM KANAN,TURUN,311.359,314.188,3.0,2.0
AGEM KANAN,TAHAN,314.188,319.226,3.0,2.0
AGEM KANAN,NAIK,319.226,321.369,3.0,2.0
BERDIRI RILEKS,,323.369,326.414,,2.0
AGEM KANAN,TURUN,327.414,330.003,4.0,2.0
AGEM KANAN,TAHAN,330.003,335.545,4.0,2.0
AGEM KANAN,NAIK,335.545,337.196,4.0,2.0
BERDIRI RILEKS,,339.196,342.367,,2.0
AGEM KIRI,TURUN,343.367,345.71,3.0,2.0
AGEM KIRI,TAHAN,345.71,351.371,3.0,2.0
AGEM KIRI,NAIK,351.371,353.248,3.0,2.0
BERDIRI RILEKS,,355.248,358.266,,2.0
AGEM KIRI,TURUN,359.266,361.752,4.0,2.0
AGEM KIRI,TAHAN,361.752,367.478,4.0,2.0
AGEM KIRI,NAIK,367.478,369.45,4.0,2.0
BERDIRI RILEKS,,371.45,377.45,,2.0
BERDIRI MATA TERTUTUP,,412.135,442.135,,
