task,subphase,n,start,end,rep
BERSIAP,,10,1.41,4.652,
NGEED,TURUN,14,4.652,8.123999999999999,1.0
NGEED,TAHAN,8,8.123999999999999,10.117,1.0
NGEED,NAIK,18,10.117,13.1235,1.0
BERDIRI RILEKS,,21,13.1235,21.157,
NGEED,TURUN,14,21.157,24.1565,2.0
NGEED,TAHAN,7,24.1565,26.121000000000002,2.0
NGEED,NAIK,20,26.121000000000002,29.1555,2.0
BERDIRI RILEKS,,20,29.1555,37.155,
AGEM KANAN,TURUN,14,37.155,40.153999999999996,1.0
AGEM KANAN,TAHAN,8,40.153999999999996,42.1535,1.0
AGEM KANAN,NAIK,19,42.1535,45.1745,1.0
BERDIRI RILEKS,,20,45.1745,53.152,
AGEM KANAN,TURUN,14,53.152,56.186,2.0
AGEM KANAN,TAHAN,7,56.186,58.150999999999996,2.0
AGEM KANAN,NAIK,20,58.150999999999996,61.186,2.0
BERDIRI RILEKS,,20,61.186,69.1845,
AGEM KIRI,TURUN,15,69.1845,72.21799999999999,1.0
AGEM KIRI,TAHAN,7,72.21799999999999,74.1905,1.0
AGEM KIRI,NAIK,18,74.1905,77.19,1.0
BERDIRI RILEKS,,21,77.19,85.2165,
AGEM KIRI,TURUN,14,85.2165,88.21600000000001,2.0
AGEM KIRI,TAHAN,8,88.21600000000001,90.223,2.0
AGEM KIRI,NAIK,21,90.223,93.285,2.0
ISTIRAHAT UTAMA,,364,93.285,273.22950000000003,
BERSIAP,,14,273.22950000000003,278.25,
NGEED,TURUN,16,278.25,281.2495,3.0
NGEED,TAHAN,14,281.2495,284.24850000000004,3.0
NGEED,NAIK,11,284.24850000000004,286.221,3.0
BERDIRI RILEKS,,20,286.221,294.21950000000004,
NGEED,TURUN,15,294.21950000000004,297.254,4.0
NGEED,TAHAN,8,297.254,299.254,4.0
NGEED,NAIK,19,299.254,302.2875,4.0
BERDIRI RILEKS,,20,302.2875,310.28650000000005,
AGEM KANAN,TURUN,14,310.28650000000005,313.286,3.0
AGEM KANAN,TAHAN,14,313.286,316.286,3.0
AGEM KANAN,NAIK,13,316.286,318.28499999999997,3.0
BERDIRI RILEKS,,20,318.28499999999997,326.31899999999996,
AGEM KANAN,TURUN,14,326.31899999999996,329.2835,4.0
AGEM KANAN,TAHAN,8,329.2835,331.318,4.0
AGEM KANAN,NAIK,18,331.318,334.304,4.0
BERDIRI RILEKS,,20,334.304,342.3165,
AGEM KIRI,TURUN,14,342.3165,345.31600000000003,3.0
AGEM KIRI,TAHAN,8,345.31600000000003,347.31550000000004,3.0
AGEM KIRI,NAIK,18,347.31550000000004,350.31550000000004,3.0
BERDIRI RILEKS,,21,350.31550000000004,358.349,
AGEM KIRI,TURUN,14,358.349,361.3485,4.0
AGEM KIRI,TAHAN,14,361.3485,364.348,4.0
AGEM KIRI,NAIK,12,364.348,366.4285,4.0
BERDIRI FOKUS MATA TERBUKA,,64,366.4285,396.48850000000004,
BERDIRI ISTIRAHAT,,32,396.48850000000004,411.55600000000004,
BERDIRI MATA TERTUTUP,,63,411.55600000000004,441.517,
