task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,4.652,7.652,9.652000000000001,12.652000000000001,0.47199999999999864,7.409,8.478,11.409,12.866,62.865814208984375,7.31175,0.838592529296875,1.0,ok,video,2.001,lengan,,False,1.7392499999999984,NGEED,1,,40.826873779296875,False,
NGEED,2,21.157,24.157,26.157,29.157,0.036000000000001364,22.476,23.809,27.142,28.267,55.4545837402344,22.343999999999998,0.68475341796875,1.0,ok,video,15.213,lengan,0.0616239028475472,True,1.7392499999999984,NGEED,2,,24.57720947265625,False,
AGEM KANAN,1,37.155,40.155,42.155,45.155,0.0015000000000000568,39.14,40.349,43.001,43.931,67.94027099609377,39.03925,0.989013671875,1.0,ok,video,33.87,lengan,0.24344611346672368,False,1.7392499999999984,AGEM KANAN,1,,2.0933837890625,False,
AGEM KANAN,2,53.152,56.152,58.152,61.152,0.03399999999999892,54.943,56.402,59.665,60.276,65.15597534179688,54.82825,0.8136138916015625,1.0,ok,video,54.402,lengan,0.011883668199665486,True,1.7392499999999984,AGEM KANAN,2,,-1.849517822265625,False,
AGEM KIRI,1,69.1845,72.1845,74.1845,77.1845,0.03349999999998943,70.871,72.274,74.815,75.412,72.65216064453125,70.77024999999999,1.522979736328125,1.0,ok,video,63.803,lengan,0.1902392019712131,True,1.7392499999999984,AGEM KIRI,1,,131.70193481445312,False,
AGEM KIRI,2,85.2165,88.2165,90.2165,93.2165,0.006500000000002615,87.063,88.272,91.535,92.077,61.99893798828123,86.8615,1.480133056640625,0.9944444444444445,ok,video,80.01,lengan,1.2001755086136852,False,1.7392499999999984,AGEM KIRI,2,,94.892578125,False,
NGEED,3,278.25,281.25,283.25,286.25,0.9985000000000355,280.069,280.805,283.929,284.665,72.09897460937498,279.98225,2.4273223876953125,0.9944444444444445,ok,video,273.806,lengan,0.07320090180937529,True,1.7392499999999984,NGEED,3,,165.680419921875,False,
NGEED,4,294.21950000000004,297.21950000000004,299.21950000000004,302.21950000000004,0.03449999999997999,295.608,297.011,299.941,300.941,64.06055908203126,295.51075000000003,1.59088134765625,1.0,ok,video,288.47,lengan,0.5458963981568801,False,1.7392499999999984,NGEED,4,,20.232757568359375,False,
AGEM KANAN,3,310.28650000000005,313.28650000000005,315.28650000000005,318.28650000000005,0.999499999999955,312.203,313.203,316.397,316.869,65.53173828125,312.10224999999997,1.329345703125,1.0,ok,video,311.203,lengan,0.12204006437720272,True,1.7392499999999984,AGEM KANAN,3,,10.4263916015625,False,
AGEM KANAN,4,326.319,329.319,331.319,334.319,0.03550000000001319,327.673,329.465,332.269,332.936,55.3802490234375,327.5585,1.174774169921875,1.0,ok,video,320.605,lengan,0.6887986995095609,False,1.7392499999999984,AGEM KANAN,4,,20.652984619140625,False,
AGEM KIRI,3,342.3165,345.3165,347.3165,350.3165,0.0009999999999763531,344.004,345.073,349.336,350.336,67.53469848632812,343.92075,1.5216064453125,1.0,ok,video,336.533,lengan,0.4931235164215444,False,1.7392499999999984,AGEM KIRI,3,,89.3402099609375,False,
AGEM KIRI,4,358.349,361.349,363.349,366.349,0.9990000000000236,359.862,361.003,363.598,364.667,69.53060607910157,359.72650000000004,1.721405029296875,1.0,ok,video,359.335,lengan,0.09424376252782185,True,1.7392499999999984,AGEM KIRI,4,,104.72663879394531,False,
