task,subphase,n,start,end,rep
BERSIAP,,15,0.128,5.151,
NGEED,TURUN,14,5.151,8.150500000000001,1.0
NGEED,TAHAN,14,8.150500000000001,11.149999999999999,1.0
NGEED,NAIK,12,11.149999999999999,13.1845,1.0
BERDIRI RILEKS,,19,13.1845,21.1485,
NGEED,TURUN,14,21.1485,24.1555,2.0
NGEED,TAHAN,7,24.1555,26.119999999999997,2.0
NGEED,NAIK,20,26.119999999999997,29.154,2.0
BERDIRI RILEKS,,20,29.154,37.181,
AGEM KANAN,TURUN,14,37.181,40.18,1.0
AGEM KANAN,TAHAN,8,40.18,42.18,1.0
AGEM KANAN,NAIK,18,42.18,45.2005,1.0
BERDIRI RILEKS,,20,45.2005,53.185,
AGEM KANAN,TURUN,14,53.185,56.185,2.0
AGEM KANAN,TAHAN,8,56.185,58.185,2.0
AGEM KANAN,NAIK,19,58.185,61.184,2.0
BERDIRI RILEKS,,20,61.184,69.18299999999999,
AGEM KIRI,TURUN,15,69.18299999999999,72.2525,1.0
AGEM KIRI,TAHAN,7,72.2525,74.1825,1.0
AGEM KIRI,NAIK,19,74.1825,77.182,1.0
BERDIRI RILEKS,,21,77.182,85.25,
AGEM KIRI,TURUN,12,85.25,88.2495,2.0
AGEM KIRI,TAHAN,16,88.2495,91.221,2.0
AGEM KIRI,NAIK,10,91.221,93.228,2.0
ISTIRAHAT UTAMA,,362,94.436,273.229,
BERSIAP,,9,276.228,278.24850000000004,
NGEED,TURUN,12,278.24850000000004,281.248,3.0
NGEED,TAHAN,14,281.248,284.24749999999995,3.0
NGEED,NAIK,12,284.24749999999995,286.24749999999995,3.0
BERDIRI RILEKS,,20,286.24749999999995,294.246,
NGEED,TURUN,15,294.246,297.28049999999996,4.0
NGEED,TAHAN,8,297.28049999999996,299.28,4.0
NGEED,NAIK,19,299.28,302.31449999999995,4.0
BERDIRI RILEKS,,20,302.31449999999995,310.3135,
AGEM KANAN,TURUN,14,310.3135,313.29200000000003,3.0
AGEM KANAN,TAHAN,14,313.29200000000003,316.312,3.0
AGEM KANAN,NAIK,12,316.312,318.312,3.0
BERDIRI RILEKS,,20,318.312,326.345,
AGEM KANAN,TURUN,13,326.345,329.283,4.0
AGEM KANAN,TAHAN,14,329.283,332.28200000000004,4.0
AGEM KANAN,NAIK,12,332.28200000000004,334.28150000000005,4.0
BERDIRI RILEKS,,21,334.28150000000005,342.35,
AGEM KIRI,TURUN,14,342.35,345.322,3.0
AGEM KIRI,TAHAN,13,345.322,348.28650000000005,3.0
AGEM KIRI,NAIK,13,348.28650000000005,350.349,3.0
BERDIRI RILEKS,,20,350.349,358.348,
AGEM KIRI,TURUN,14,358.348,361.354,4.0
AGEM KIRI,TAHAN,15,361.354,364.381,4.0
AGEM KIRI,NAIK,12,364.381,366.43399999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,61,366.43399999999997,396.5155,
BERDIRI ISTIRAHAT,,34,396.5155,411.58299999999997,
BERDIRI MATA TERTUTUP,,63,411.58299999999997,441.508,
