frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
1,0.046,"|
| o—
",UNKNOWN,
2,0.128,"BERSIAP
fs)
ae
",BERSIAP,
3,0.206,"BERSIAP
fs)
ae,
",BERSIAP,
6,0.297,"==
BERSIAP
(s)
",BERSIAP,
12,0.506,"=
BERSIAP
(s)
",BERSIAP,
28,1.033,"=
BERSIAP
(s)
",BERSIAP,
43,1.533,"=e
BERSIAP
)
",BERSIAP,
55,2.028,"=e
BERSIAP
)
",BERSIAP,
71,2.533,"=e
BERSIAP
(@)
",BERSIAP,
86,3.033,"=e
BERSIAP
(3)
",BERSIAP,
101,3.533,"=
BERSIAP
2)
",BERSIAP,
116,4.033,"=z""
BERSIAP
(2)
",BERSIAP,
131,4.533,"BERSIAP
®)
",BERSIAP,
145,5.006,"BERSIAP
)
",BERSIAP,
148,5.102,"BERSIAP
)
",BERSIAP,
149,5.13,"BERSIAP
)
",BERSIAP,
150,5.172,"NGEED
~
1
TURUN
",NGEED,TURUN
152,5.227,"NGEED
~
1
TURUN
",NGEED,TURUN
160,5.505,"NGEED
~
1
TURUN
",NGEED,TURUN
175,6.006,"NGEED
~
1
TURUN
",NGEED,TURUN
190,6.505,"NGEED
2
TURUN
",NGEED,TURUN
205,7.006,"NGEED
2
TURUN
",NGEED,TURUN
208,7.102,"NGEED
2
TURUN
",NGEED,TURUN
209,7.13,"NGEED
2
TURUN
",NGEED,TURUN
210,7.171,"NGEED
3)
",NGEED,
212,7.241,"NGEED
3)
",NGEED,
220,7.505,"NGEED
3)
",NGEED,
235,8.006,"NGEED
3)
",NGEED,
238,8.102,"NGEED
3)
",NGEED,
239,8.13,"NGEED
3)
",NGEED,
240,8.171,"NGEED
4)
TAHAN
",NGEED,TAHAN
242,8.241,"NGEED
>
TAHAN
",NGEED,TAHAN
250,8.505,"NGEED
>
TAHAN
",NGEED,TAHAN
265,9.005,"NGEED
>
TAHAN
",NGEED,TAHAN
280,9.504,"NGEED
TAHAN
",NGEED,TAHAN
295,10.005,"NGEED
TAHAN
",NGEED,TAHAN
298,10.101,"NGEED
TAHAN
",NGEED,TAHAN
299,10.129,"NGEED
TAHAN
",NGEED,TAHAN
300,10.171,"NGEED
",NGEED,
302,10.24,"NGEED
",NGEED,
310,10.504,"NGEED
Y
",NGEED,
325,11.005,"NGEED
Y
",NGEED,
328,11.101,"NGEED
Y
",NGEED,
329,11.129,"NGEED
Y
",NGEED,
330,11.171,"NGEED
)
NAIK
",NGEED,NAIK
332,11.24,"NGEED
(z)
NAIK
",NGEED,NAIK
340,11.505,"NGEED
(2)
NAIK
",NGEED,NAIK
355,12.005,"NGEED
(2)
NAIK
",NGEED,NAIK
358,12.101,"NGEED
(2)
NAIK
",NGEED,NAIK
359,12.129,"NGEED
(2)
NAIK
",NGEED,NAIK
360,12.171,"NGEED
(2)
",NGEED,
362,12.241,"NGEED
(2)
",NGEED,
370,12.504,"NGEED
",NGEED,
385,13.005,"NGEED
",NGEED,
388,13.101,"NGEED
",NGEED,
389,13.129,"NGEED
",NGEED,
390,13.171,"se)
8
ee,
",UNKNOWN,
391,13.198,"fg)
8
ew,
",UNKNOWN,
392,13.24,"BERDIRI RILEKS
( 8 )
7
",BERDIRI RILEKS,
400,13.504,"BERDIRI RILEKS
( 8 )
/
",BERDIRI RILEKS,
415,14.004,"BERDIRI RILEKS
( 8 )
Ney,
",BERDIRI RILEKS,
430,14.504,"BERDIRI RILEKS
(— 7)
Le)
",BERDIRI RILEKS,
445,15.004,"BERDIRI RILEKS
(— 7)
Le)
",BERDIRI RILEKS,
460,15.503,"BERDIRI RILEKS
( 6 )
wy,
",BERDIRI RILEKS,
475,16.004,"BERDIRI RILEKS
(— 6 )
Ney,
",BERDIRI RILEKS,
490,16.503,"BERDIRI RILEKS
(— 5 \
|
ey,
",BERDIRI RILEKS,
505,17.004,"BERDIRI RILEKS
(5 \
Nee
",BERDIRI RILEKS,
520,17.503,"BERDIRI RILEKS
f.»
| 4 |
Vey
",BERDIRI RILEKS,
535,18.004,"BERDIRI RILEKS
f.»
| A |
Vey
",BERDIRI RILEKS,
550,18.503,"BERDIRI RILEKS
(3
Nee
",BERDIRI RILEKS,
565,19.004,"BERDIRI RILEKS
(3
Nee
",BERDIRI RILEKS,
580,19.503,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
595,20.004,"BERDIRI RILEKS
(2
Ye
",BERDIRI RILEKS,
610,20.503,"BERDIRI RILEKS
(1
Ye
",BERDIRI RILEKS,
