participant_id,task,rep,phase,compliance,latency_hud,phase_source,band,channel,erd_pct,phase_dur,phase_ptp_uv,ptp_ratio_vs_baseline,is_simulated,interpolated
P36,NGEED,3,TURUN,ok,1.3885000000000218,video,beta,O1,297.78342380077316,1.38900000000001,91.5,2.6,False,False
P36,NGEED,3,TURUN,ok,1.3885000000000218,video,beta,O2,22608.075243977713,1.38900000000001,716.6,30.01,False,False
P36,NGEED,3,TURUN,ok,1.3885000000000218,video,beta,F3,5287.08146390434,1.38900000000001,80.7,8.75,False,False
P36,NGEED,3,TURUN,ok,1.3885000000000218,video,beta,F4,49174.489885046096,1.38900000000001,689.8,41.67,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,C3,5161.1447243519,3.6100000000000136,122.3,7.75,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,C4,4394.406505768486,3.6100000000000136,205.1,8.32,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,P3,780.5185400622823,3.6100000000000136,89.6,2.91,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,P4,5291.316338146487,3.6100000000000136,224.2,7.45,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,O1,526.0853625674926,3.6100000000000136,84.7,2.41,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,O2,18621.76359344149,3.6100000000000136,408.8,17.12,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,F3,1339.8242718950353,3.6100000000000136,34.9,3.79,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,theta,F4,26359.013287499227,3.6100000000000136,379.8,22.94,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,C3,5416.233979636397,3.6100000000000136,122.3,7.75,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,C4,1962.94300054851,3.6100000000000136,205.1,8.32,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,P3,760.2357616127329,3.6100000000000136,89.6,2.91,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,P4,1385.2529581837753,3.6100000000000136,224.2,7.45,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,O1,204.01354264437438,3.6100000000000136,84.7,2.41,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,O2,9217.457514196158,3.6100000000000136,408.8,17.12,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,F3,595.2163186855136,3.6100000000000136,34.9,3.79,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,mu,F4,12485.987544209474,3.6100000000000136,379.8,22.94,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,C3,5795.479954407051,3.6100000000000136,122.3,7.75,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,C4,1019.1800401880196,3.6100000000000136,205.1,8.32,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,P3,540.342687831492,3.6100000000000136,89.6,2.91,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,P4,920.3859933306607,3.6100000000000136,224.2,7.45,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,O1,350.4297494085374,3.6100000000000136,84.7,2.41,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,O2,2841.4583794756,3.6100000000000136,408.8,17.12,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,F3,385.70394669443823,3.6100000000000136,34.9,3.79,False,False
P36,NGEED,3,TAHAN,ok,1.3885000000000218,video,beta,F4,7226.772823392853,3.6100000000000136,379.8,22.94,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,C3,459.71597939208385,1.7919999999999732,53.6,3.4,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,C4,308.38311913323474,1.7919999999999732,40.7,1.65,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,P3,274.9531109694922,1.7919999999999732,52.9,1.71,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,P4,367.37330006948133,1.7919999999999732,57.1,1.9,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,O1,124.49727316344357,1.7919999999999732,45.1,1.28,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,O2,750.7440614130816,1.7919999999999732,83.5,3.49,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,F3,364.0164995670106,1.7919999999999732,15.8,1.71,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,theta,F4,96.60813813650158,1.7919999999999732,18.7,1.13,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,C3,651.6212266783791,1.7919999999999732,53.6,3.4,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,C4,424.991935466641,1.7919999999999732,40.7,1.65,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,P3,310.67307432728205,1.7919999999999732,52.9,1.71,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,P4,258.1533292970847,1.7919999999999732,57.1,1.9,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,O1,68.74814672274545,1.7919999999999732,45.1,1.28,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,O2,454.2876884584771,1.7919999999999732,83.5,3.49,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,F3,164.6748954488889,1.7919999999999732,15.8,1.71,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,mu,F4,116.6203218345696,1.7919999999999732,18.7,1.13,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,C3,501.23354790130264,1.7919999999999732,53.6,3.4,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,C4,384.1534579687173,1.7919999999999732,40.7,1.65,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,P3,76.10590300109077,1.7919999999999732,52.9,1.71,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,P4,307.3061339778736,1.7919999999999732,57.1,1.9,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,O1,37.54026414040546,1.7919999999999732,45.1,1.28,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,O2,417.95927301278806,1.7919999999999732,83.5,3.49,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,F3,57.22553642220766,1.7919999999999732,15.8,1.71,False,False
P36,NGEED,3,NAIK,ok,1.3885000000000218,video,beta,F4,50.13049230612884,1.7919999999999732,18.7,1.13,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,C3,45658.480557528936,1.5,475.2,30.1,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,C4,10557.059382967558,1.5,292.7,11.88,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,P3,-43.09314380309245,1.5,28.0,0.91,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,P4,21540.92663389245,1.5,369.9,12.29,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,O1,-18.50427142917212,1.5,39.7,1.13,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,O2,65940.25498000451,1.5,517.4,21.66,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,F3,5187.8298964441765,1.5,73.4,7.96,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,theta,F4,136472.13160906098,1.5,472.5,28.54,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,C3,68009.97782479094,1.5,475.2,30.1,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,C4,10140.825925225628,1.5,292.7,11.88,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,P3,-43.980646141818916,1.5,28.0,0.91,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,P4,10083.06769571738,1.5,369.9,12.29,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,O1,-28.41663202272216,1.5,39.7,1.13,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,O2,29400.52537055386,1.5,517.4,21.66,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,F3,3651.0658576201463,1.5,73.4,7.96,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,mu,F4,66119.08773380778,1.5,472.5,28.54,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,C3,18208.724155942615,1.5,475.2,30.1,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,C4,8152.625785419067,1.5,292.7,11.88,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,P3,-2.1121071000591165,1.5,28.0,0.91,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,P4,7090.914955814365,1.5,369.9,12.29,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,O1,47.86476848671998,1.5,39.7,1.13,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,O2,18501.771539598867,1.5,517.4,21.66,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,F3,2819.44255990337,1.5,73.4,7.96,False,False
P36,NGEED,3,POST,ok,1.3885000000000218,video,beta,F4,52014.6632351013,1.5,472.5,28.54,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,C3,996.2256176582898,2.0,475.2,4.86,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,C4,108.19345345916227,2.0,292.7,2.28,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,P3,-90.29236934193177,2.0,30.0,0.34,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,P4,276.11054444087216,2.0,369.9,2.56,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,O1,-76.67395063904651,2.0,40.2,0.52,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,O2,269.74668803145204,2.0,517.4,1.88,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,F3,659.6419592881198,2.0,73.4,2.79,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,theta,F4,475.38298923788153,2.0,472.5,2.31,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,mu,C3,1552.8204859321397,2.0,475.2,4.86,False,False
P36,NGEED,4,PRA,ok,1.48599999999999,video,mu,C4,411.3143650040533,2.0,292.7,2.28,False,False
